,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
160,5985601152591441536,234.732764,-50.019767,-4.0886,-3.0899,-0.031,0.0302,-0.1301782178217814,-0.0016722772277222298,0.0944,0.98366,-0.1947,0.0627,0.0565,0.062
306,5985413548438047104,234.779424,-50.013452,-3.9569,-3.0154,-0.001,0.0365,0.0015217821782180785,0.07282772277227778,0.1206,0.98186,0.002,0.1007,0.086,0.1006
434,5985413582797782144,234.750187,-50.025683,-4.1015,-3.0071,-0.0198,0.0243,-0.14307821782178154,0.08112772277227798,0.0918,0.98782,-0.2145,0.0437,0.0395,0.045
508,5985413509718656000,234.770672,-50.029991,-4.039,-2.912,-0.0066,0.02,-0.08057821782178154,0.17622772277227794,0.0538,0.98853,-0.2611,0.1364,0.1223,0.1336
519,5985413514044535552,234.771825,-50.029465,-3.8517,-3.1506,-0.0059,0.0205,0.10672178217821804,-0.062372277227721984,0.0088,0.95655,-0.0763,0.2136,0.1633,0.2113
591,5985413475350074112,234.732633,-50.025374,-4.0929,-3.1372,-0.0311,0.0246,-0.13447821782178204,-0.04897227722772213,0.037,0.95597,-0.1043,0.1342,0.1146,0.1455
649,5985413440990331904,234.730707,-50.036055,-4.0627,-3.2119,-0.0323,0.0139,-0.10427821782178226,-0.12367227722772212,-0.0428,0.97383,-0.0997,0.1207,0.1008,0.1156
810,5985413514044510720,234.767237,-50.034773,-4.0786,-3.0912,-0.0088,0.0152,-0.12017821782178162,-0.0029722772277223086,0.0236,0.99529,-0.0846,0.1328,0.1141,0.134
846,5985413410965271680,234.752262,-50.042551,-4.1583,-3.1392,-0.0185,0.0074,-0.1998782178217815,-0.05097227722772235,-0.0814,0.95797,0.0848,0.227,0.1848,0.2331
866,5985413406630178944,234.757278,-50.042302,-3.9594,-3.1389,-0.0152,0.0077,-0.0009782178217818682,-0.05067227722772216,0.1145,0.99267,-0.2752,0.1299,0.1175,0.1288
880,5985413406630589312,234.749246,-50.047454,-3.921,-3.1133,-0.0204,0.0025,0.037421782178218344,-0.025072277227722317,0.1127,0.98757,-0.0763,0.1479,0.1169,0.1462
881,5985413410965859328,234.756458,-50.045101,-4.0166,-3.3664,-0.0158,0.0049,-0.05817821782178223,-0.2781722772277222,-0.3441,0.95775,-0.1237,0.2569,0.1993,0.2339
1068,5985414849759626112,234.811579,-50.011896,-3.8478,-3.1032,0.0197,0.0381,0.11062178217821828,-0.01497227722772232,-0.1051,0.95303,-0.0215,0.1607,0.1207,0.1595
1119,5985414815379872000,234.798826,-50.022096,-3.9669,-3.0391,0.0115,0.0279,-0.008478217821781708,0.04912772277227795,0.1383,0.99259,-0.0858,0.0847,0.0691,0.0812
1216,5985413337911120384,234.794146,-50.024456,-3.9616,-3.2153,0.0084,0.0255,-0.003178217821781626,-0.12707227722772219,0.0035,0.97352,-0.0699,0.162,0.126,0.1656
1245,5985413342279595520,234.782683,-50.030219,-3.9366,-3.1394,0.0011,0.0198,0.021821782178218285,-0.05117227722772233,0.0298,0.99788,-0.0948,0.0882,0.0725,0.0854
1279,5985413307886018048,234.782235,-50.036362,-3.9424,-2.8934,0.0008,0.0136,0.016021782178218036,0.19482772277227767,-0.0423,0.9952,-0.1119,0.0878,0.0756,0.0878
1295,5985414751030065664,234.806312,-50.027516,-4.1213,-3.1408,0.0163,0.0225,-0.16287821782178158,-0.052572277227722175,0.1868,0.96284,0.3028,0.1046,0.0846,0.1037
1313,5985413273560103040,234.802795,-50.033322,-3.9536,-3.0233,0.014,0.0167,0.004821782178218381,0.06492772277227798,0.0366,0.99898,-0.1126,0.0712,0.0593,0.0696
1336,5985413337910707712,234.796594,-50.03566,-4.1321,-3.0983,0.01,0.0143,-0.17367821782178217,-0.010072277227722193,0.0938,0.97758,-0.1615,0.153,0.1404,0.1651
1337,5985413342245736192,234.792269,-50.036558,-3.6673,-3.2692,0.0072,0.0134,0.29112178217821816,-0.18097227722772224,-0.0942,0.95888,-0.0654,0.2055,0.1641,0.2065
1352,5985413307919838720,234.78805,-50.039526,-4.079,-2.9607,0.0045,0.0105,-0.12057821782178157,0.12752772277227775,0.0045,0.99862,-0.1318,0.0649,0.0547,0.0635
1356,5985413337910703616,234.791986,-50.040002,-3.8108,-2.9415,0.0071,0.01,0.1476217821782182,0.14672772277227786,-0.1949,0.99046,0.1903,0.158,0.1483,0.1685
1372,5985413269200491648,234.802035,-50.038865,-3.9999,-2.9704,0.0135,0.0111,-0.04147821782178163,0.11782772277227771,0.1464,0.99517,-0.0626,0.0763,0.0608,0.0725
1382,5985413273560091264,234.800367,-50.040951,-3.9674,-3.0202,0.0124,0.009,-0.008978217821781875,0.06802772277227787,0.18,0.99133,0.1072,0.1196,0.071,0.0989
1385,5985413273526191104,234.800532,-50.041273,-3.7377,-3.2092,0.0125,0.0087,0.22072178217821836,-0.12097227722772219,-0.083,0.98217,-0.1572,0.1382,0.1171,0.1449
1643,5985413303550156416,234.771413,-50.037653,-3.9118,-3.1171,-0.0062,0.0123,0.04662178217821822,-0.028872277227722343,0.0954,0.99599,-0.0987,0.1195,0.1015,0.1115
1650,5985413514044473216,234.767811,-50.039272,-3.8902,-3.1316,-0.0085,0.0107,0.06822178217821806,-0.0433722772277223,0.0461,0.99305,-0.198,0.1194,0.1074,0.1268
1661,5985413307919843712,234.768297,-50.043302,-3.6004,-3.164,-0.0082,0.0067,0.3580217821782181,-0.07577227722772228,-0.0075,0.9646,-0.014,0.2387,0.1773,0.2346
1667,5985413307919842688,234.778517,-50.040566,-3.8839,-2.99,-0.0016,0.0094,0.07452178217821803,0.09822772277227765,-0.1238,0.99671,-0.2158,0.0771,0.0696,0.0745
1669,5985413307885986432,234.778535,-50.04225,-3.7909,-2.9954,-0.0016,0.0078,0.167521782178218,0.0928277227722778,0.035,0.99276,-0.1824,0.1116,0.0973,0.1055
1680,5985413303550421120,234.775671,-50.043294,-4.0817,-3.0171,-0.0034,0.0067,-0.1232782178217815,0.07112772277227775,0.2153,0.99142,-0.0832,0.1409,0.1136,0.1422
1682,5985413303560226176,234.772543,-50.044049,-4.1464,-2.9199,-0.0054,0.006,-0.1879782178217817,0.1683277227722777,-0.0975,0.99475,-0.0302,0.1622,0.1267,0.1604
1685,5985413307919838592,234.777624,-50.043064,-4.0117,-3.1078,-0.0022,0.0069,-0.0532782178217821,-0.019572277227722257,0.1827,0.99739,-0.2387,0.0755,0.0687,0.0733
1697,5985413410965211648,234.762512,-50.046343,-3.9831,-2.8781,-0.0119,0.0037,-0.0246782178217817,0.21012772277227798,-0.301,0.98664,-0.1911,0.2629,0.2237,0.2475
1746,5985413307885964928,234.782779,-50.042994,-3.8562,-3.2371,0.0011,0.007,0.10222178217821831,-0.148872277227722,0.0729,0.99111,-0.1783,0.1491,0.1243,0.1462
1755,5985413307919831424,234.787683,-50.044749,-4.0919,-3.1244,0.0043,0.0053,-0.1334782178217817,-0.036172277227722205,0.0937,0.99824,-0.0907,0.0902,0.0723,0.0849
1760,5985413307919834240,234.78223,-50.044419,-4.5259,-3.0287,0.0008,0.0056,-0.5674782178217819,0.05952772277227769,-0.0212,0.95157,0.0908,0.2306,0.1714,0.2087
1780,5985413303560228352,234.783274,-50.048376,-4.0451,-2.9342,0.0015,0.0016,-0.08667821782178153,0.15402772277227772,0.3785,0.97076,-0.1719,0.1951,0.157,0.1859
1793,5985413239200348032,234.788942,-50.047703,-3.7949,-3.3298,0.0051,0.0023,0.163521782178218,-0.24157227722772223,-0.4524,0.99065,-0.1713,0.128,0.1156,0.1369
1803,5985413234831896832,234.794066,-50.048492,-3.994,-3.1271,0.0084,0.0015,-0.035578217821782054,-0.03887227722772213,-0.1537,0.99689,-0.0974,0.1723,0.1308,0.1739
1811,5985413307885921920,234.779977,-50.048445,-3.8293,-2.9767,-0.0007,0.0016,0.12912178217821824,0.11152772277227774,-0.0091,0.99418,-0.1235,0.1324,0.1078,0.1329
1812,5985413307885924480,234.77898,-50.048631,-3.8354,-3.088,-0.0013,0.0014,0.12302178217821824,0.00022772277227778304,0.0445,0.99822,-0.2293,0.0579,0.053,0.0619
1822,5985413307885899776,234.781172,-50.049672,-4.064,-3.323,0.0001,0.0003,-0.1055782178217819,-0.2347722772277221,-0.0548,0.98471,-0.0891,0.1588,0.1258,0.1622
1842,5985413204806674560,234.773734,-50.053414,-3.767,-3.2121,-0.0047,-0.0034,0.19142178217821826,-0.1238722772277221,-0.0134,0.98594,-0.0755,0.1708,0.131,0.174
1844,5985413204806670976,234.776609,-50.052873,-3.7818,-2.8615,-0.0028,-0.0029,0.1766217821782181,0.22672772277227793,-0.0758,0.97555,-0.0753,0.3181,0.25,0.2852
1848,5985413204806659456,234.774035,-50.054137,-4.1363,-3.0857,-0.0045,-0.0041,-0.17787821782178215,0.0025277227722777518,0.1074,0.98663,-0.7051,0.1837,0.1939,0.1293
1849,5985413204840603648,234.772935,-50.054446,-4.1496,-2.8595,-0.0052,-0.0044,-0.19117821782178224,0.2287277227722777,-0.096,0.99274,-0.1463,0.1331,0.1135,0.1321
1856,5985413200481011328,234.773177,-50.055468,-3.6509,-3.135,-0.005,-0.0055,0.30752178217821813,-0.046772277227721926,0.0071,0.98225,-0.2,0.131,0.1164,0.1246
1861,5985413307919819136,234.785527,-50.051278,-3.77,-3.4383,0.0029,-0.0013,0.18842178217821814,-0.35007227722772205,-0.3818,0.98019,-0.1853,0.1679,0.1468,0.1704
1865,5985413307885853056,234.783563,-50.052693,-3.9561,-3.1616,0.0016,-0.0027,0.0023217821782179904,-0.0733722772277221,-0.0579,0.99678,-0.1301,0.1234,0.1063,0.1254
1868,5985413307885853312,234.783014,-50.053313,-3.9709,-3.0216,0.0013,-0.0033,-0.012478217821781712,0.06662772277227802,0.0161,0.99981,-0.2082,0.0384,0.0339,0.0381
1871,5985413239166390656,234.787681,-50.051239,-4.0827,-2.9788,0.0043,-0.0012,-0.12427821782178183,0.10942772277227775,0.094,0.98998,-0.0871,0.1736,0.1239,0.1615
1876,5985413204806656000,234.779816,-50.053298,-3.606,-3.1901,-0.0008,-0.0033,0.3524217821782183,-0.1018722772277223,0.0227,0.97338,-0.0441,0.1851,0.1387,0.1812
1879,5985413204806638336,234.780801,-50.054448,-4.3002,-3.1985,-0.0001,-0.0044,-0.3417782178217821,-0.11027227722772226,0.2601,0.95281,-0.0641,0.1565,0.1203,0.1532
1880,5985413204840599424,234.779551,-50.055033,-3.7467,-3.2555,-0.0009,-0.005,0.21172178217821802,-0.1672722772277222,-0.0266,0.9871,-0.1239,0.1203,0.1058,0.1209
1882,5985413204806645376,234.774731,-50.055817,-4.0895,-3.1803,-0.004,-0.0058,-0.13107821782178197,-0.09207227722772204,-0.2089,0.99362,0.0112,0.1546,0.1424,0.1699
1885,5985413204840594432,234.778298,-50.056582,-4.011,-3.0114,-0.0017,-0.0066,-0.05257821782178196,0.07682772277227778,0.0174,0.99985,-0.1966,0.0425,0.0386,0.0442
1903,5985413410999050240,234.757631,-50.052371,-4.0929,-3.06,-0.015,-0.0024,-0.13447821782178204,0.028227722772277808,0.1803,0.99422,-0.0619,0.0808,0.0587,0.0772
1921,5985413200471736832,234.762501,-50.054287,-3.7955,-3.0626,-0.0119,-0.0043,0.16292178217821807,0.02562772277227765,0.1503,0.9867,-0.1637,0.1321,0.1118,0.1344
1934,5985413376639302400,234.752939,-50.058784,-4.0243,-3.0465,-0.018,-0.0088,-0.06587821782178205,0.041727722772277875,-0.1524,0.99694,-0.1462,0.1339,0.1125,0.1369
1967,5985413170480869888,234.752365,-50.06003,-4.0035,-3.0155,-0.0184,-0.01,-0.045078217821781674,0.07272772277227801,0.0087,0.99892,-0.1178,0.0802,0.0667,0.0772
1997,5985413204806645248,234.773076,-50.056082,-4.0919,-3.4836,-0.0051,-0.0061,-0.1334782178217817,-0.39537227722772217,-0.514,0.96097,-0.1323,0.2483,0.2,0.2446
1999,5985413200481010944,234.772294,-50.057277,-3.9594,-3.1613,-0.0056,-0.0073,-0.0009782178217818682,-0.07307227722772236,-0.0885,0.99759,-0.1528,0.1481,0.124,0.1427
2013,5985413200471003520,234.774979,-50.057758,-4.1289,-3.0884,-0.0039,-0.0078,-0.17047821782178163,-0.0001722772277221729,0.1311,0.99596,-0.2039,0.0844,0.0751,0.0798
2017,5985413200471731840,234.771785,-50.058948,-3.9448,-3.0728,-0.0059,-0.0089,0.0136217821782183,0.015427722772277885,0.0797,0.99966,-0.3376,0.0583,0.0567,0.0587
2024,5985413200481011968,234.776001,-50.060525,-4.3158,-3.1229,-0.0032,-0.0105,-0.35737821782178214,-0.03467227722772215,0.0387,0.96598,-0.197,0.1466,0.1265,0.1512
2045,5985413170446889856,234.758533,-50.062468,-3.9989,-3.2254,-0.0144,-0.0125,-0.04047821782178174,-0.13717227722772218,0.1005,0.98664,-0.1854,0.0574,0.0504,0.0583
2048,5985413170446883712,234.7555,-50.064253,-3.7987,-3.0441,-0.0164,-0.0143,0.15972178217821797,0.044127722772278055,-0.2395,0.97821,-0.0082,0.2425,0.1762,0.2268
2095,5985413273560080000,234.80052,-50.046947,-4.0458,-3.0966,0.0125,0.0031,-0.08737821782178168,-0.008372277227722158,0.0912,0.99759,-0.2025,0.1081,0.0958,0.1023
2109,5985413234846624384,234.794587,-50.051439,-3.7249,-3.1066,0.0087,-0.0014,0.23352178217821828,-0.018372277227721945,-0.0136,0.98979,-0.2183,0.0837,0.0765,0.0871
2116,5985413239166348032,234.796313,-50.052143,-4.1376,-3.0116,0.0098,-0.0021,-0.17917821782178178,0.0766277227722778,0.1407,0.99169,-0.1516,0.1492,0.1213,0.1589
2118,5985413234831894656,234.797323,-50.053315,-3.9558,-3.0236,0.0105,-0.0033,0.0026217821782181794,0.0646277227722778,0.1624,0.99436,-0.0985,0.134,0.108,0.1408
2124,5985413269191634560,234.807037,-50.050073,-3.6313,-3.049,0.0167,-0.0001,0.3271217821782182,0.03922772277227793,-0.1678,0.96947,-0.0965,0.1505,0.1191,0.1569
2131,5985413234831895296,234.800526,-50.05197,-4.0396,-3.2402,0.0125,-0.002,-0.08117821782178192,-0.15197227722772233,-0.0619,0.99373,-0.1047,0.1092,0.0909,0.1057
2149,5985413239166349696,234.790759,-50.053838,-3.6882,-2.8742,0.0063,-0.0038,0.270221782178218,0.21402772277227777,-1.1827,0.97915,-0.1698,0.2897,0.2566,0.2971
2155,5985413239200330112,234.794439,-50.053422,-3.8362,-3.1926,0.0086,-0.0034,0.12222178217821833,-0.10437227722772224,0.2642,0.97145,-0.1336,0.1329,0.1101,0.1382
2184,5985413239166297344,234.796177,-50.057823,-3.767,-3.0178,0.0097,-0.0078,0.19142178217821826,0.07042772277227805,-0.408,0.98185,-0.0319,0.3,0.2414,0.2823
2198,5985412517645814784,234.813323,-50.052643,-3.9717,-3.0934,0.0208,-0.0026,-0.013278217821781624,-0.005172277227722066,0.091,0.99708,-0.0878,0.0965,0.0813,0.0928
2213,5985412517611783040,234.81004,-50.054291,-3.9918,-3.1859,0.0186,-0.0043,-0.03337821782178185,-0.09767227722772232,-0.0336,0.97048,0.0489,0.2483,0.1891,0.2396
2235,5985412517645803904,234.814751,-50.057188,-3.8117,-3.1045,0.0217,-0.0072,0.14672178217821807,-0.016272277227721954,0.0322,0.98343,-0.1362,0.1504,0.1176,0.159
2261,5985412478926509952,234.809758,-50.058564,-3.9608,-2.9659,0.0185,-0.0086,-0.002378217821781714,0.12232772277227788,0.1174,0.99392,-0.1549,0.0967,0.0819,0.0941
2263,5985412483287302400,234.807606,-50.059886,-3.931,-3.3663,0.0171,-0.0099,0.027421782178218113,-0.278072277227722,-0.2542,0.96791,0.0906,0.1363,0.1239,0.1384
2264,5985412483286065792,234.805406,-50.06021,-4.0306,-3.0569,0.0157,-0.0102,-0.07217821782178158,0.03132772277227769,0.2017,0.99219,-0.1948,0.0528,0.0475,0.0552
