,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
197,4053978987442421888,266.851692,-33.079864,-4.6411,-8.3179,-0.0136,-0.0143,0.05271269841269799,0.15856507936508102,0.1414,0.98448,0.0457,0.1147,0.0773,0.1162
414,4053979429810407168,266.848245,-33.069402,-4.5417,-8.3864,-0.0165,-0.0038,0.15211269841269814,0.09006507936508079,0.1065,0.95737,-0.0862,0.2996,0.198,0.3702
449,4053979154927336576,266.866202,-33.078318,-4.8444,-8.3638,-0.0014,-0.0128,-0.1505873015873025,0.11266507936508141,0.1869,0.98232,-0.0502,0.2343,0.1514,0.2731
451,4053979361085768704,266.865156,-33.076867,-4.3793,-8.4927,-0.0023,-0.0113,0.314512698412698,-0.01623492063491838,0.2842,0.97829,0.0392,0.1555,0.1045,0.1649
462,4053979361085775360,266.863268,-33.074765,-4.3434,-8.7674,-0.0039,-0.0092,0.35041269841269784,-0.29093492063491944,-0.7115,0.95168,-0.1244,0.2132,0.1398,0.2541
463,4053979365399469184,266.863904,-33.075082,-4.3693,-8.3896,-0.0034,-0.0095,0.3245126984126978,0.08686507936508114,-0.1253,0.95717,-0.0803,0.477,0.3182,0.5843
465,4053979365399479936,266.863947,-33.07407,-5.2547,-8.5925,-0.0033,-0.0085,-0.5608873015873019,-0.11603492063491849,-0.6576,0.9762,-0.101,0.3286,0.2176,0.3977
470,4053979399759158784,266.869169,-33.074242,-4.671,-8.2194,0.0011,-0.0087,0.022812698412697507,0.2570650793650806,0.1387,0.98804,0.0452,0.1814,0.1227,0.1918
488,4053979365399594240,266.859724,-33.070081,-4.1261,-8.5804,-0.0069,-0.0045,0.5677126984126977,-0.10393492063491827,-0.2936,0.9759,-0.0677,0.3411,0.2226,0.4138
493,4053979365399498368,266.865221,-33.071634,-4.9073,-8.2497,-0.0023,-0.0061,-0.21348730158730245,0.22676507936508017,0.071,0.97325,-0.2175,0.455,0.2973,0.5827
497,4053979395450674944,266.869039,-33.073135,-4.5363,-8.8545,0.0009,-0.0076,0.157512698412698,-0.37803492063491895,-0.2753,0.9793,0.0104,0.35,0.2379,0.3844
509,4053979395450674304,266.867395,-33.070036,-4.7863,-8.3275,-0.0004,-0.0045,-0.092487301587302,0.1489650793650803,0.221,0.99541,-0.1005,0.1372,0.0911,0.1572
512,4053979399794710272,266.868312,-33.070188,-4.6157,-8.8961,0.0003,-0.0046,0.07811269841269741,-0.4196349206349197,-1.4801,0.98164,-0.3648,0.3543,0.2459,0.4512
513,4053979399759219712,266.868806,-33.070014,-4.8239,-8.4296,0.0007,-0.0045,-0.1300873015873023,0.04686507936508022,0.1441,0.99358,-0.089,0.2362,0.1531,0.2761
535,4053979434154526592,266.852581,-33.064098,-4.4183,-8.6759,-0.0129,0.0015,0.27551269841269743,-0.19943492063491952,0.0494,0.96951,-0.0678,0.0541,0.0352,0.0572
564,4053979365435011584,266.858627,-33.06852,-5.1717,-8.4366,-0.0078,-0.003,-0.47788730158730264,0.03986507936508055,0.0983,0.96591,-0.0091,0.112,0.0746,0.1181
568,4053979365399629952,266.860653,-33.066925,-4.2323,-8.3919,-0.0061,-0.0014,0.4615126984126974,0.08456507936508117,0.9243,0.95426,0.0445,0.5151,0.3427,0.6066
571,4053979361086621056,266.857739,-33.066415,-4.7875,-8.4524,-0.0085,-0.0009,-0.09368730158730187,0.024065079365080067,0.0925,0.99846,-0.0239,0.0985,0.0653,0.1031
580,4053979399759311744,266.862855,-33.068693,-4.6035,-8.9453,-0.0042,-0.0031,0.0903126984126974,-0.4688349206349187,-0.0602,0.97946,-0.0603,0.2949,0.1895,0.3465
582,4053979395445541120,266.863442,-33.067983,-4.8088,-8.678,-0.0037,-0.0024,-0.11498730158730197,-0.20153492063491996,0.0709,0.99841,-0.022,0.0771,0.0514,0.0812
583,4053979399759307520,266.864221,-33.068075,-4.5428,-8.7708,-0.0031,-0.0025,0.15101269841269804,-0.2943349206349186,0.0687,0.99322,-0.0385,0.1531,0.1037,0.1634
592,4053979395445540736,266.868968,-33.067626,-4.5159,-8.041,0.0009,-0.0021,0.17791269841269752,0.4354650793650805,0.0585,0.97341,-0.1345,0.2236,0.1514,0.2721
593,4053979399759341696,266.864426,-33.065757,-4.5536,-8.3644,-0.0029,-0.0002,0.14021269841269746,0.11206507936508103,-0.1925,0.99202,-0.1025,0.2816,0.184,0.3374
