,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
102,5237116853974315264,169.957648,-65.205566,-3.9242,1.415,0.0139,0.0142,0.15961632653061208,0.06761632653061223,-0.1835,0.96287,0.1003,0.2088,0.1866,0.1878
122,5237105102944723584,169.98299,-65.214145,-4.0712,1.3074,0.0245,0.0056,0.012616326530611843,-0.039983673469387915,-0.1278,0.96906,0.1129,0.1267,0.1223,0.1158
238,5237116922691907200,169.915585,-65.195529,-4.0922,1.5005,-0.0038,0.0242,-0.008383673469388064,0.15311632653061213,0.0608,0.97093,0.1175,0.0952,0.0952,0.0922
298,5237116892658789760,169.924186,-65.210294,-3.8676,1.3772,-0.0002,0.0094,0.21621632653061207,0.02981632653061217,0.0564,0.99628,0.128,0.1062,0.1021,0.0986
304,5237116823929821184,169.936724,-65.213807,-4.4705,1.0828,0.0051,0.0059,-0.38668367346938837,-0.2645836734693878,-0.1159,0.95557,-0.1361,0.2807,0.2606,0.2303
318,5237116823939316480,169.938036,-65.215098,-4.0459,1.3801,0.0056,0.0046,0.03791632653061239,0.032716326530612294,0.1519,0.99978,0.1228,0.0338,0.036,0.0316
321,5237116823929818496,169.938188,-65.217306,-3.9111,1.445,0.0057,0.0024,0.1727163265306122,0.09761632653061225,0.2012,0.97093,0.049,0.3633,0.3366,0.3309
331,5237116823929805440,169.929064,-65.214209,-4.3239,1.2592,0.0019,0.0055,-0.24008367346938808,-0.08818367346938771,-0.0627,0.99232,0.1353,0.0856,0.0837,0.0814
335,5237116823929794304,169.927857,-65.216807,-4.3886,1.5156,0.0014,0.0029,-0.3047836734693883,0.16821632653061225,0.415,0.97165,-0.0019,0.2549,0.2427,0.2272
336,5237116819614727936,169.927819,-65.214199,-3.9878,1.1904,0.0014,0.0055,0.09601632653061198,-0.1569836734693879,0.1032,0.99677,0.2339,0.096,0.1071,0.0925
344,5237116892649269120,169.923638,-65.216244,-3.9898,1.2611,-0.0004,0.0035,0.0940163265306122,-0.0862836734693877,-0.104,0.99714,0.2235,0.1613,0.165,0.1544
369,5237116892658784640,169.915519,-65.2131,-4.0288,1.3511,-0.0038,0.0066,0.055016326530611614,0.0037163265306121573,0.0939,0.99988,0.2091,0.0459,0.0456,0.0432
373,5237116888334976128,169.918926,-65.214004,-3.9671,1.2602,-0.0024,0.0057,0.11671632653061215,-0.08718367346938782,0.2687,0.98816,0.1725,0.0947,0.0919,0.0879
379,5237115415190034432,169.91706,-65.215522,-4.1767,1.2181,-0.0032,0.0042,-0.0928836734693883,-0.12928367346938785,0.1286,0.99659,0.1699,0.115,0.1078,0.1018
468,5237115342143890816,169.955789,-65.228075,-4.1922,1.4997,0.0131,-0.0084,-0.10838367346938771,0.15231632653061222,0.1157,0.97701,0.125,0.0931,0.0934,0.0853
552,5237116823939319168,169.947784,-65.218676,-4.1275,1.456,0.0097,0.001,-0.043683673469388395,0.10861632653061215,0.1392,0.99725,0.0838,0.0949,0.0931,0.0881
554,5237116823939318656,169.947026,-65.219844,-4.0695,1.4662,0.0094,-0.0001,0.014316326530612322,0.11881632653061214,0.0178,0.99877,0.0815,0.0963,0.0938,0.0889
557,5237116823929808896,169.934888,-65.218408,-3.9425,1.2891,0.0043,0.0013,0.1413163265306121,-0.0582836734693879,-0.1983,0.98957,0.1647,0.2915,0.269,0.2681
558,5237116819614744064,169.935378,-65.219275,-4.1962,1.402,0.0045,0.0004,-0.11238367346938816,0.0546163265306121,0.1251,0.99876,0.1555,0.0896,0.0864,0.0853
564,5237115342146752128,169.938592,-65.223324,-4.1654,1.2357,0.0059,-0.0036,-0.081583673469388,-0.11168367346938779,0.3187,0.97933,0.1563,0.1266,0.1179,0.1116
572,5237115346462355584,169.930335,-65.218616,-3.7848,1.2886,0.0024,0.0011,0.29901632653061183,-0.05878367346938784,0.0738,0.98587,0.0104,0.2882,0.2886,0.2781
581,5237115410866226816,169.920093,-65.217014,-4.1364,1.3634,-0.0019,0.0027,-0.05258367346938808,0.016016326530612135,0.1937,0.99899,0.1801,0.093,0.0886,0.0861
590,5237115415190033024,169.922307,-65.218853,-4.1533,1.1205,-0.001,0.0009,-0.06948367346938777,-0.22688367346938776,0.0017,0.99654,0.2635,0.1272,0.0922,0.1047
591,5237115415180496000,169.919486,-65.21895,-4.0491,1.3436,-0.0021,0.0008,0.03471632653061185,-0.003783673469387905,0.1806,0.99904,0.1937,0.081,0.0792,0.0749
