,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
201,5960157830744825344,262.702383,-39.947228,-2.8549,2.6489,-0.0748,-0.1393,0.0570316872427985,0.12162681755829885,-0.1011,0.97711,0.4793,0.5608,0.3425,0.4276
369,5960160785682484992,262.689834,-39.938227,-2.8001,2.3592,-0.0845,-0.1303,0.11183168724279868,-0.168073182441701,0.0657,0.98549,0.3555,0.3565,0.2273,0.308
616,5961659046322670336,262.718348,-39.944693,-2.7427,2.5875,-0.0626,-0.1367,0.16923168724279858,0.06022681755829895,-0.0332,0.99727,0.4417,0.2387,0.1608,0.1791
754,5961658908933019136,262.759788,-39.947467,-2.555,2.4042,-0.0308,-0.1395,0.35693168724279856,-0.12307318244170107,-0.1473,0.98679,0.2566,0.1555,0.1116,0.1502
755,5961658835910314240,262.760285,-39.947569,-3.0271,2.6625,-0.0304,-0.1396,-0.11516831275720119,0.13522681755829913,0.0677,0.98891,0.3696,0.3189,0.261,0.3085
808,5961659011962916224,262.73696,-39.94286,-2.9591,2.318,-0.0483,-0.1349,-0.047168312757201125,-0.2092731824417009,-0.1473,0.99229,0.417,0.2661,0.2093,0.2175
933,5961658835882837248,262.762487,-39.94556,-2.394,2.5763,-0.0288,-0.1376,0.5179316872427986,0.04902681755829885,0.0138,0.98501,0.3216,0.3225,0.2196,0.2795
1013,5961658904629791488,262.758423,-39.933664,-2.5018,3.0518,-0.0319,-0.1257,0.4101316872427989,0.5245268175582991,0.4027,0.95983,0.406,0.5199,0.3249,0.4513
1068,5961657981170698752,262.770964,-39.96455,-2.6396,2.2797,-0.0223,-0.1566,0.27233168724279855,-0.2475731824417009,-0.2124,0.96781,0.3039,0.2267,0.153,0.1884
1473,5961658049939507200,262.809425,-39.959319,-2.9616,2.5776,0.0072,-0.1513,-0.04966831275720107,0.05032681755829893,0.2989,0.99717,0.2468,0.134,0.0948,0.1147
