,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
532,4043766684902786048,269.648109,-32.027583,-8.0087,-8.1742,-0.0038,-0.0079,0.40755128205128344,-0.0455179487179489,1.1717,0.9808,0.261,0.411,0.2771,0.432
545,4043766684791628672,269.650858,-32.035011,-8.0873,-8.143,-0.0014,-0.0154,0.3289512820512819,-0.01431794871794878,0.1128,0.98684,0.7168,0.1718,0.1249,0.1107
609,4043766723454503936,269.659018,-32.026627,-8.0528,-7.9034,0.0055,-0.007,0.3634512820512832,0.22528205128205148,0.1345,0.99334,0.5484,0.034,0.0235,0.0274
665,4043767509401057792,269.620427,-32.016279,-8.116,-8.0197,-0.0272,0.0034,0.30025128205128304,0.10898205128205163,0.0568,0.98926,0.3778,0.0686,0.0467,0.0661
865,4043766753511074432,269.640779,-32.020175,-7.9629,-8.1862,-0.01,-0.0005,0.4533512820512824,-0.057517948717947576,0.0253,0.99445,0.4112,0.1475,0.1027,0.1345
870,4043766757867987840,269.646543,-32.024502,-8.2976,-8.4779,-0.0051,-0.0049,0.1186512820512835,-0.3492179487179481,0.1024,0.98488,0.434,0.1638,0.1139,0.1481
877,4043766723454577536,269.650046,-32.024199,-8.3826,-7.9859,-0.0021,-0.0046,0.03365128205128265,0.1427820512820519,0.1033,0.96401,0.4123,0.1063,0.0741,0.0994
882,4043766757814341888,269.646674,-32.022411,-8.0961,-8.3034,-0.005,-0.0028,0.32015128205128285,-0.174717948717948,-0.3856,0.99862,0.3413,0.1686,0.1187,0.1601
889,4043766787982085760,269.647603,-32.022495,-7.3594,-7.7708,-0.0042,-0.0029,1.0568512820512828,0.3578820512820515,0.3631,0.96933,0.4091,0.5091,0.3369,0.4419
892,4043766792227727488,269.649978,-32.0216,-10.329,-8.5358,-0.0022,-0.002,-1.912748717948718,-0.40711794871794815,-0.3356,0.97225,0.6981,0.81,0.5864,0.5853
893,4043766787981999872,269.647118,-32.021079,-8.5038,-7.9688,-0.0046,-0.0014,-0.08754871794871733,0.15988205128205202,-0.881,0.99149,0.384,0.5016,0.3734,0.5324
897,4043766787983754368,269.647819,-32.020335,-8.3864,-8.9046,-0.004,-0.0007,0.029851282051282624,-0.7759179487179484,1.5237,0.97227,0.5912,0.736,0.5265,0.6209
922,4043766787983749248,269.64485,-32.019118,-9.1033,-8.1724,-0.0065,0.0005,-0.6870487179487181,-0.04371794871794776,-1.4009,0.9793,0.5773,0.7506,0.494,0.607
925,4043766787845675520,269.647024,-32.019427,-8.1986,-8.1396,-0.0047,0.0002,0.21765128205128192,-0.010917948717947823,0.0462,0.99988,0.3696,0.0324,0.0219,0.0308
928,4043766787983666432,269.648814,-32.019044,-9.4097,-8.6936,-0.0032,0.0006,-0.9934487179487181,-0.5649179487179481,0.269,0.97457,0.3884,0.3493,0.2436,0.3357
929,4043766792174098304,269.648846,-32.018834,-9.6755,-7.8911,-0.0031,0.0008,-1.2592487179487168,0.23758205128205212,-1.4267,0.98404,0.1843,0.5557,0.3799,0.5768
930,4043766787983666304,269.648206,-32.01863,-8.2973,-7.5825,-0.0037,0.001,0.1189512820512828,0.5461820512820523,0.6197,0.97079,0.3704,0.2756,0.1876,0.278
934,4043766787983750400,269.6452,-32.017379,-9.7349,-9.0881,-0.0062,0.0023,-1.318648717948717,-0.9594179487179488,-0.6952,0.95654,0.3931,1.068,0.7053,0.9487
