,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
206,4058636931105103744,262.729112,-30.000516,2.7664,-9.9812,-0.0369,-0.0189,0.2361300236406616,0.17666406619385455,0.6512,0.99165,0.3229,0.3185,0.2354,0.2951
213,4058636931026415232,262.733178,-30.002921,2.4956,-10.37,-0.0333,-0.0213,-0.03466997635933833,-0.21213593380614526,0.7776,0.98643,0.4281,0.4327,0.2856,0.3296
327,4058636656148015360,262.754552,-30.018107,1.9287,-10.311,-0.0148,-0.0364,-0.6015699763593383,-0.15313593380614599,0.7312,0.97293,0.3943,0.4035,0.271,0.3072
368,4058636656148047872,262.756105,-30.014658,2.3008,-10.31,-0.0135,-0.033,-0.2294699763593382,-0.15213593380614654,0.0221,0.99767,0.3914,0.2103,0.1465,0.1663
490,4058636724867803264,262.748873,-30.001953,2.8074,-10.018,-0.0197,-0.0203,0.2771300236406615,0.13986406619385328,-0.4331,0.99748,0.3607,0.3101,0.2558,0.2466
506,4058636724946570240,262.757098,-30.009936,2.3512,-10.265,-0.0126,-0.0283,-0.1790699763593384,-0.10713593380614661,-0.0422,0.9987,0.0671,0.159,0.1055,0.1419
530,4058636759306293760,262.763667,-30.009649,2.0831,-10.06,-0.0069,-0.028,-0.4471699763593384,0.09786406619385346,-0.2576,0.99398,0.357,0.3696,0.2541,0.3098
556,4058636827946913536,262.756383,-30.002434,2.3954,-10.403,-0.0132,-0.0208,-0.1348699763593384,-0.2451359338061465,0.6609,0.98828,0.1709,0.1348,0.0935,0.1289
606,4058633701210165120,262.768636,-30.02731,2.4177,-10.543,-0.0026,-0.0456,-0.11256997635933841,-0.3851359338061453,-1.1983,0.95104,0.4859,0.5977,0.3814,0.464
743,4058636759227036288,262.769469,-30.018774,2.795,-9.9131,-0.0019,-0.0371,0.26473002364066156,0.24476406619385394,0.1481,0.9952,0.4111,0.3003,0.2147,0.2319
835,4058633804368715520,262.784219,-30.019982,2.6641,-9.907,0.0109,-0.0383,0.13383002364066154,0.25086406619385393,0.1242,0.99792,0.2334,0.0901,0.0627,0.0827
887,4058633838649082368,262.788609,-30.015662,2.0636,-10.21,0.0147,-0.034,-0.46666997635933827,-0.052135933806146895,0.5302,0.98835,0.2788,0.4106,0.25,0.325
934,4058636759227134464,262.773062,-30.009668,2.509,-10.592,0.0012,-0.028,-0.02126997635933847,-0.43413593380614657,0.4455,0.99469,0.3304,0.3583,0.2483,0.3025
958,4058636827946799488,262.766834,-30.002284,2.3815,-9.8002,-0.0042,-0.0206,-0.14876997635933842,0.3576640661938537,0.1752,0.99868,0.181,0.1366,0.0998,0.1207
959,4058636828050508544,262.767694,-30.002243,1.7709,-10.251,-0.0034,-0.0206,-0.7593699763593384,-0.09313593380614549,0.2037,0.99001,0.2656,0.2058,0.153,0.1814
986,4058633804292346880,262.784515,-30.013354,2.5034,-9.879,0.0111,-0.0317,-0.0268699763593383,0.2788640661938544,-0.6595,0.98065,0.643,0.7347,0.4618,0.4942
1023,4058633838649214592,262.78711,-30.00865,2.3635,-10.635,0.0134,-0.027,-0.1667699763593382,-0.47713593380614583,0.0488,0.99177,0.5563,0.2824,0.1889,0.193
1050,4058636793586838528,262.781519,-30.003984,2.4511,-10.191,0.0085,-0.0223,-0.07916997635933853,-0.03313593380614677,-0.0575,0.99858,0.8327,0.4583,0.3277,0.2073
