,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
27,4171082301556688512,272.563526,-7.263679,-2.6709,-4.4816,-0.1197,-0.0561,-0.08842773595830966,0.09379473074695976,0.2167,0.98746,0.1317,0.0461,0.039,0.0545
117,4171085355260828544,272.56805,-7.236852,-2.6919,-4.5964,-0.1152,-0.0293,-0.10942773595830957,-0.021005269253040026,-0.0821,0.96268,0.0647,0.2227,0.1913,0.274
258,4171082026678677120,272.593611,-7.28492,-2.3992,-4.69,-0.0898,-0.0773,0.1832722640416904,-0.11460526925304038,0.1783,0.98644,0.0305,0.0431,0.0357,0.0515
303,4171081202027489920,272.609264,-7.298824,-2.3613,-4.644,-0.0743,-0.0912,0.22117226404169044,-0.06860526925304011,0.2957,0.95939,-0.0018,0.1678,0.1319,0.2492
421,4171080927166851968,272.634692,-7.328059,-2.4881,-4.7364,-0.0491,-0.1205,0.09437226404169019,-0.1610052692530397,0.2494,0.96955,0.1808,0.0275,0.0215,0.0276
502,4171080961526591232,272.644528,-7.318577,-2.5639,-4.6228,-0.0393,-0.111,0.018572264041690545,-0.04740526925303978,0.357,0.97852,0.2705,0.1167,0.0862,0.1146
583,4159071270894480128,272.671822,-7.333345,-2.597,-4.6114,-0.0122,-0.1257,-0.014527735958309584,-0.03600526925303971,0.2335,0.99228,0.1143,0.0833,0.0626,0.0895
618,4159071335303728512,272.665776,-7.322772,-2.4991,-4.5917,-0.0182,-0.1152,0.08337226404169051,-0.016305269253040322,0.1867,0.97806,0.1714,0.1855,0.1417,0.1937
644,4159071442681461888,272.662929,-7.314531,-2.4729,-4.486,-0.0211,-0.1069,0.10957226404169029,0.08939473074696025,0.2931,0.9563,0.117,0.2464,0.1851,0.2554
652,4159071438381889280,272.665498,-7.309932,-2.5515,-4.4715,-0.0185,-0.1023,0.03097226404169051,0.1038947307469602,0.1681,0.99747,0.0628,0.0316,0.0242,0.032
657,4159071373973708416,272.674408,-7.323122,-2.498,-4.5747,-0.0097,-0.1155,0.08447226404169017,0.0006947307469600261,0.2171,0.99781,0.105,0.042,0.0319,0.0439
777,4171081339483787520,272.63967,-7.28712,-2.6719,-4.4941,-0.0441,-0.0795,-0.08942773595830955,0.08129473074695959,0.3319,0.98856,0.1605,0.0949,0.0755,0.0977
793,4171081133325337088,272.645689,-7.290986,-2.5727,-4.4465,-0.0382,-0.0834,0.009772264041690182,0.12889473074695967,0.1924,0.95646,-0.0259,0.3767,0.2786,0.3397
801,4171081129020444544,272.654157,-7.289743,-2.7015,-4.5561,-0.0298,-0.0821,-0.1190277359583094,0.019294730746960198,0.0239,0.97732,0.0513,0.3027,0.2212,0.2935
802,4171081339483780224,272.642182,-7.288302,-2.6652,-4.4724,-0.0416,-0.0807,-0.08272773595830962,0.10299473074695964,0.2268,0.99598,0.1377,0.0707,0.0531,0.0745
804,4171081339483780736,272.643002,-7.287319,-2.5415,-4.627,-0.0408,-0.0797,0.0409722640416903,-0.051605269253039765,0.2832,0.99327,0.0324,0.1017,0.0762,0.1025
870,4159071442693226240,272.669926,-7.304977,-2.5707,-4.6827,-0.0141,-0.0974,0.011772264041690406,-0.10730526925303963,0.1624,0.99544,0.0236,0.0809,0.0587,0.0795
914,4171081167685056128,272.657999,-7.289255,-2.6446,-4.5644,-0.026,-0.0816,-0.06212773595830967,0.010994730746960002,0.1743,0.99868,0.1057,0.0352,0.0266,0.0359
942,4171081094660734208,272.672626,-7.292038,-2.3801,-4.5324,-0.0114,-0.0844,0.2023722640416903,0.04299473074696003,0.1252,0.97454,0.0166,0.3107,0.2224,0.3411
996,4171082091085652992,272.577543,-7.269979,-2.729,-4.6418,-0.1058,-0.0624,-0.1465277359583097,-0.06640526925303991,0.2349,0.95199,0.0947,0.1949,0.1712,0.2465
1028,4171082061038436992,272.595295,-7.275459,-2.37,-4.3268,-0.0882,-0.0679,0.21247226404169028,0.2485947307469596,0.117,0.95122,-0.0127,0.1359,0.1144,0.1698
1064,4171082331603833088,272.572481,-7.256939,-2.6112,-4.4161,-0.1108,-0.0493,-0.028727735958309797,0.15929473074695988,0.1338,0.98657,0.0118,0.0731,0.0666,0.1039
1082,4171082125445393536,272.590217,-7.267687,-2.545,-4.5315,-0.0932,-0.0601,0.03747226404169046,0.04389473074695971,0.1189,0.99603,0.0052,0.0638,0.0531,0.0795
1101,4171082129757954304,272.595099,-7.258895,-2.6649,-4.6269,-0.0884,-0.0513,-0.08242773595830943,-0.05150526925304,0.1394,0.99299,0.0447,0.0936,0.0792,0.1167
1222,4171082232837158656,272.602058,-7.256846,-2.4454,-4.7869,-0.0815,-0.0492,0.1370722640416906,-0.21150526925304014,0.2564,0.97679,0.0241,0.0966,0.082,0.1221
1228,4171082232837138048,272.609807,-7.259141,-2.3996,-4.3011,-0.0738,-0.0515,0.18287226404169044,0.2742947307469601,0.29,0.95939,0.0077,0.0812,0.0667,0.1044
1234,4171082232837141504,272.612195,-7.255545,-2.3117,-4.4173,-0.0714,-0.0479,0.2707722640416903,0.15809473074696,0.0107,0.95599,-0.0155,0.0702,0.0568,0.0896
1267,4171082194177197824,272.625046,-7.260533,-2.5827,-4.5018,-0.0586,-0.0529,-0.00022773595830960502,0.07359473074695977,0.2741,0.99681,0.0924,0.0762,0.062,0.091
1333,4171082404635926784,272.573422,-7.240066,-2.4419,-4.4558,-0.1099,-0.0325,0.14057226404169043,0.11959473074696003,0.1904,0.99494,0.0276,0.0409,0.0342,0.0504
1335,4171082503402540032,272.576704,-7.241053,-2.5736,-4.7705,-0.1066,-0.0335,0.008872264041690503,-0.19510526925304017,0.3468,0.95945,0.1358,0.1456,0.1256,0.1742
