# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4330439194679454976,248.023895,-13.160085,-2.0308,-5.7291,-0.106,-0.1063,-0.10155189423835842,0.26740927387529556,-0.085,0.97863,0.0261,0.4446,0.3078,0.3478
4330437992088593536,248.041022,-13.190496,-1.7889,-6.0142,-0.0893,-0.1367,0.1403481057616418,-0.017690726124704348,0.108,0.98845,0.0876,0.3241,0.2244,0.2601
4330437785930155136,248.05304,-13.197886,-1.6795,-5.9194,-0.0776,-0.1441,0.24974810576164175,0.07710927387529498,0.1659,0.98992,0.0672,0.2475,0.1736,0.2004
4330438095167790848,248.077812,-13.199004,-1.8776,-5.9365,-0.0535,-0.1452,0.051648105761641805,0.060009273875295754,0.0757,0.99632,0.059,0.2254,0.1589,0.1879
4330438198247012992,248.07699,-13.185462,-1.9828,-5.8637,-0.0543,-0.1317,-0.053551894238358155,0.13280927387529573,0.0212,0.99808,0.0388,0.1327,0.0945,0.1145
4330438404405452416,248.065273,-13.175718,-1.6529,-6.0674,-0.0657,-0.1219,0.2763481057616417,-0.0708907261247047,0.2637,0.98041,0.0748,0.4634,0.3196,0.3825
4330438297027895680,248.072777,-13.170298,-2.3373,-5.9568,-0.0584,-0.1165,-0.4080518942383582,0.039709273875295104,-0.0699,0.97857,-0.0451,0.5681,0.3974,0.4352
4330452560617744128,247.966553,-13.060862,-1.9659,-5.9807,-0.1619,-0.0071,-0.03665189423835824,0.015809273875295737,0.1934,0.99975,0.0546,0.0397,0.0278,0.0352
4330451804703488640,247.983885,-13.070387,-2.1804,-6.1447,-0.145,-0.0167,-0.2511518942383584,-0.14819072612470485,0.2607,0.99205,0.2171,0.1553,0.1048,0.1234
4330476028319514752,247.984079,-13.050098,-1.9727,-5.7562,-0.1448,0.0036,-0.04345189423835816,0.24030927387529566,0.1052,0.99307,0.0403,0.209,0.1461,0.1839
4330439465259028096,248.005012,-13.145396,-1.8146,-6.3168,-0.1244,-0.0916,0.11464810576164175,-0.32029072612470433,0.1207,0.9604,0.0713,0.1816,0.1273,0.1467
4330439533978528000,247.994157,-13.126784,-2.3277,-6.1773,-0.135,-0.073,-0.39845189423835836,-0.18079072612470437,0.323,0.95308,0.1823,0.5629,0.388,0.4284
4330439568338263936,248.003791,-13.128753,-1.6095,-5.6042,-0.1256,-0.075,0.3197481057616418,0.3923092738752958,-0.3705,0.95497,0.1492,0.6414,0.4388,0.4924
4330439503917112320,248.015916,-13.138543,-1.8653,-6.0218,-0.1138,-0.0848,0.06394810576164178,-0.0252907261247044,0.1639,0.9998,0.0375,0.0465,0.0336,0.0392
4330439224740852352,248.031301,-13.151124,-2.0729,-5.9158,-0.0988,-0.0974,-0.14365189423835845,0.08070927387529547,0.0476,0.99794,0.0675,0.1844,0.1312,0.1493
4330439229039195392,248.033516,-13.147922,-1.9852,-6.0781,-0.0966,-0.0942,-0.055951894238358335,-0.08159072612470464,0.2148,0.99958,0.0423,0.0661,0.0476,0.0564
4330451426746348928,247.999158,-13.100463,-2.0357,-6.0587,-0.1301,-0.0467,-0.1064518942383581,-0.062190726124704554,0.3111,0.99724,0.1385,0.0885,0.0599,0.0717
4330439641356501760,248.034045,-13.109629,-1.7554,-5.7548,-0.0961,-0.0559,0.17384810576164167,0.24170927387529506,0.3803,0.99164,-0.0524,0.2472,0.172,0.1935
4330439332118689920,248.058292,-13.142804,-1.9103,-5.493,-0.0725,-0.089,0.01894810576164163,0.5035092738752951,0.6973,0.95641,0.0207,0.6275,0.42,0.482
4330439396539569152,248.042957,-13.132173,-2.3175,-5.9258,-0.0874,-0.0784,-0.38825189423835815,0.07070927387529569,0.3539,0.98552,0.0275,0.1782,0.1283,0.149
4330438576204432000,248.064916,-13.151035,-1.9449,-6.0294,-0.0661,-0.0973,-0.015651894238358333,-0.03289072612470445,-0.1382,0.99523,-0.0414,0.3824,0.2662,0.3123
4330438576201748608,248.067357,-13.150962,-2.1273,-6.3224,-0.0637,-0.0972,-0.19805189423835823,-0.3258907261247046,-0.1142,0.95801,-0.0946,1.0024,0.6945,0.7329
4330438576206186368,248.062143,-13.144301,-2.2181,-5.6959,-0.0688,-0.0905,-0.28885189423835844,0.30060927387529546,-0.3638,0.99208,-0.0817,0.3473,0.2545,0.3064
4330438606272122368,248.075028,-13.145809,-2.6758,-6.3389,-0.0562,-0.092,-0.7465518942383584,-0.34239072612470434,-0.1462,0.95885,-0.1112,0.3897,0.2786,0.3172
4330439366478431616,248.059664,-13.13954,-1.8678,-6.0496,-0.0712,-0.0858,0.061448105761641836,-0.053090726124704446,0.1632,0.99977,0.0,0.0907,0.0625,0.0768
4330439366475752704,248.065587,-13.136893,-1.3067,-6.1891,-0.0654,-0.0831,0.6225481057616418,-0.1925907261247044,-0.9286,0.9657,-0.0033,1.0199,0.7938,0.9134
4330439366478438528,248.060869,-13.134118,-2.0128,-6.2585,-0.07,-0.0803,-0.08355189423835818,-0.2619907261247043,0.3957,0.9926,-0.0039,0.25,0.1731,0.21
4330438610564168064,248.07997,-13.141631,-2.0033,-5.7887,-0.0514,-0.0879,-0.07405189423835812,0.20780927387529502,0.2766,0.99601,-0.1237,0.33,0.2348,0.2622
4330462078265483008,248.079595,-13.132765,-1.5692,-6.4627,-0.0518,-0.079,0.3600481057616418,-0.46619072612470447,-0.2547,0.98835,-0.0543,0.3392,0.2371,0.2698
4330439396539575040,248.039876,-13.126583,-1.999,-5.7743,-0.0904,-0.0728,-0.06975189423835837,0.2222092738752952,0.2449,0.99695,0.0556,0.1712,0.122,0.1406
4330439641356479104,248.037176,-13.116656,-2.7468,-5.9248,-0.0931,-0.0629,-0.8175518942383582,0.07170927387529513,0.1311,0.96749,-0.0342,0.3874,0.2684,0.3025
4330439435197951616,248.05288,-13.126041,-1.2081,-5.6224,-0.0778,-0.0723,0.7211481057616418,0.3741092738752956,0.331,0.97141,0.1345,0.515,0.3507,0.3765
4330439435195268224,248.053281,-13.124053,-1.3468,-6.7608,-0.0774,-0.0703,0.5824481057616417,-0.7642907261247043,-0.1102,0.95685,-0.0601,0.9414,0.6247,0.7749
4330439435193903360,248.04814,-13.117946,-1.9445,-6.172,-0.0824,-0.0642,-0.015251894238358155,-0.1754907261247043,-0.2,0.98065,-0.0935,0.8527,0.5781,0.6823
4330439430899324160,248.049579,-13.118182,-2.4947,-5.9812,-0.081,-0.0644,-0.5654518942383582,0.015309273875295126,-0.2168,0.98931,-0.0911,0.5294,0.3585,0.4381
4330439641356493184,248.035377,-13.112481,-1.8866,-5.882,-0.0948,-0.0587,0.042648105761641686,0.11450927387529575,0.1649,0.99903,-0.0686,0.1843,0.1278,0.1469
4330439641356481792,248.043683,-13.111269,-1.7285,-6.059,-0.0867,-0.0575,0.20074810576164182,-0.06249072612470474,0.1088,0.99883,-0.0332,0.1934,0.1364,0.1713
4330462898600635136,248.057293,-13.114315,-2.2378,-5.994,-0.0735,-0.0605,-0.30855189423835827,0.002509273875295648,0.3369,0.99565,-0.1057,0.3596,0.2555,0.3448
4330462902894945408,248.060376,-13.123213,-2.0652,-5.9307,-0.0705,-0.0694,-0.13595189423835818,0.06580927387529556,0.4191,0.99662,-0.0117,0.2825,0.1979,0.2261
4330462829881148416,248.070214,-13.122152,-1.8715,-5.8942,-0.0609,-0.0684,0.0577481057616418,0.10230927387529576,0.1891,0.99944,-0.0443,0.1861,0.1297,0.1519
4330462834177063936,248.073509,-13.130614,-2.5506,-6.5071,-0.0577,-0.0768,-0.6213518942383585,-0.5105907261247049,-0.892,0.95272,0.0282,1.4352,0.9748,1.1575
4330462073972354176,248.078448,-13.130398,-2.0152,-6.1324,-0.0529,-0.0766,-0.08595189423835836,-0.1358907261247042,0.2924,0.99907,-0.055,0.1389,0.0986,0.1154
4330462078261037184,248.08181,-13.130454,-2.611,-5.5964,-0.0496,-0.0767,-0.6817518942383585,0.4001092738752954,0.8099,0.96855,-0.0004,0.5742,0.3891,0.4493
4330462073966895488,248.080233,-13.129051,-1.3189,-5.7265,-0.0511,-0.0753,0.6103481057616418,0.2700092738752957,0.0461,0.99003,-0.0581,0.4673,0.321,0.3768
4330462073966894848,248.082117,-13.12958,-2.4851,-5.583,-0.0493,-0.0758,-0.5558518942383583,0.41350927387529524,0.1499,0.97046,-0.0523,0.2682,0.1848,0.219
4330462829886575744,248.07254,-13.123919,-2.149,-6.1185,-0.0586,-0.0701,-0.21975189423835828,-0.12199072612470463,-0.0042,0.99779,-0.0009,0.3613,0.2505,0.284
