# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4267317292985830144,287.75371,0.961552,-1.0998,-3.6048,-0.0463,-0.0689,-0.0306544776119404,0.013552860696517843,-0.0199,0.97634,0.2956,0.0834,0.0766,0.079
4267318426865141888,287.753205,0.978889,-1.2529,-3.6241,-0.0468,-0.0516,-0.1837544776119402,-0.0057471393034820295,-0.0146,0.96796,0.3477,0.1263,0.127,0.1164
4267318774802684544,287.721539,1.00753,-1.1492,-3.6935,-0.0785,-0.0229,-0.08005447761194029,-0.07514713930348194,0.0654,0.97366,0.4273,0.1011,0.0895,0.0992
4267318770478845824,287.723249,1.003062,-0.9967,-3.6247,-0.0768,-0.0274,0.07244552238805968,-0.006347139303481963,0.1339,0.97569,0.3896,0.0728,0.0636,0.0726
4267318701735223808,287.739577,0.997953,-0.9883,-3.6206,-0.0605,-0.0325,0.08084552238805975,-0.002247139303482193,-0.189,0.97127,0.4454,0.1018,0.0873,0.1089
4267318499924660352,287.748693,0.992773,-0.9284,-3.6372,-0.0513,-0.0377,0.1407455223880597,-0.01884713930348214,0.0971,0.97368,0.3713,0.079,0.066,0.0799
4267318529936521856,287.754133,0.997672,-1.0417,-3.5831,-0.0459,-0.0328,0.02744552238805964,0.035252860696517896,0.1089,0.99659,0.3332,0.0531,0.045,0.0503
4267318529944740352,287.758229,0.998873,-1.1089,-3.6743,-0.0418,-0.0316,-0.039754477611940287,-0.055947139303482274,0.1728,0.99298,0.272,0.0477,0.0413,0.0447
4267318740442874496,287.750403,1.008311,-1.1494,-3.5329,-0.0496,-0.0222,-0.08025447761194027,0.0854528606965177,0.2361,0.97228,0.4247,0.1176,0.1021,0.113
4267330525780004608,287.715754,1.02,-1.1229,-3.7244,-0.0843,-0.0105,-0.0537544776119403,-0.10604713930348231,0.1244,0.96542,0.3159,0.0853,0.074,0.0821
4267318809162441856,287.729647,1.020254,-1.0148,-3.4987,-0.0704,-0.0102,0.054345522388059786,0.11965286069651793,-0.0978,0.97115,0.3874,0.1274,0.1105,0.124
4267318804833001600,287.733728,1.021286,-1.0962,-3.5369,-0.0663,-0.0092,-0.027054477611940353,0.08145286069651769,0.0927,0.9945,0.2198,0.0323,0.0289,0.0325
4267318804833103232,287.741079,1.015207,-1.1244,-3.7911,-0.059,-0.0153,-0.055254477611940356,-0.1727471393034823,0.1744,0.95634,0.3316,0.0972,0.0864,0.0981
4267318809162415232,287.738511,1.018093,-0.9625,-3.6301,-0.0615,-0.0124,0.10664552238805969,-0.011747139303482257,0.2116,0.96252,0.3646,0.0799,0.0714,0.08
4267318912241628160,287.741307,1.019583,-1.2296,-3.6604,-0.0587,-0.0109,-0.16045447761194032,-0.04204713930348225,0.1418,0.99312,0.2187,0.035,0.0313,0.0344
4267318839174234240,287.748317,1.018488,-1.1516,-3.6701,-0.0517,-0.012,-0.08245447761194025,-0.05174713930348229,0.2864,0.95748,0.2619,0.1385,0.1405,0.1338
4267318839182460288,287.756869,1.017367,-1.071,-3.7793,-0.0432,-0.0131,-0.0018544776119402417,-0.16094713930348226,0.0459,0.98526,0.5156,0.099,0.0943,0.0852
4267318912188079616,287.748456,1.022966,-0.86,-3.6229,-0.0516,-0.0075,0.20914552238805972,-0.004547139303482162,0.0317,0.96737,0.3884,0.0815,0.0697,0.0867
4267318877881872896,287.755835,1.026203,-1.254,-3.6048,-0.0442,-0.0043,-0.1848544776119403,0.013552860696517843,0.1846,0.98707,0.3773,0.0868,0.0743,0.0869
4267318946601354112,287.756368,1.028263,-1.2549,-3.7463,-0.0437,-0.0022,-0.1857544776119402,-0.12794713930348234,-0.1896,0.96958,0.2388,0.2357,0.2133,0.2134
4267318877881874816,287.758417,1.028898,-1.3235,-3.8196,-0.0416,-0.0016,-0.2543544776119402,-0.20124713930348204,0.0551,0.97159,0.2851,0.144,0.1384,0.1306
4267318942260262400,287.758528,1.032859,-1.1774,-3.546,-0.0415,0.0024,-0.10825447761194029,0.07235286069651803,0.1366,0.99479,0.3818,0.0797,0.0681,0.0799
4267318946601368064,287.760378,1.035401,-1.1142,-3.6295,-0.0397,0.0049,-0.04505447761194037,-0.011147139303482323,0.2012,0.99308,0.3457,0.0853,0.0769,0.0824
