# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
555986986802000512,53.185365,79.580023,-0.0675,0.3154,-0.0268,-0.001,0.2130682692307692,0.15096346153846157,0.2741,0.96018,0.4241,0.7809,0.9051,0.6627
555986922378363008,53.230882,79.576906,-0.4568,-0.3769,-0.0186,-0.0041,-0.17623173076923077,-0.5413365384615385,-0.3386,0.99267,0.2934,0.7226,0.6966,0.628
555987570917568640,53.209941,79.594873,-0.478,-0.4154,-0.0223,0.0138,-0.19743173076923076,-0.5798365384615385,0.149,0.99365,0.279,0.1721,0.2,0.1426
555986986802004096,53.222501,79.583107,-1.0767,-0.0734,-0.0201,0.0021,-0.7961317307692308,-0.23783653846153846,0.0078,0.98537,0.0595,0.4258,0.505,0.4061
555987364759130624,53.254256,79.587126,-0.6704,-0.41,-0.0143,0.0061,-0.3898317307692308,-0.5744365384615384,0.7506,0.98742,0.3159,0.819,0.8541,0.7264
555987296039647104,53.270842,79.579628,-0.4724,-0.0102,-0.0113,-0.0014,-0.19183173076923077,-0.17463653846153843,0.2149,0.99953,-0.0747,0.3395,0.4094,0.3637
555987296039644800,53.280523,79.577036,1.3652,-0.7234,-0.0096,-0.004,1.6457682692307691,-0.8878365384615385,0.0217,0.96031,0.4307,0.9486,1.0728,0.8533
555987300333807872,53.292077,79.583102,0.7586,0.514,-0.0075,0.0021,1.0391682692307693,0.3495634615384616,-0.585,0.99752,0.3466,0.501,0.5459,0.4403
555987296044758912,53.293136,79.580181,0.1866,0.8151,-0.0073,-0.0009,0.4671682692307692,0.6506634615384617,0.8188,0.99718,0.3143,0.5875,0.6441,0.5364
555987296039649152,53.295041,79.579022,-0.2945,0.0574,-0.007,-0.002,-0.013931730769230766,-0.10703653846153843,0.3887,0.99991,0.3009,0.1668,0.1849,0.141
555987639637061120,53.188038,79.612709,-0.1246,0.0385,-0.0262,0.0317,0.15596826923076923,-0.12593653846153843,0.0892,0.99078,0.0259,0.2409,0.3172,0.2467
555987570917581184,53.207988,79.609258,-0.1957,-0.1704,-0.0226,0.0282,0.0848682692307692,-0.33483653846153844,0.1988,0.98239,0.1155,0.346,0.4401,0.3528
555987403413502720,53.316782,79.601556,0.3455,0.4426,-0.003,0.0205,0.6260682692307692,0.27816346153846155,-0.0474,0.98989,0.3598,0.5783,0.6236,0.5275
555987296039656832,53.293528,79.587714,-0.4797,-0.4974,-0.0072,0.0067,-0.1991317307692308,-0.6618365384615384,0.459,0.99842,-0.0114,0.2797,0.3388,0.2714
555987369055003648,53.290043,79.592941,0.2047,1.3686,-0.0078,0.0119,0.4852682692307692,1.2041634615384615,-0.4057,0.98852,0.4072,0.6295,0.6909,0.5282
555987300333806592,53.307997,79.584759,-0.1637,-0.3361,-0.0046,0.0037,0.1168682692307692,-0.5005365384615384,0.0829,0.99967,0.2857,0.5013,0.5776,0.4543
555987296039658112,53.309536,79.585882,-0.3883,0.1014,-0.0043,0.0048,-0.10773173076923076,-0.06303653846153844,0.1405,0.99998,0.2746,0.1381,0.164,0.1185
555987300335246848,53.301383,79.583114,-0.3793,0.0162,-0.0058,0.0021,-0.09873173076923081,-0.14823653846153845,0.1355,0.99999,0.262,0.087,0.0994,0.0741
555987300335246464,53.310289,79.583733,-0.234,0.0646,-0.0042,0.0027,0.046568269230769205,-0.09983653846153843,0.213,0.99996,-0.0377,0.2337,0.294,0.2343
555987296045364992,53.315928,79.582404,-0.0816,-0.2399,-0.0032,0.0014,0.1989682692307692,-0.40433653846153844,-0.4675,0.99978,0.0653,0.4215,0.4838,0.3898
555987300335246592,53.316572,79.582012,1.1324,-1.2387,-0.0031,0.001,1.4129682692307692,-1.4031365384615384,0.6362,0.99145,-0.1137,2.4216,1.6922,1.4938
555987300333807360,53.318795,79.581346,0.188,-0.3734,-0.0027,0.0003,0.4685682692307692,-0.5378365384615384,0.1141,0.99982,-0.0045,0.2908,0.3589,0.2904
555987300333803264,53.312305,79.587462,-0.9923,0.3248,-0.0038,0.0064,-0.7117317307692308,0.16036346153846154,0.5642,0.9971,0.28,0.4904,0.5484,0.4138
555987300334288000,53.315822,79.589261,-0.3893,-0.4323,-0.0032,0.0082,-0.10873173076923076,-0.5967365384615384,1.0919,0.99501,0.1004,0.6067,0.6942,0.5461
555987296039656064,53.321623,79.586889,-1.135,-1.6771,-0.0021,0.0058,-0.8544317307692308,-1.8415365384615385,0.3369,0.99116,0.3457,0.6358,0.6771,0.5659
555987300333805696,53.326425,79.583786,-0.3886,-0.1888,-0.0013,0.0027,-0.10803173076923078,-0.35323653846153846,-0.2285,0.99993,-0.0065,0.3087,0.3726,0.3094
555987300334288256,53.328603,79.583032,-0.4051,0.1072,-0.0009,0.002,-0.1245317307692308,-0.057236538461538436,-0.632,0.99937,0.4467,0.717,0.8817,0.6581
555987300334288128,53.330367,79.58295,-0.5415,-0.0764,-0.0006,0.0019,-0.26093173076923076,-0.24083653846153844,0.0416,0.99996,0.0243,0.1812,0.22,0.1752
555987334694252288,53.333952,79.586593,0.8664,0.3757,0.0001,0.0055,1.1469682692307692,0.21126346153846154,-0.5883,0.99752,0.386,1.2075,1.1935,1.0438
555987334694983552,53.331828,79.585889,0.2034,-0.4686,-0.0003,0.0048,0.4839682692307692,-0.6330365384615384,-0.167,0.99956,0.3406,0.4658,0.5093,0.3961
555987300333804032,53.33137,79.584926,-0.0285,0.1877,-0.0004,0.0039,0.2520682692307692,0.023263461538461566,0.3915,0.99976,0.1014,0.4119,0.505,0.4121
555987300333803904,53.333483,79.584741,0.184,0.455,-0.0,0.0037,0.4645682692307692,0.2905634615384616,-0.1588,0.99931,0.4341,0.7018,0.762,0.615
555987334694982400,53.340939,79.593959,-0.2284,-0.0926,0.0013,0.0129,0.052168269230769226,-0.25703653846153846,0.0266,0.99988,0.2583,0.0469,0.054,0.0399
555987334694252544,53.34421,79.585679,0.7133,2.4007,0.0019,0.0046,0.9938682692307692,2.236263461538462,0.4632,0.98749,0.4023,0.925,0.9997,0.7744
555987330399396864,53.347787,79.589043,-1.4548,0.2681,0.0026,0.008,-1.174231730769231,0.10366346153846157,-0.4901,0.99491,0.3159,0.6602,0.8416,0.5917
555987330399405312,53.353374,79.597499,0.1492,0.1996,0.0036,0.0164,0.4297682692307692,0.03516346153846156,0.2518,0.99664,0.0371,0.162,0.2113,0.1703
555987433478620160,53.407649,79.596261,0.7536,-0.2451,0.0134,0.0152,1.0341682692307692,-0.4095365384615385,0.0096,0.96135,0.2967,0.5263,0.6006,0.4849
555986918082509696,53.228738,79.563772,-0.4718,-0.1376,-0.019,-0.0173,-0.19123173076923078,-0.30203653846153844,0.4858,0.99054,0.0234,0.3015,0.3602,0.3013
555986918082510080,53.235528,79.564584,-0.5209,-0.6081,-0.0177,-0.0165,-0.2403317307692308,-0.7725365384615384,0.1912,0.98616,0.0082,0.2914,0.3555,0.2912
555986918082513024,53.22912,79.568016,-0.4148,-0.1954,-0.0189,-0.013,-0.13423173076923078,-0.3598365384615384,-0.1976,0.99768,-0.0294,0.2755,0.3197,0.2612
555986166464119296,53.272256,79.562638,-0.079,0.2715,-0.0111,-0.0184,0.2015682692307692,0.10706346153846158,0.0953,0.9993,0.309,0.2,0.2213,0.169
555986166464119424,53.279165,79.560532,-0.2708,0.0914,-0.0098,-0.0205,0.009768269230769233,-0.07303653846153844,0.5109,0.99515,-0.1565,0.248,0.3447,0.263
