# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
6078981713011271296,189.69341,-51.110299,-1.5433,0.3255,0.0163,0.04,-0.4705855218855217,-0.1845486531986531,-0.4431,0.97591,0.5233,0.5466,0.4477,0.6208
6078981713011267584,189.694298,-51.111272,-1.2173,0.33,0.0168,0.039,-0.14458552188552187,-0.1800486531986531,0.7378,0.97283,0.4621,0.5106,0.3824,0.5428
6078981713022143872,189.693012,-51.112737,-1.1984,0.4536,0.016,0.0375,-0.12568552188552173,-0.05644865319865311,0.1504,0.99968,0.4008,0.0685,0.0549,0.0855
6078981713020781312,189.69169,-51.113769,-1.2245,0.4246,0.0152,0.0365,-0.15178552188552175,-0.08544865319865314,0.1116,0.99996,0.4423,0.0394,0.0333,0.0487
6078981674357495936,189.673727,-51.111553,-1.2477,0.386,0.0039,0.0387,-0.17498552188552186,-0.1240486531986531,0.0665,0.99983,0.4369,0.0884,0.0761,0.1068
6078981708717225088,189.680703,-51.114903,-1.4337,0.4761,0.0083,0.0354,-0.3609855218855218,-0.03394865319865309,-0.1151,0.99834,0.4169,0.1649,0.1445,0.1935
6078981713011252096,189.676471,-51.115232,-1.1835,0.0333,0.0056,0.035,-0.11078552188552182,-0.4767486531986531,-0.0985,0.98561,0.4571,0.4199,0.3157,0.4468
6078981644294468864,189.645626,-51.114514,-0.4155,1.4509,-0.0137,0.0358,0.6572144781144782,0.940851346801347,0.3501,0.95282,0.6569,0.8592,0.7033,0.7926
6078981644294459776,189.641683,-51.114938,-1.2351,0.4584,-0.0162,0.0353,-0.1623855218855219,-0.05164865319865314,-0.2224,0.97147,0.3954,0.7272,0.62,0.7376
6078981747380516096,189.653576,-51.118716,-1.2439,0.4298,-0.0087,0.0316,-0.17118552188552183,-0.0802486531986531,0.0903,0.99999,0.4509,0.0215,0.018,0.0279
6078982365846297344,189.724073,-51.115126,-1.7788,0.2187,0.0355,0.0351,-0.7060855218855218,-0.2913486531986531,-0.0273,0.95715,0.4698,0.261,0.1964,0.2753
6078982434575288576,189.713899,-51.115175,-1.1579,0.4745,0.0291,0.0351,-0.08518552188552175,-0.035548653198653135,0.0775,0.99955,0.4091,0.081,0.0674,0.0958
6078980952802955520,189.698843,-51.123425,-0.8149,0.5059,0.0197,0.0268,0.2578144781144782,-0.004148653198653096,-0.0795,0.99648,0.4632,0.2321,0.1734,0.2505
6078980884087549056,189.69931,-51.125755,-1.0603,0.3767,0.02,0.0245,0.012414478114478156,-0.13334865319865313,0.0879,0.99867,0.4337,0.1882,0.155,0.2141
6078980888387056384,189.697563,-51.126182,-1.4648,0.4524,0.0189,0.0241,-0.3920855218855219,-0.05764865319865309,-0.0044,0.99684,0.4786,0.2792,0.2148,0.3049
6078980957099765504,189.694317,-51.126625,-1.2145,-0.0162,0.0168,0.0236,-0.14178552188552174,-0.5262486531986531,-1.257,0.98491,0.6235,0.8379,0.6616,0.7836
6078980888388421632,189.703118,-51.127986,-1.5037,0.1247,0.0224,0.0223,-0.43098552188552186,-0.3853486531986531,0.0394,0.9822,0.5728,0.6766,0.4519,0.5934
6078980888387055872,189.703866,-51.128686,-1.2792,0.3777,0.0228,0.0216,-0.20648552188552172,-0.13234865319865313,0.0192,0.99999,0.4624,0.0349,0.0291,0.0436
6078982121034024448,189.739533,-51.136598,-1.1997,0.5019,0.0452,0.0137,-0.1269855218855218,-0.0081486531986531,0.1345,0.99896,0.4613,0.0592,0.049,0.0626
6078982159697815296,189.715681,-51.131876,-1.2303,0.4272,0.0302,0.0184,-0.15758552188552177,-0.08284865319865309,-0.323,0.98287,0.6261,0.7139,0.6073,0.6901
6078982159687790592,189.716682,-51.137405,-1.2321,0.3595,0.0309,0.0129,-0.1593855218855218,-0.15054865319865313,0.3446,0.99366,0.4293,0.3512,0.2767,0.3801
6078980888381583744,189.696851,-51.133448,-0.9622,0.8236,0.0184,0.0168,0.11051447811447812,0.3135513468013469,1.4884,0.96333,0.1169,1.3424,0.9815,1.2909
6078980888380286592,189.700487,-51.136735,-0.9575,0.0575,0.0207,0.0135,0.11521447811447816,-0.4525486531986531,-0.7655,0.9953,0.4914,0.4583,0.3921,0.4446
6078980682228621184,189.704374,-51.137912,-1.2244,0.3986,0.0231,0.0124,-0.15168552188552176,-0.1114486531986531,-0.0465,0.99995,0.4235,0.0977,0.0818,0.1073
6078980682229988352,189.700039,-51.138747,-1.2655,0.4119,0.0204,0.0115,-0.1927855218855219,-0.09814865319865312,0.0271,0.99998,0.3828,0.0659,0.0554,0.0727
6078980682221860864,189.707042,-51.138737,-1.4217,-0.2657,0.0248,0.0115,-0.3489855218855218,-0.775748653198653,-0.5869,0.98739,0.4706,0.4964,0.4345,0.5001
6078980682223153920,189.703351,-51.140992,0.6359,-0.0112,0.0225,0.0093,1.708614478114478,-0.5212486531986531,-0.4998,0.95018,0.6328,1.7772,1.1031,1.3568
6078982159690620544,189.718048,-51.141678,-1.8776,-0.0274,0.0317,0.0086,-0.8048855218855218,-0.5374486531986531,-0.5354,0.95092,0.5377,1.0192,0.7163,0.8736
6078982090977893760,189.723966,-51.141882,-1.6181,0.3761,0.0354,0.0084,-0.5453855218855219,-0.13394865319865312,-0.3696,0.99414,0.3908,0.3263,0.2545,0.3321
6078982159697370624,189.716179,-51.140334,-1.2917,0.3571,0.0305,0.0099,-0.2189855218855219,-0.15294865319865314,-0.0143,0.99996,0.4299,0.0591,0.051,0.0702
6078980682228619264,189.702435,-51.141642,-1.2286,0.3909,0.0219,0.0086,-0.15588552188552174,-0.11914865319865309,0.1203,0.99999,0.4277,0.034,0.0276,0.0381
6078980682221850368,189.699633,-51.141575,-1.4276,-0.2059,0.0202,0.0087,-0.3548855218855218,-0.7159486531986531,-0.4262,0.98693,0.5789,0.8581,0.6823,0.6999
6078980677924992256,189.706807,-51.143468,-1.0951,0.3591,0.0247,0.0068,-0.022385521885521786,-0.15094865319865314,0.4036,0.99761,0.4152,0.2152,0.1725,0.2232
6078980682219009664,189.703682,-51.144191,-1.4821,0.3614,0.0227,0.0061,-0.4093855218855218,-0.1486486531986531,0.1458,0.9984,0.4203,0.2813,0.2166,0.2815
6078980682219006720,189.70419,-51.144936,-1.0989,0.5287,0.023,0.0053,-0.026185521885521812,0.018651346801346835,-0.1722,0.99982,0.4044,0.1211,0.1062,0.1331
