,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
269,4064106516008700032,270.721042,-26.10371,-6.629,-2.6715,-0.0185,-0.0312,0.36933543307086847,-0.1563574803149601,-0.1063,0.96,0.0166,0.0991,0.072,0.1025
372,4064109475309378048,270.715713,-26.092888,-6.9506,-2.6478,-0.0233,-0.0204,0.04773543307086836,-0.13265748031496027,0.1065,0.99876,-0.0739,0.0916,0.0631,0.1044
522,4064109475251588352,270.707024,-26.08852,-6.3538,-2.5012,-0.0311,-0.016,0.6445354330708684,0.013942519685040011,-0.2137,0.96719,0.1541,0.2707,0.1816,0.2751
699,4064109574032905728,270.715543,-26.078951,-6.748,-2.4227,-0.0235,-0.0065,0.2503354330708678,0.09244251968504003,0.3465,0.9941,0.0089,0.224,0.159,0.259
700,4064109642745014400,270.713712,-26.078577,-6.7645,-2.7183,-0.0251,-0.0061,0.23383543307086807,-0.20315748031496028,-0.1798,0.99763,-0.1039,0.1549,0.112,0.193
715,4064109647050390656,270.715034,-26.075347,-6.5386,-2.4691,-0.0239,-0.0028,0.4597354330708683,0.04604251968503981,0.1784,0.95461,-0.4956,0.6436,0.3955,0.4945
729,4064109574032916224,270.726584,-26.079039,-7.0261,-2.7111,-0.0135,-0.0065,-0.02776456692913154,-0.1959574803149602,0.1444,0.99889,-0.0031,0.1675,0.1181,0.1779
749,4064109642745053568,270.716998,-26.071317,-6.2589,-2.4751,-0.0222,0.0012,0.7394354330708683,0.04004251968504002,0.0941,0.96983,-0.0535,0.1879,0.1379,0.2103
764,4064109647050379264,270.722505,-26.069399,-8.2137,-2.048,-0.0172,0.0031,-1.2153645669291313,0.46714251968503984,0.2122,0.95788,0.1662,1.0837,0.6278,0.9305
875,4064106550375141888,270.743054,-26.10253,-6.8798,-2.3858,0.0012,-0.03,0.11853543307086767,0.12934251968503974,0.1125,0.99564,0.0584,0.1858,0.134,0.1942
996,4064106550375958656,270.745553,-26.095935,-7.213,-2.3649,0.0035,-0.0234,-0.21466456692913205,0.15024251968503988,0.5229,0.9806,0.3436,0.2771,0.1865,0.2427
1009,4064106554672980352,270.748842,-26.093753,-6.7858,-2.976,0.0064,-0.0213,0.21253543307086797,-0.4608574803149601,-0.0141,0.97042,-0.0556,0.6281,0.3946,0.6625
1086,4064106382873705088,270.766055,-26.106513,-6.8228,-2.4901,0.0219,-0.034,0.17553543307086805,0.0250425196850399,0.2306,0.99166,-0.0049,0.1039,0.0756,0.1101
1185,4064106382873872640,270.763445,-26.101159,-7.0341,-2.7387,0.0196,-0.0287,-0.03576456692913155,-0.22355748031496026,0.045,0.99589,0.0297,0.1462,0.1067,0.1489
1203,4064106589032556288,270.75569,-26.095202,-7.2641,-2.123,0.0126,-0.0227,-0.265764566929132,0.39214251968503966,0.7994,0.95125,0.0835,0.4505,0.3213,0.4735
1220,4064106589032554880,270.76066,-26.091237,-7.7867,-2.731,0.0171,-0.0187,-0.7883645669291317,-0.21585748031496,0.6059,0.95517,-0.1375,0.425,0.2802,0.4441
1356,4064109574032918912,270.729569,-26.081703,-7.2796,-2.3387,-0.0109,-0.0092,-0.28126456692913226,0.1764425196850401,0.161,0.996,0.3075,0.3526,0.2544,0.3939
1363,4064109574032921472,270.733202,-26.080804,-7.4216,-2.6948,-0.0076,-0.0083,-0.4232645669291317,-0.17965748031495998,0.7234,0.99327,0.1116,0.351,0.235,0.3598
1372,4064106623451070976,270.740505,-26.08425,-6.6977,-2.569,-0.001,-0.0118,0.3006354330708678,-0.05385748031496007,0.0016,0.99966,-0.0758,0.0995,0.0728,0.1023
1381,4064106653447769600,270.73915,-26.080017,-6.7624,-2.5747,-0.0023,-0.0075,0.23593543307086762,-0.05955748031496011,0.1667,0.99978,-0.0769,0.0961,0.0706,0.1
1382,4064106657752584960,270.741192,-26.080466,-6.2151,-2.4344,-0.0004,-0.008,0.7832354330708684,0.08074251968503976,-0.1385,0.99347,-0.0059,0.4027,0.2796,0.4273
1388,4064106554673070208,270.746721,-26.090657,-8.5604,-2.7658,0.0045,-0.0182,-1.5620645669291315,-0.25065748031496016,0.6813,0.95823,0.3725,0.9817,0.5804,0.818
1389,4064106554731576064,270.746704,-26.090313,-7.3675,-2.7396,0.0045,-0.0178,-0.3691645669291317,-0.22445748031495993,0.8954,0.97837,0.0935,0.626,0.3803,0.6017
1406,4064106657752320128,270.749624,-26.085741,-6.6598,-2.7209,0.0071,-0.0132,0.3385354330708683,-0.20575748031496,0.2216,0.99836,-0.0834,0.1076,0.0793,0.1127
1451,4064109578330628480,270.727485,-26.079755,-7.3568,-1.9204,-0.0127,-0.0073,-0.35846456692913176,0.5947425196850398,1.0225,0.97666,-0.0617,0.6915,0.4408,0.6709
1460,4064109578330641152,270.729725,-26.077123,-7.1838,-2.76,-0.0107,-0.0046,-0.1854645669291317,-0.2448574803149599,-0.2475,0.99701,-0.0886,0.5061,0.3187,0.4948
1468,4064109612690257536,270.735658,-26.077169,-7.2236,-2.2507,-0.0054,-0.0047,-0.22526456692913222,0.26444251968503973,0.6798,0.992,0.3042,0.3307,0.2096,0.2961
1470,4064106653455164928,270.737503,-26.078286,-7.4021,-2.6032,-0.0037,-0.0058,-0.4037645669291319,-0.0880574803149603,0.7714,0.99488,0.2174,0.3167,0.2027,0.276
1473,4064109612690219136,270.737474,-26.077287,-7.1501,-2.233,-0.0038,-0.0048,-0.1517645669291321,0.2821425196850398,-0.4569,0.99862,-0.051,0.389,0.2805,0.385
1477,4064106653455165824,270.738548,-26.077307,-7.6689,-2.5221,-0.0028,-0.0048,-0.6705645669291318,-0.006957480314960129,0.6698,0.99047,0.2558,0.2826,0.1825,0.2651
1481,4064109612690279168,270.736304,-26.075586,-7.5368,-2.8642,-0.0048,-0.0031,-0.5384645669291324,-0.34905748031496,0.2945,0.9936,-0.0508,0.6263,0.3899,0.5994
