,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
460,4057920972838088320,262.641902,-31.614284,-5.5135,-3.9778,-0.0175,-0.0188,-0.017057746478873703,-0.2885422535211273,-0.2046,0.96733,0.2662,0.2804,0.2083,0.2572
561,4057921320779459584,262.604896,-31.592736,-5.3965,-3.7925,-0.0491,0.0028,0.09994225352112629,-0.10324225352112748,0.0596,0.96383,0.0696,0.117,0.0856,0.1164
636,4057920972828116608,262.63699,-31.610744,-5.33,-3.6548,-0.0217,-0.0152,0.16644225352112585,0.034457746478872675,-0.1244,0.98198,0.1758,0.079,0.0591,0.0833
638,4057921045901491840,262.635538,-31.609411,-5.1384,-3.4945,-0.023,-0.0139,0.35804225352112606,0.19475774647887256,0.0085,0.96755,0.2747,0.1803,0.1217,0.1853
673,4057921011500030976,262.64371,-31.608351,-5.5107,-3.6882,-0.016,-0.0128,-0.014257746478874012,0.0010577464788723567,0.038,0.9988,0.1212,0.0863,0.0677,0.0845
687,4057921011541723136,262.654719,-31.60945,-5.8411,-3.6998,-0.0066,-0.0139,-0.34465774647887404,-0.010542253521127698,0.223,0.99143,0.3765,0.1846,0.1301,0.165
705,4057921007187862272,262.651294,-31.604126,-5.2331,-3.6787,-0.0095,-0.0086,0.2633422535211256,0.01055774647887242,-0.1038,0.99677,0.2603,0.1929,0.1314,0.1743
728,4057921075910922880,262.640603,-31.59741,-5.492,-3.3706,-0.0187,-0.0019,0.004442253521125927,0.31865774647887246,-0.0258,0.98479,0.1959,0.2975,0.2279,0.2851
762,4057922484680691328,262.653976,-31.599755,-5.269,-3.8289,-0.0073,-0.0042,0.2274422535211258,-0.13964225352112747,0.0324,0.99766,0.2353,0.1863,0.1268,0.1788
770,4057921075910926208,262.642793,-31.594155,-5.3885,-3.7915,-0.0168,0.0014,0.1079422535211263,-0.10224225352112759,0.2997,0.97545,0.245,0.3835,0.2991,0.3666
791,4057922553376104960,262.652841,-31.592793,-5.3425,-3.9596,-0.0082,0.0027,0.15394225352112567,-0.2703422535211275,0.2523,0.97988,0.3405,0.5141,0.3572,0.4154
904,4057921075917773184,262.636801,-31.590938,-5.4122,-3.7645,-0.0219,0.0046,0.08424225352112558,-0.07524225352112746,0.0491,0.9951,0.216,0.1886,0.1268,0.1818
957,4057922557729991424,262.652914,-31.587583,-5.2401,-3.9385,-0.0082,0.0079,0.25634225352112594,-0.2492422535211274,0.2925,0.97708,0.1364,0.431,0.3331,0.4411
982,4057922553376120448,262.65005,-31.584589,-4.919,-3.5882,-0.0106,0.0109,0.5774422535211263,0.10105774647887245,-0.1693,0.98075,0.1314,0.3012,0.2178,0.2666
1346,4057920255585624832,262.659325,-31.614254,-5.4467,-3.2654,-0.0027,-0.0187,0.049742253521126045,0.4238577464788724,0.3173,0.95585,0.2363,0.2529,0.1902,0.2243
1347,4057920255627465856,262.658184,-31.613305,-5.6545,-3.7282,-0.0037,-0.0178,-0.15805774647887372,-0.03894225352112768,-0.1142,0.9966,0.2273,0.1698,0.1208,0.1822
