,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
5,5961843553827536128,264.001404,-38.587539,-6.0225,-0.6908,-0.0331,-0.0342,0.055237138508371864,0.027642922374429224,0.1296,0.99972,0.1316,0.0662,0.0473,0.0484
51,5961842836611887360,264.019484,-38.591748,-5.6286,-0.8579,-0.019,-0.0384,0.4491371385083722,-0.1394570776255708,0.2677,0.994,0.218,0.2639,0.1902,0.2016
68,5961842836611880064,264.020931,-38.593401,-5.955,-0.8265,-0.0178,-0.0401,0.12273713850837176,-0.10805707762557082,0.1442,0.99995,0.2716,0.0503,0.0369,0.0382
78,5961843214568994816,264.029483,-38.590483,-6.0651,-0.7206,-0.0112,-0.0372,0.01263713850837167,-0.0021570776255708246,0.299,0.99881,0.2584,0.1939,0.1463,0.1498
80,5961843210231793792,264.033723,-38.591824,-5.6661,-0.7004,-0.0078,-0.0385,0.4116371385083717,0.01804292237442917,-0.0367,0.99861,0.2107,0.2321,0.1765,0.1834
83,5961843210230153984,264.025569,-38.586854,-5.9338,-0.6266,-0.0142,-0.0335,0.1439371385083721,0.09184292237442915,0.1397,0.99963,0.4403,0.1704,0.1289,0.1197
90,5961843210232492416,264.029067,-38.588107,-5.921,-1.0763,-0.0115,-0.0348,0.15673713850837157,-0.35785707762557084,0.4723,0.98511,0.2838,0.1956,0.1418,0.15
92,5961843214528922752,264.031937,-38.588189,-6.4033,-0.9316,-0.0092,-0.0349,-0.32556286149162794,-0.2131570776255708,-0.2864,0.96872,0.6957,1.2118,0.9043,0.7493
102,5961843626846101376,263.997084,-38.583152,-5.9428,-1.0252,-0.0365,-0.0298,0.13493713850837175,-0.3067570776255707,-0.0597,0.99559,0.1966,0.1749,0.1321,0.1321
103,5961843661245671936,263.998545,-38.583441,-6.1025,-0.6909,-0.0353,-0.0301,-0.024762861491628207,0.027542922374429235,0.1506,0.99891,0.2554,0.0902,0.068,0.0691
111,5961843592486289664,264.004936,-38.583254,-6.3472,-0.4786,-0.0303,-0.0299,-0.2694628614916281,0.23984292237442917,0.4314,0.98345,0.1795,0.4738,0.3502,0.3973
114,5961843588187281280,264.005617,-38.582335,-5.9754,-0.7149,-0.0298,-0.029,0.10233713850837223,0.0035429223744292138,0.1754,0.99987,0.2658,0.0872,0.066,0.0668
143,5961843656906772736,263.995407,-38.572214,-5.8318,-0.7547,-0.0378,-0.0189,0.2459371385083715,-0.036257077625570844,0.1183,0.99993,0.185,0.0654,0.0496,0.0529
157,5961843661205937664,264.001479,-38.570248,-6.0012,-0.4432,-0.033,-0.0169,0.07653713850837196,0.2752429223744292,0.2705,0.97337,0.6562,1.0672,0.7997,0.7059
160,5961843656908409216,264.006282,-38.569692,-6.2409,-0.5676,-0.0293,-0.0164,-0.16316286149162806,0.1508429223744292,-0.1234,0.99815,0.2061,0.2054,0.159,0.1654
164,5961843592526169600,264.011426,-38.583298,-6.0502,-0.7754,-0.0253,-0.03,0.027537138508371584,-0.056957077625570784,0.1559,0.99988,0.2515,0.0704,0.0534,0.0546
180,5961843588192439936,264.013639,-38.577742,-5.9523,-0.6703,-0.0235,-0.0244,0.12543713850837168,0.04814292237442919,0.3238,0.99671,0.23,0.4106,0.3025,0.3325
189,5961843966146050176,264.017455,-38.577164,-6.037,-0.9561,-0.0206,-0.0238,0.040737138508371906,-0.23765707762557076,0.2384,0.99949,0.4253,0.1518,0.1154,0.1063
195,5961843210232686720,264.031041,-38.583888,-6.053,-1.093,-0.0099,-0.0306,0.024737138508371892,-0.3745570776255708,0.0864,0.99835,0.2472,0.2128,0.1612,0.1662
207,5961843214528968192,264.034304,-38.580585,-5.6968,-0.4868,-0.0074,-0.0273,0.3809371385083722,0.23164292237442918,0.0788,0.99787,0.231,0.3686,0.2706,0.2906
211,5961843210230164352,264.03401,-38.578907,-6.0115,-0.8984,-0.0076,-0.0256,0.06623713850837198,-0.17995707762557078,0.1544,0.99958,0.1224,0.2023,0.1496,0.1729
212,5961843661205819904,264.00864,-38.575942,-7.2234,-0.6816,-0.0274,-0.0226,-1.145662861491628,0.03684292237442921,-0.2437,0.97233,0.4894,0.9393,0.7334,0.6484
242,5961843966144416512,264.024085,-38.574228,-5.9967,-0.6064,-0.0154,-0.0209,0.08103713850837213,0.11204292237442914,0.1484,0.99984,0.4211,0.1232,0.0923,0.0881
244,5961843970443283072,264.028377,-38.577335,-7.9315,-0.9954,-0.012,-0.024,-1.853762861491628,-0.27695707762557076,0.5218,0.97347,0.6838,1.233,0.8981,0.7612
246,5961843970483273600,264.028345,-38.576026,-6.1383,-0.8517,-0.012,-0.0227,-0.06056286149162826,-0.13325707762557082,0.1528,0.99982,0.2028,0.0848,0.0612,0.0633
256,5961843970483267584,264.033998,-38.574354,-6.1903,-0.7039,-0.0076,-0.021,-0.11256286149162786,0.014542922374429224,0.187,0.99974,0.2433,0.1586,0.1179,0.1205
257,5961844004843006080,264.034171,-38.573828,-6.051,-0.9099,-0.0075,-0.0205,0.02673713850837167,-0.19145707762557085,0.1203,0.99993,0.2323,0.0567,0.041,0.0431
262,5961843970443361792,264.026299,-38.571269,-6.4323,-0.9014,-0.0136,-0.0179,-0.35456286149162786,-0.18295707762557079,0.7479,0.99483,0.3244,0.6062,0.4878,0.465
265,5961843966144418816,264.029918,-38.572192,-5.9017,-0.6609,-0.0108,-0.0189,0.17603713850837188,0.05754292237442915,0.0596,0.99995,0.3623,0.1342,0.1005,0.0966
