,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4,2492621413110837504,30.756807,-3.288688,-0.2831,-1.9142,0.0193,-0.0359,0.117322857142857,0.11043142857142896,-0.0752,0.99963,-0.0459,0.1538,0.1231,0.1439
8,2492624715941257600,30.720247,-3.262993,0.0066,-2.0606,-0.0172,-0.0102,0.407022857142857,-0.03596857142857113,-0.02,0.99994,0.1778,0.1774,0.1491,0.1482
9,2492624642926248576,30.726823,-3.264895,0.8718,-1.609,-0.0107,-0.0121,1.272222857142857,0.4156314285714289,0.1426,0.99739,0.1526,0.5425,0.4962,0.4643
11,2492624711645729152,30.725098,-3.257934,0.4243,-2.214,-0.0124,-0.0052,0.8247228571428571,-0.1893685714285711,-0.15,0.99794,0.273,1.0933,1.2843,0.9965
12,2492624642926249856,30.73193,-3.263004,0.3242,-2.2619,-0.0056,-0.0102,0.724622857142857,-0.23726857142857094,-1.5322,0.99825,0.3648,1.1056,1.3142,1.0571
13,2492626120396890880,30.738545,-3.264624,-0.3914,-0.7397,0.001,-0.0118,0.009022857142857,1.2849314285714288,-0.001,0.99904,0.1521,0.928,0.8261,0.6773
17,2492626124690144640,30.733459,-3.255729,-1.219,-2.196,-0.004,-0.003,-0.8185771428571431,-0.17136857142857131,1.12,0.99948,0.2332,1.0373,1.1578,0.8921
18,2492626124690144512,30.73458,-3.255039,-1.2831,-4.3741,-0.0029,-0.0023,-0.8826771428571429,-2.3494685714285715,-0.2801,0.99933,0.519,1.1827,1.6326,0.8746
19,2492626120395002112,30.739124,-3.258027,-0.7352,-2.0698,0.0016,-0.0052,-0.33477714285714294,-0.045168571428571,-0.4513,0.99973,0.3722,1.1816,1.3553,1.0016
20,2492626124690116480,30.736387,-3.254851,-2.1433,-2.7773,-0.0011,-0.0021,-1.742877142857143,-0.752668571428571,0.7651,0.99947,0.1332,1.408,1.1612,1.0162
21,2492626120395007744,30.73692,-3.255456,0.1502,-1.8203,-0.0006,-0.0027,0.5506228571428571,0.20433142857142883,-0.316,0.99999,0.0861,0.3372,0.2801,0.2887
22,2492626193409621760,30.731849,-3.253026,-0.8169,0.0461,-0.0056,-0.0002,-0.41647714285714293,2.070731428571429,-0.3359,0.9989,0.584,2.3112,2.1013,1.3106
23,2492626124689996800,30.734911,-3.25306,0.1802,-2.4474,-0.0026,-0.0003,0.580622857142857,-0.42276857142857116,0.0101,0.99997,0.0906,0.3775,0.34,0.3251
24,2492626120395007232,30.734786,-3.252123,-0.4502,-2.0918,-0.0027,0.0007,-0.049777142857142964,-0.06716857142857124,-0.0545,1.0,0.0649,0.1583,0.1291,0.1375
25,2492626193409473280,30.732297,-3.250259,-0.9661,-4.4673,-0.0052,0.0025,-0.565677142857143,-2.442668571428571,0.0321,0.99819,0.4663,1.3161,1.6045,1.3715
26,2492626193409621504,30.734521,-3.251343,-0.7849,-1.3756,-0.003,0.0014,-0.384477142857143,0.6490314285714289,1.4819,0.99947,0.4319,1.192,1.5494,1.1324
28,2492626120395007488,30.739997,-3.254639,-0.2347,-2.106,0.0025,-0.0019,0.16572285714285703,-0.08136857142857101,-0.3011,0.99999,-0.069,0.3388,0.2425,0.2413
29,2492626124690143360,30.740108,-3.253669,-0.6499,1.172,0.0026,-0.0009,-0.249477142857143,3.196631428571429,-0.2723,0.99929,0.5437,1.3082,1.8502,1.1091
30,2492626124690143488,30.739886,-3.253129,-1.3001,-1.8093,0.0024,-0.0004,-0.8996771428571431,0.21533142857142895,-2.7793,0.9996,0.3559,1.3118,1.6375,1.5331
