# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
5932407261136612224,242.72092,-55.257028,-3.979,-7.1532,-0.0252,0.0607,-0.11560556660039722,-0.009286282306162796,0.03574971083352539,0.11033059522810502,0.1758,0.9864,-0.028,0.0613,0.0501,0.062
5932408738605506432,242.743267,-55.260943,-3.7484,-7.2429,-0.0125,0.0568,0.11499443339960269,-0.09898628230616247,-0.12138842879613317,-0.09103215449552458,0.2001,0.97921,-0.0268,0.0915,0.0737,0.0934
5932407879525211136,242.687385,-55.276437,-4.1593,-7.1009,-0.0443,0.0413,-0.29590556660039713,0.043013717693836995,0.245768345272168,0.17031795183458373,0.0321,0.95559,-0.002,0.1754,0.1424,0.1772
5932407879525196288,242.686838,-55.279027,-3.9056,-7.046,-0.0446,0.0387,-0.042205566600397315,0.09791371769383694,0.09604863408311959,-0.04629325928745965,0.1489,0.99724,-0.0074,0.0834,0.0677,0.0839
5932407226690121216,242.714407,-55.277508,-3.7987,-7.0972,-0.0289,0.0403,0.06469443339960268,0.04671371769383725,0.0002599990329439116,-0.07979645063646638,0.3737,0.97001,-0.0091,0.0993,0.0799,0.0993
5932407123610855168,242.719737,-55.283742,-3.5413,-7.1552,-0.0259,0.034,0.32209443339960275,-0.011286282306162576,-0.2041585132668494,-0.24938224807707385,0.0568,0.99009,0.3914,0.1445,0.0794,0.1048
5932407123697487616,242.718643,-55.286285,-3.8449,-7.0614,-0.0265,0.0315,0.018494433399602883,0.08251371769383731,0.051235642775535016,-0.06727158823610746,0.2422,0.99681,-0.2456,0.065,0.0578,0.062
5932407157972459776,242.733728,-55.282976,-3.8699,-6.9291,-0.0179,0.0348,-0.006505566600397028,0.21481371769383717,0.19400052339109614,-0.09247190184169747,0.1007,0.99303,-0.0217,0.141,0.1191,0.1594
5932407845165404800,242.687387,-55.287252,-3.5606,-7.0378,-0.0443,0.0305,0.3027944333996029,0.10611371769383737,-0.1892251871061881,-0.2591108229025219,0.1403,0.98003,-0.0196,0.1385,0.1132,0.1381
5932407123697496320,242.700511,-55.285867,-4.0235,-7.0058,-0.0368,0.0319,-0.16010556660039743,0.1381137176938374,0.211444868757408,0.0005088691480263009,0.232,0.98143,0.0311,0.0728,0.059,0.0692
5932407123610878464,242.700036,-55.287331,-3.6284,-7.0709,-0.0371,0.0304,0.2349944333996028,0.07301371769383724,-0.13548998350988237,-0.20541628725290384,-0.0375,0.99355,-0.0812,0.2333,0.0979,0.1283
5932407089337753856,242.696701,-55.290903,-3.7251,-7.1591,-0.039,0.0269,0.138294433399603,-0.015186282306162369,-0.12246354328837315,-0.06602010333872893,0.0066,0.99792,-0.0345,0.0863,0.0699,0.0843
5932407845165387904,242.679904,-55.294434,-3.9413,-7.4043,-0.0486,0.0233,-0.07790556660039716,-0.2603862823061629,-0.04231783240222074,0.2684762454693734,-0.5476,0.96778,-0.0434,0.3298,0.2678,0.3301
5932407845251997824,242.685943,-55.29499,-3.846,-7.0908,-0.0451,0.0228,0.017394433399602782,0.05311371769383744,0.008439665414385558,-0.05524857797488639,0.1142,0.99965,0.0102,0.0442,0.0337,0.0414
5932407123610823808,242.708481,-55.292987,-3.8049,-7.0744,-0.0323,0.0248,0.05849443339960292,0.0695137176938374,-0.004062363589743486,-0.09075931295698438,-0.5347,0.99031,0.0016,0.2935,0.2434,0.3268
5932407123610810624,242.710338,-55.294542,-4.0752,-6.9928,-0.0312,0.0232,-0.21180556660039684,0.1511137176938373,0.2601359641801003,0.00512189986796408,-0.0718,0.99053,-0.5301,0.1982,0.1597,0.1654
5932407123610815360,242.721509,-55.289388,-3.594,-7.0452,-0.0249,0.0284,0.269394433399603,0.09871371769383686,-0.10337452416525539,-0.2676405547768101,-0.3608,0.97185,0.0067,0.4539,0.3594,0.4611
5932407054978002176,242.725641,-55.291703,-3.9053,-6.9616,-0.0225,0.0261,-0.041905566600397126,0.18231371769383742,0.16544803073641778,-0.08730015633943572,0.102,0.99945,-0.0577,0.0629,0.0513,0.0611
5932407054891309952,242.726695,-55.291539,-3.7281,-7.0618,-0.0219,0.0262,0.1352944333996029,0.08211371769383735,-0.02376658024880135,-0.15646851442287069,0.3063,0.98972,-0.015,0.1897,0.1561,0.19
5932407089251051520,242.70724,-55.298813,-4.1743,-7.1052,-0.033,0.0189,-0.3109055666003968,0.038713717693837246,0.28903082798224444,0.12092230462859248,0.273,0.96125,-0.1365,0.1634,0.2107,0.1883
