# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4152386446349161984,275.845271,-13.677701,-4.2312,-7.6866,0.0124,-0.0091,-0.03770714285714316,-0.27085000000000203,0.0416,0.97301,0.5653,0.6769,0.5718,0.5589
4152433446175251840,275.819056,-13.666552,-4.2274,-6.9403,-0.0131,0.0021,-0.033907142857143135,0.4754499999999986,-0.0095,0.99311,0.3374,0.3195,0.2598,0.2665
4152433381751812096,275.823173,-13.669825,-3.7102,-6.8064,-0.0091,-0.0012,0.4832928571428572,0.6093499999999983,0.0917,0.99578,0.3903,0.2311,0.1808,0.1916
4152433381751810304,275.823739,-13.669965,-5.0356,-7.9835,-0.0085,-0.0014,-0.8421071428571425,-0.567750000000002,0.6118,0.9579,0.5999,0.744,0.6151,0.5966
4152433446167394560,275.82176,-13.665972,-3.7827,-7.2236,-0.0104,0.0026,0.41079285714285696,0.19214999999999804,0.1877,0.98891,0.5153,0.4267,0.3699,0.3426
4152433450461292928,275.824302,-13.665354,-3.5897,-6.9727,-0.008,0.0033,0.603792857142857,0.4430499999999986,0.2139,0.99311,0.379,0.3401,0.2808,0.284
4152433347392058880,275.827392,-13.676268,-5.492,-7.9544,-0.005,-0.0077,-1.2985071428571429,-0.5386500000000014,0.526,0.95621,0.5731,0.8866,0.7309,0.7133
4152433381751789440,275.83903,-13.671663,-4.2328,-7.2852,0.0063,-0.0031,-0.039307142857142985,0.1305499999999986,0.9303,0.95678,0.532,0.8181,0.707,0.8273
4152433381741763072,275.831607,-13.668578,-3.9397,-7.4219,-0.0009,0.0,0.25379285714285693,-0.006150000000001654,0.6017,0.98915,0.2529,0.3228,0.2558,0.2839
4152433381741753216,275.832758,-13.669219,-4.9518,-8.4424,0.0003,-0.0006,-0.7583071428571433,-1.026650000000001,0.1004,0.96139,0.373,0.7291,0.5973,0.7482
4152433377447926272,275.829362,-13.665448,-3.9754,-7.0637,-0.003,0.0032,0.2180928571428571,0.3520499999999984,0.3688,0.99628,0.3347,0.2673,0.228,0.227
4152433381741777408,275.832379,-13.665008,-4.0921,-7.6579,-0.0001,0.0036,0.10139285714285684,-0.24215000000000142,-0.3651,0.99187,0.5341,0.4412,0.3621,0.3682
4152433759708925824,275.839708,-13.659152,-3.7407,-7.5634,0.007,0.0095,0.4527928571428572,-0.1476500000000014,0.2356,0.99571,0.1414,0.2317,0.1818,0.2033
4152433446175259264,275.828423,-13.65746,-3.7076,-6.8185,-0.004,0.0112,0.48589285714285735,0.5972499999999981,0.0604,0.99148,0.4065,0.3015,0.2506,0.2551
