# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4064837970484767488,272.232169,-25.953364,0.656,-0.4014,-0.082,-0.0447,0.30329451438848926,0.027525449640287802,0.1566,0.96391,0.1742,0.0637,0.048,0.0669
4064838996911269248,272.215675,-25.921133,0.4352,-0.4819,-0.0968,-0.0125,0.0824945143884892,-0.052974550359712214,0.1015,0.97267,0.0428,0.0608,0.0432,0.0614
4064839138716322048,272.221397,-25.904827,0.1739,-0.3422,-0.0917,0.0038,-0.17880548561151077,0.08672544964028778,0.178,0.95398,0.2327,0.2008,0.1481,0.1963
4064839138716267136,272.232299,-25.902589,0.1638,-0.6811,-0.0819,0.0061,-0.18890548561151077,-0.25217455035971226,0.1954,0.96848,0.2368,0.0648,0.05,0.0672
4064839203073247872,272.223089,-25.886893,0.1622,-0.3133,-0.0902,0.0218,-0.19050548561151076,0.11562544964028776,0.1325,0.9695,0.1799,0.0483,0.036,0.0498
4064840684904653568,272.233901,-25.878824,0.5106,-0.2581,-0.0805,0.0298,0.15789451438848928,0.17082544964028779,0.2936,0.97112,0.3047,0.0876,0.0663,0.1037
4064834873742009472,272.269625,-25.991345,0.3282,-0.3646,-0.0483,-0.0827,-0.02450548561151078,0.0643254496402878,0.1402,0.97981,0.1352,0.0794,0.0598,0.0823
4064834878107663360,272.281464,-25.989135,0.3641,-0.5688,-0.0376,-0.0804,0.011394514388489208,-0.1398745503597122,0.1877,0.9844,-0.0298,0.0686,0.0491,0.0712
4064834908105500544,272.252801,-25.980026,0.1938,-0.6748,-0.0634,-0.0713,-0.15890548561151077,-0.24587455035971217,0.1871,0.96087,0.0809,0.0469,0.034,0.0482
4064834873857812480,272.27751,-25.983671,0.4415,-0.2722,-0.0412,-0.075,0.08879451438848923,0.15672544964028778,0.3961,0.95394,0.0972,0.2183,0.1653,0.2145
4064834942497543040,272.269027,-25.975541,0.3797,-0.4342,-0.0488,-0.0669,0.02699451438848921,-0.0052745503597121934,0.3038,0.97953,0.1183,0.1321,0.106,0.1548
4064835049906631296,272.269417,-25.965772,0.1776,-0.3134,-0.0485,-0.0571,-0.17510548561151076,0.11552544964028777,0.1819,0.98986,0.1064,0.0374,0.0271,0.0391
4064835049906537472,272.283352,-25.965898,0.4242,-0.3325,-0.0359,-0.0572,0.07149451438848925,0.09642544964028776,0.2862,0.98725,0.2482,0.1293,0.1013,0.1319
4064834740668449664,272.319958,-25.987875,0.358,-0.6636,-0.003,-0.0792,0.005294514388489213,-0.2346745503597122,0.1903,0.98004,0.0772,0.0631,0.0494,0.0688
4064833950394323200,272.324998,-26.004176,0.2451,-0.3784,0.0015,-0.0955,-0.10760548561151076,0.05052544964028777,0.2317,0.96787,0.1571,0.1083,0.0823,0.1193
4064835462222796800,272.338402,-25.994066,0.3983,-0.2829,0.0135,-0.0854,0.045594514388489216,0.1460254496402878,0.2748,0.97497,0.0775,0.1319,0.0999,0.141
4064834809388106880,272.303429,-25.979641,0.3243,-0.1858,-0.0179,-0.0709,-0.028405485611510795,0.2431254496402878,0.2447,0.98164,0.0552,0.0821,0.0628,0.0931
4064834809388050048,272.308674,-25.982233,0.3901,-0.4538,-0.0132,-0.0735,0.03739451438848923,-0.0248745503597122,0.1777,0.99023,0.1359,0.0812,0.0637,0.0898
4064835015546646144,272.297719,-25.970336,0.5474,-0.514,-0.023,-0.0616,0.19469451438848923,-0.08507455035971223,0.1826,0.99202,0.3118,0.0592,0.0438,0.0575
4064835011296775168,272.29744,-25.968464,0.4242,-0.518,-0.0233,-0.0598,0.07149451438848925,-0.08907455035971223,0.4038,0.96916,0.1264,0.2348,0.1819,0.2264
4064835015546656512,272.299184,-25.967989,0.1999,-0.3581,-0.0217,-0.0593,-0.15280548561151078,0.07082544964028781,0.2324,0.99036,0.2294,0.0574,0.0485,0.0645
4064835015546756096,272.292878,-25.962253,0.2841,-0.0531,-0.0274,-0.0536,-0.06860548561151075,0.3758254496402878,0.1658,0.97268,0.223,0.0557,0.0458,0.0636
4064834809388091904,272.314122,-25.971971,0.0384,-0.6117,-0.0083,-0.0633,-0.3143054856115108,-0.18277455035971224,0.2597,0.96078,0.1109,0.0351,0.0269,0.0381
4064836282607525376,272.309898,-25.963272,0.5251,-0.6119,-0.0121,-0.0546,0.17239451438848924,-0.18297455035971222,0.3187,0.95434,0.4963,0.3621,0.2732,0.3032
4064836286856865792,272.31943,-25.964098,0.1633,-0.5506,-0.0035,-0.0554,-0.18940548561151077,-0.1216745503597122,0.2948,0.98766,0.1108,0.0555,0.0431,0.0669
4064836213888031616,272.327581,-25.976622,0.5097,-0.1635,0.0038,-0.0679,0.15699451438848927,0.2654254496402878,0.4523,0.96505,0.2418,0.1672,0.1466,0.2159
4064836218137214848,272.330527,-25.976507,0.2788,-0.0836,0.0065,-0.0678,-0.07390548561151078,0.3453254496402878,0.3087,0.96367,0.2411,0.0602,0.0482,0.0723
4064836218137222784,272.334632,-25.972662,0.3375,-0.5576,0.0102,-0.064,-0.01520548561151075,-0.1286745503597122,0.3716,0.97008,0.127,0.0589,0.0455,0.0705
4064836286803614720,272.325021,-25.965462,0.2493,-0.7902,0.0015,-0.0568,-0.10340548561151078,-0.36127455035971223,0.2184,0.97436,0.1167,0.0792,0.0636,0.0957
4064836213784865536,272.327827,-25.966871,0.2802,-0.0651,0.004,-0.0582,-0.07250548561151077,0.3638254496402878,0.4242,0.95888,-0.0948,0.0681,0.0584,0.115
4064836218137232000,272.334999,-25.971022,0.0268,-0.2092,0.0105,-0.0623,-0.3259054856115108,0.21972544964028778,0.2293,0.96286,0.1343,0.0739,0.0651,0.1048
4064838000597268480,272.264665,-25.948061,0.5016,-0.5272,-0.0528,-0.0394,0.14889451438848927,-0.09827455035971222,0.1952,0.98458,0.1779,0.1322,0.0988,0.1421
4064838004844309120,272.264724,-25.946623,0.3354,-0.4182,-0.0527,-0.0379,-0.017305485611510796,0.010725449640287765,-0.1041,0.9583,0.0351,0.33,0.2349,0.3421
4064838069316363904,272.252548,-25.941334,0.6878,-0.3616,-0.0637,-0.0327,0.3350945143884892,0.0673254496402878,0.2607,0.97244,0.1788,0.1231,0.0942,0.1307
4064835049906686464,272.266435,-25.962412,0.4603,-0.4664,-0.0512,-0.0537,0.10759451438848922,-0.0374745503597122,0.1266,0.98861,0.2212,0.0868,0.0643,0.0938
4064835049906675712,272.268433,-25.960956,0.339,-0.3079,-0.0494,-0.0523,-0.013705485611510748,0.12102544964028777,0.1992,0.9914,0.1986,0.0413,0.0309,0.0451
4064835079904314112,272.276808,-25.956174,0.045,-0.6814,-0.0418,-0.0475,-0.3077054856115108,-0.2524745503597122,0.0378,0.95576,0.2241,0.0749,0.0575,0.0805
4064835045659903232,272.279088,-25.959878,0.0934,-0.2772,-0.0398,-0.0512,-0.2593054856115108,0.15172544964028778,0.1667,0.97997,0.1532,0.0681,0.0537,0.0716
4064835080019816960,272.279915,-25.958839,0.4707,-0.2038,-0.039,-0.0502,0.11799451438848924,0.22512544964028777,0.3156,0.98148,0.2326,0.0728,0.0569,0.0764
4064835080019517952,272.291375,-25.958388,0.8543,-0.218,-0.0287,-0.0497,0.5015945143884892,0.21092544964028778,0.1857,0.95741,0.2297,0.178,0.1351,0.1712
4064835084266344448,272.288948,-25.951886,0.2965,-0.2628,-0.0309,-0.0432,-0.056205485611510786,0.1661254496402878,0.2832,0.98958,0.1366,0.0293,0.0227,0.0281
4064838034838344192,272.26839,-25.948179,0.8636,-0.3415,-0.0494,-0.0395,0.5108945143884893,0.08742544964028776,-0.1948,0.95069,0.3166,0.1997,0.1476,0.1986
4064838034957033856,272.270869,-25.945818,0.0154,-0.5444,-0.0472,-0.0371,-0.33730548561151075,-0.11547455035971221,0.0023,0.95589,0.1037,0.3005,0.2171,0.303
4064838039204030848,272.269637,-25.944621,0.2831,-0.3138,-0.0483,-0.0359,-0.06960548561151075,0.11512544964028776,0.2191,0.99287,0.1612,0.0537,0.0394,0.0561
4064836557488312448,272.292176,-25.946615,0.8561,-0.5639,-0.028,-0.0379,0.5033945143884893,-0.13497455035971218,0.5831,0.95628,-0.2937,0.4165,0.2759,0.4195
4064839516672739328,272.281393,-25.939875,0.7753,-0.7144,-0.0377,-0.0312,0.4225945143884892,-0.28547455035971225,0.1155,0.95958,0.0744,0.0767,0.0567,0.0786
