# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
6730891051995373568,284.828357,-36.759807,0.9686,-2.4034,-0.0479,-0.1276,-0.13887613156306589,-0.00788978575739252,0.056193812942013324,-0.1272441905324465,0.2084,0.9923,-0.017,0.1746,0.1574,0.1628
6730890880196684672,284.850982,-36.757025,0.9055,-2.6387,-0.0298,-0.1248,-0.20197613156306593,-0.24318978575739258,0.28344937578029866,-0.13997171495579555,-0.3188,0.98223,0.0426,0.2834,0.2442,0.2174
6730902566804662656,284.784523,-36.729814,0.6952,-2.6831,-0.083,-0.0976,-0.41227613156306586,-0.2875897857573926,0.4861663552807899,-0.12775667701369725,-0.063,0.95996,-0.057,0.3004,0.2521,0.2574
6730902940465737088,284.794257,-36.730406,1.1817,-2.8017,-0.0752,-0.0982,0.07422386843693407,-0.4061897857573924,0.27736479614478876,0.30588902327304823,0.0285,0.96185,-0.0476,0.3375,0.2843,0.2889
6730891159378426368,284.831052,-36.738528,1.1206,-2.3362,-0.0457,-0.1063,0.013123868436934139,0.05931021424260763,-0.059671571060518874,-0.011368423084290043,0.1332,0.99929,-0.0245,0.0426,0.0385,0.0388
6730891193730189440,284.847412,-36.736738,0.9716,-2.8364,-0.0326,-0.1045,-0.13587613156306588,-0.44088978575739235,0.4613497601078634,0.0015890758823389767,-0.3724,0.96358,0.1192,0.4916,0.4528,0.4237
6730891193730145152,284.850238,-36.742582,1.2448,-2.3027,-0.0304,-0.1103,0.137323868436934,0.09281021424260727,-0.12596172449082943,0.10772754835017552,0.112,0.95768,0.1063,0.5442,0.5004,0.5037
6730890987571660800,284.865617,-36.741554,0.738,-2.4471,-0.018,-0.1093,-0.3694761315630659,-0.05158978575739237,0.11094235819441617,-0.35618241246243965,0.1085,0.99102,0.0793,0.1935,0.1722,0.1626
6730891017647544320,284.871639,-36.735125,1.4981,-2.2608,-0.0132,-0.1029,0.3906238684369341,0.13471021424260732,-0.18331724368495803,0.3703088394592736,0.416,0.96167,0.1552,0.4774,0.4211,0.3554
6730891223805974784,284.863173,-36.731888,1.1137,-2.9574,-0.02,-0.0996,0.00622386843693401,-0.5618897857573923,0.5496676949628665,0.11672314676625913,0.2011,0.95509,0.3253,0.3719,0.3805,0.3007
6730891262449771904,284.84341,-36.726912,0.945,-2.2221,-0.0358,-0.0947,-0.16247613156306595,0.17341021424260727,-0.10475308416723524,-0.21329882111445858,0.5252,0.97523,0.0359,0.2461,0.2173,0.2107
6730891262452142208,284.83659,-36.725942,1.0864,-2.8849,-0.0413,-0.0937,-0.02107613156306587,-0.48938978575739256,0.4563194712227755,0.17809858480149918,-1.1389,0.95193,0.0641,0.7007,0.6205,0.5729
6730891258154694656,284.842969,-36.723475,0.7242,-2.3624,-0.0362,-0.0912,-0.38327613156306595,0.033110214242607405,0.11062728902067112,-0.3684541792910984,-0.0695,0.99202,0.0582,0.2633,0.2393,0.2285
6730891262449836544,284.845259,-36.719169,0.658,-2.2217,-0.0344,-0.0869,-0.4494761315630659,0.17381021424260767,0.0038290952690398805,-0.48189638040701266,0.1574,0.97298,0.0991,0.4434,0.4055,0.3799
6730891223805977344,284.855879,-36.72702,0.8982,-2.4111,-0.0258,-0.0948,-0.2092761315630659,-0.015589785757392338,0.06999869865126242,-0.19783761737620278,0.0721,0.95456,0.0954,0.727,0.6414,0.573
6730891228089945088,284.859851,-36.720823,1.4324,-1.9858,-0.0227,-0.0886,0.324923868436934,0.40971021424260745,-0.4775340649777442,0.21307087252972154,0.2105,0.98053,0.3765,0.3709,0.3779,0.2761
6730891228089906688,284.863882,-36.723849,1.1499,-2.4678,-0.0194,-0.0916,0.04242386843693402,-0.07228978575739253,0.06193108894513335,0.05648130628866494,-0.0798,0.97571,0.2908,0.5894,0.5439,0.4521
6730891296817374208,284.854133,-36.7192,0.6278,-1.8601,-0.0272,-0.087,-0.4796761315630659,0.5354102142426074,-0.3678821015892611,-0.6175888988938281,-0.1258,0.96363,0.0504,0.449,0.406,0.3852
6730891292514623744,284.849786,-36.716526,1.3383,-2.1462,-0.0307,-0.0843,0.23082386843693414,0.24931021424260758,-0.31324524111307916,0.13157758200352695,-0.009,0.98288,0.0103,0.4278,0.3833,0.3979
6730891292514245248,284.856363,-36.71362,0.605,-2.064,-0.0255,-0.0814,-0.5024761315630659,0.3315102142426074,-0.16613919370107852,-0.5786009447400846,0.276,0.96814,0.0742,0.284,0.2621,0.2502
6730891292525456640,284.856902,-36.713208,1.5811,-1.9504,-0.025,-0.081,0.47362386843693405,0.44511021424260755,-0.56499194413249,0.3212892382910695,-0.1514,0.96463,0.0625,0.7781,0.6626,0.5813
6730891292518031360,284.859778,-36.712633,0.9769,-2.4482,-0.0227,-0.0804,-0.1305761315630659,-0.05268978575739247,0.08618709065357313,-0.11134686821733146,0.0264,0.9993,0.0,0.1364,0.1239,0.1217
6730891223801093120,284.866362,-36.716299,0.7697,-2.4498,-0.0174,-0.0841,-0.33777613156306585,-0.05428978575739274,0.12159917553999741,-0.3197713814575752,0.2296,0.99279,0.2081,0.2667,0.2562,0.2182
6730892705558648448,284.873561,-36.715348,0.8192,-2.698,-0.0117,-0.0831,-0.28827613156306586,-0.3024897857573925,0.33972671993549297,-0.24328780133494235,0.1299,0.99145,0.3177,0.304,0.3137,0.2749
6730892705566633984,284.87198,-36.712918,0.8773,-2.2671,-0.0129,-0.0807,-0.23017613156306593,0.12841021424260735,-0.09046771550823494,-0.24755974453430674,0.1728,0.99747,0.1571,0.0288,0.0281,0.0284
6730892705558680832,284.871093,-36.71199,1.5004,-2.267,-0.0137,-0.0797,0.39292386843693405,0.12851021424260756,-0.19321791025729015,0.3654735020599054,0.5543,0.98045,0.31,0.3481,0.3413,0.3055
6730903490232580352,284.719625,-36.725804,1.0894,-2.4192,-0.1351,-0.0937,-0.018076131563065978,-0.023689785757392556,0.02835428255431429,0.009164449920564652,0.07,0.95261,-0.0936,0.3498,0.2762,0.3538
6730903593311799424,284.751502,-36.69642,0.6068,-2.5331,-0.1095,-0.0642,-0.5006761315630659,-0.13758978575739267,0.5015046620121532,-0.13453851434365466,-0.3663,0.96571,-0.0105,0.3706,0.2945,0.2954
6730903971257908864,284.759106,-36.686959,1.2221,-2.3216,-0.1035,-0.0548,0.11462386843693406,0.07391021424260735,-0.1358853902996305,-0.01168382163304315,0.2814,0.98753,0.0852,0.2325,0.192,0.1942
6730903971263752832,284.767636,-36.680592,1.1671,-2.8101,-0.0966,-0.0484,0.059623868436934124,-0.41458978575739236,0.1324099780741116,0.3973755073581644,-0.1358,0.96961,0.0686,0.4358,0.362,0.362
6730904246146834176,284.743194,-36.665514,1.3792,-2.5461,-0.1163,-0.0334,0.2717238684369341,-0.15058978575739257,-0.2195996710472945,0.21974332465107946,0.0118,0.95523,-0.0815,0.5027,0.4168,0.4433
6730904039977395584,284.755851,-36.669752,1.0534,-2.4491,-0.1061,-0.0376,-0.05407613156306601,-0.053589785757392594,0.06887065903192639,0.03244881302694134,0.1486,0.99516,-0.1894,0.1967,0.1577,0.181
6730904074337134976,284.760054,-36.668493,0.5462,-2.368,-0.1027,-0.0363,-0.5612761315630659,0.027510214242607578,0.520024453817889,-0.2129842134560225,0.2774,0.96181,-0.0861,0.2743,0.2337,0.2505
6730904074342970752,284.767053,-36.669608,1.447,-2.3681,-0.0971,-0.0374,0.33952386843693416,0.027410214242607367,-0.32668625466261897,0.09645656067741937,-0.5532,0.98515,0.1148,0.3666,0.3172,0.3055
6730904284798888320,284.75945,-36.660675,0.7051,-2.4026,-0.1032,-0.0285,-0.40237613156306595,-0.007089785757392608,0.3897449943893143,-0.10027789219073589,0.1321,0.98252,-0.2554,0.3164,0.2546,0.2741
6730904078640456448,284.763167,-36.658786,0.6281,-2.5138,-0.1002,-0.0266,-0.4793761315630659,-0.11828978575739235,0.49367883219994607,-0.008669461609416626,0.4314,0.96238,-0.0155,0.3632,0.3204,0.3165
6730903146630097792,284.789357,-36.713329,0.582,-2.6032,-0.0792,-0.0811,-0.5254761315630659,-0.20768978575739272,0.5157269423127525,-0.23083745996517802,0.2952,0.95194,0.064,0.3011,0.2653,0.2607
6730903215343656192,284.783255,-36.705057,0.7584,-2.6196,-0.0841,-0.0729,-0.34907613156306594,-0.2240897857573927,0.4105508975373569,-0.05931558175639638,0.119,0.98426,-0.0227,0.1676,0.1426,0.1412
6730902979121497472,284.804116,-36.711213,1.1725,-2.0632,-0.0673,-0.079,0.0650238684369342,0.3323102142426073,-0.2951301888218049,-0.16600106506428522,-0.4805,0.98044,-0.0002,0.443,0.3825,0.4073
6730902974825482880,284.816982,-36.714381,1.221,-2.4395,-0.057,-0.0822,0.11352386843693418,-0.04398978575739232,-0.028540668457676985,0.11835624275827863,0.1619,0.99789,0.0189,0.0886,0.081,0.0823
6730903077903949824,284.819103,-36.711216,1.0544,-2.4495,-0.0553,-0.079,-0.0530761315630659,-0.05398978575739255,0.07466731871033246,-0.012520552082023571,0.1276,0.99984,-0.0435,0.0245,0.0218,0.0216
6730903180989866496,284.798443,-36.706052,1.3336,-2.3104,-0.0719,-0.0738,0.226123868436934,0.08511021424260745,-0.2187568409113167,0.10257288627998752,0.6112,0.96449,0.105,0.466,0.4223,0.4203
6730903180994948224,284.800275,-36.703327,1.5356,-2.2313,-0.0704,-0.0711,0.4281238684369342,0.1642102142426074,-0.4179151484393108,0.18868484277216638,-0.0792,0.97462,0.0522,0.4689,0.4049,0.4148
6730903253999829760,284.792025,-36.696774,0.6608,-2.5748,-0.0771,-0.0646,-0.44667613156306585,-0.17928978575739274,0.4575267870064385,-0.14944441427046426,0.1792,0.98018,-0.1156,0.2176,0.181,0.1782
6730903215343660544,284.774378,-36.69592,1.043,-2.5093,-0.0912,-0.0637,-0.06447613156306597,-0.11378978575739263,0.11801701025317123,0.05636729703430872,0.2487,0.99444,0.0904,0.1861,0.1544,0.1502
6730903249703400064,284.780474,-36.693,0.8593,-2.5728,-0.0863,-0.0608,-0.24817613156306595,-0.17728978575739252,0.30499027111715127,0.0019987334481866887,0.3829,0.98401,0.0153,0.2131,0.187,0.1982
6730903249703402624,284.795918,-36.688079,0.8775,-2.3291,-0.0739,-0.0559,-0.22997613156306596,0.06641021424260751,0.14334981059449223,-0.19170333707837442,0.2937,0.99179,0.1975,0.2409,0.2174,0.1854
6730903352793641856,284.794826,-36.685742,0.8174,-2.1683,-0.0748,-0.0535,-0.2900761315630659,0.22721021424260757,0.1037579642547318,-0.35355753196966194,0.3436,0.98175,-0.0088,0.4015,0.3339,0.3164
