# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
5623107218425742336,137.041304,-37.212823,0.4941,0.647,0.0402,0.0086,-0.5792308411214953,0.5378448598130842,-0.1924,0.95406,0.0942,0.3529,0.4058,0.3719
5623107111052584064,137.044068,-37.222276,1.0121,-0.0913,0.0424,-0.0009,-0.06123084112149524,-0.2004551401869159,-0.1398,0.9979,0.1401,0.2817,0.2989,0.2901
5623107111052575872,137.037466,-37.224303,1.1391,0.024,0.0371,-0.0029,0.06576915887850476,-0.08515514018691589,-0.0341,0.99958,0.0812,0.1864,0.1852,0.1786
5623107385930567040,137.021305,-37.20285,1.1099,0.0862,0.0243,0.0185,0.03656915887850487,-0.0229551401869159,-0.0508,0.99996,0.094,0.0874,0.1077,0.0879
5623107287145283328,137.016902,-37.219568,0.8917,0.0818,0.0208,0.0018,-0.1816308411214952,-0.0273551401869159,-0.5167,0.99816,0.067,0.4236,0.4958,0.4719
5623107282851291392,137.010663,-37.21941,0.9768,0.2941,0.0158,0.002,-0.09653084112149524,0.18494485981308406,0.0182,0.99977,0.1318,0.1895,0.2101,0.1895
5623107282851308288,137.009701,-37.216372,0.6642,-0.1469,0.015,0.005,-0.4091308411214952,-0.2560551401869159,0.2514,0.99225,0.1422,0.1908,0.2268,0.1942
5623107282851287936,137.006064,-37.22001,0.9772,0.1349,0.0121,0.0014,-0.09613084112149528,0.025744859813084095,-0.2389,0.99993,0.1074,0.1652,0.2025,0.1774
5623107287145298432,137.004222,-37.213614,1.2878,-0.8128,0.0107,0.0078,0.21446915887850482,-0.9219551401869158,-0.8923,0.99496,0.0546,0.637,0.8255,0.7064
5623107317211058816,136.988664,-37.211555,0.7509,-0.4867,-0.0017,0.0098,-0.3224308411214952,-0.5958551401869159,0.1572,0.98014,0.1303,0.1914,0.2327,0.201
5623060038210890496,137.036135,-37.255349,0.9685,0.1095,0.0361,-0.034,-0.10483084112149521,0.00034485981308410296,0.0042,0.98295,0.1933,0.4844,0.5517,0.4851
5623105500444369920,137.013459,-37.262258,1.0114,0.2368,0.018,-0.0409,-0.06193084112149516,0.1276448598130841,0.1218,0.99961,0.0015,0.0647,0.0846,0.0657
5623105496144729344,137.007541,-37.261664,0.9459,0.2628,0.0133,-0.0403,-0.12743084112149528,0.15364485981308407,-0.8304,0.99669,0.1738,0.2568,0.311,0.2805
