# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4055719273861444480,267.691796,-31.300898,-4.8385,-7.5534,-0.0012,-0.0255,0.20199374999999975,-0.13212708333333367,0.12248594552492481,0.2079813317057597,0.0619,0.9533,0.2849,0.0991,0.0629,0.0837
4055719510045191936,267.678272,-31.280923,-4.5476,-7.3934,-0.0128,-0.0055,0.49289374999999946,0.02787291666666647,-0.46386146320843497,0.16897837501496651,-0.3294,0.96731,0.1653,0.3819,0.2275,0.3353
4055719514352280320,267.679604,-31.285819,-5.1286,-7.6771,-0.0117,-0.0104,-0.08810625000000005,-0.25582708333333404,0.2358136954442678,0.13267293958008639,0.0301,0.97612,0.268,0.1168,0.0733,0.1033
4055719308193757440,267.690133,-31.288763,-5.3427,-7.5999,-0.0027,-0.0134,-0.30220625000000023,-0.17862708333333366,0.23480044711782283,-0.2609693515961345,0.3848,0.95608,0.292,0.2859,0.1741,0.2425
4055719303886775680,267.697731,-31.29559,-5.0733,-7.4307,0.0038,-0.0202,-0.03280625000000015,-0.009427083333333641,0.0031994898801323227,-0.033983572557090835,0.0848,0.99334,0.2752,0.1139,0.0722,0.0977
4055719303875982976,267.700749,-31.291518,-4.9875,-7.5696,0.0064,-0.0161,0.05299374999999973,-0.1483270833333341,0.15741187521495867,-0.00554641600915321,-0.0984,0.99189,0.2219,0.1207,0.0795,0.1109
4055719303872904960,267.700001,-31.286518,-4.8095,-7.6929,0.0058,-0.0111,0.23099374999999966,-0.27162708333333363,0.34771896926699913,0.07893607129273578,0.0547,0.9675,0.3752,0.2881,0.1785,0.2304
4055719308193764480,267.692563,-31.28519,-4.8477,-7.2191,-0.0006,-0.0098,0.19279374999999987,0.20217291666666615,-0.21357670053378736,0.18007862522151286,-0.124,0.98975,0.1381,0.2253,0.1422,0.2012
4055719303886772096,267.692046,-31.281892,-4.7728,-7.8583,-0.001,-0.0065,0.2676937499999994,-0.4370270833333336,0.3912404424060863,0.33103403387233843,-0.7124,0.97252,0.2278,0.5052,0.308,0.4429
4055719308193816576,267.692454,-31.280379,-5.0467,-7.044,-0.0007,-0.005,-0.006206250000000857,0.3772729166666666,-0.3727686360794439,-0.0584543851623404,-0.1303,0.96762,-0.0075,0.538,0.3452,0.527
4055719514352313984,267.684005,-31.278104,-5.5152,-7.2814,-0.0079,-0.0027,-0.47470625000000055,0.13987291666666657,0.40396009599167737,-0.2858788160257736,0.4117,0.96104,0.2107,0.3401,0.2152,0.2987
4055719510045199616,267.688846,-31.280181,-5.0014,-7.08,-0.0038,-0.0048,0.03909374999999926,0.34127291666666615,-0.29183921104567695,-0.18117781275717107,0.0741,0.98276,0.1651,0.2623,0.1584,0.2325
4055719514352290816,267.687289,-31.278119,-4.971,-7.7652,-0.0051,-0.0027,0.06949374999999947,-0.3439270833333339,0.09950152249955713,0.3364738726253594,0.1288,0.99186,0.0174,0.1252,0.0815,0.108
4055719514354087424,267.689493,-31.278114,-5.3652,-7.4512,-0.0032,-0.0027,-0.3247062500000002,-0.029927083333333826,0.2674693278537607,-0.18652060948688876,0.7029,0.95097,0.3013,0.8285,0.4827,0.6434
4055719514352260864,267.691757,-31.278962,-5.7667,-7.4495,-0.0013,-0.0036,-0.7262062500000006,-0.028227083333333347,0.2732010256792496,-0.6734489478352285,0.158,0.9771,0.2194,0.444,0.2622,0.3756
4055719514352295296,267.687752,-31.27725,-4.8711,-7.1035,-0.0047,-0.0019,0.16939374999999934,0.31777291666666585,-0.2761445001252838,-0.23112352575291678,0.1997,0.98413,0.2021,0.287,0.1794,0.263
4055719514352307968,267.686816,-31.276587,-4.9311,-7.2329,-0.0055,-0.0012,0.10939374999999973,0.18837291666666633,-0.14703432164562133,-0.1607241628716144,-0.1589,0.9583,-0.1643,0.6851,0.4306,0.6165
4055719514352305280,267.687645,-31.276154,-4.9279,-7.1469,-0.0048,-0.0008,0.11259374999999938,0.27437291666666663,-0.156168420505492,-0.25212947938719055,0.1929,0.9814,0.1728,0.4781,0.2873,0.4338
4055719510034484352,267.689923,-31.277237,-4.6125,-7.46,-0.0028,-0.0018,0.42799374999999973,-0.038727083333333745,-0.3390771657937629,0.26401725826134603,0.1648,0.99259,0.2964,0.1714,0.1099,0.1528
4055719892309390208,267.692374,-31.277469,-4.5488,-7.7808,-0.0007,-0.0021,0.4916937499999996,-0.35952708333333394,0.18559012302820765,0.5801540947658742,0.4304,0.97088,0.2868,0.2847,0.1731,0.2427
4055719308193737728,267.698371,-31.285187,-5.2462,-7.1372,0.0044,-0.0098,-0.20570625000000042,0.28407291666666623,-0.3434063729944163,-0.07130600437122545,-0.3047,0.96067,0.3832,0.4433,0.2712,0.3382
4055719681843902080,267.706654,-31.281509,-5.1254,-7.3428,0.0115,-0.0061,-0.0849062500000004,0.07847291666666578,-0.11177925980821578,0.029537552640045112,0.1233,0.99473,0.2169,0.123,0.0783,0.1059
4055719892336755200,267.693244,-31.278166,-4.8471,-7.3862,-0.0,-0.0028,0.19339374999999936,0.035072916666666565,-0.035072916666666565,0.19339374999999936,0.3294,0.99276,0.3035,0.2112,0.1282,0.1754
4055719686178323840,267.694547,-31.278093,-4.9847,-6.9908,0.0011,-0.0027,0.05579374999999942,0.4304729166666661,-0.3776068710061643,0.21408625712899684,0.7621,0.95644,0.3056,0.2982,0.1826,0.2504
4055719686150926592,267.695656,-31.278003,-5.2669,-6.8399,0.0021,-0.0026,-0.22640625000000014,0.5813729166666661,-0.594533381081703,0.18916743126692673,-0.8544,0.96445,0.3253,0.5364,0.319,0.4284
4055719686178320384,267.699517,-31.277765,-4.707,-7.3329,0.0054,-0.0024,0.3334937499999997,0.0883729166666658,0.26885879932700785,0.2162008318986666,0.0168,0.993,0.4166,0.2411,0.1596,0.1947
4055719583099135744,267.669104,-31.273511,-5.1603,-7.4341,-0.0206,0.0019,-0.11980625000000078,-0.012827083333333711,0.11812180664783385,0.023776257067813018,-0.0423,0.98743,0.2887,0.1456,0.0926,0.1279
4055719583071859200,267.674248,-31.273634,-5.3194,-7.4912,-0.0162,0.0018,-0.27890625000000036,-0.06992708333333386,0.26947823084735134,0.10029943355747994,-0.0196,0.98353,0.3272,0.182,0.1127,0.1476
4055719892309469824,267.685834,-31.270436,-5.1085,-7.2947,-0.0063,0.005,-0.06800625000000071,0.12657291666666648,0.1319535894168626,-0.05686654123977942,-0.1791,0.97796,0.2796,0.4584,0.2707,0.3816
4055719514354095232,267.686366,-31.275042,-4.5834,-7.8519,-0.0059,0.0003,0.4570937499999994,-0.43062708333333344,-0.47837203474954165,0.40685940760761446,0.0355,0.96215,0.2551,0.6589,0.3888,0.5601
4055719892309429632,267.692362,-31.271461,-5.1627,-7.3578,-0.0008,0.0039,-0.12220625000000052,0.0634729166666661,0.0867348708479034,0.10695906164619094,0.1692,0.99519,0.2428,0.1877,0.1185,0.162
4055719681843898240,267.698138,-31.275286,-6.0819,-7.7213,0.0042,0.0001,-1.0414062500000005,-0.30002708333333405,-1.048252670308811,-0.275153716062528,-0.1007,0.95164,0.3683,0.2959,0.1841,0.2465
4055719892309397120,267.696744,-31.273036,-4.2398,-7.4756,0.003,0.0024,0.8006937499999998,-0.0543270833333338,0.5912989153845651,-0.5426117451157928,-1.2738,0.98012,0.2739,0.3712,0.2401,0.3418
4055719686150942592,267.699255,-31.273387,-6.0009,-7.7458,0.0051,0.002,-0.9604062500000001,-0.3245270833333338,-1.0125932692982942,0.048506327707788975,-0.1714,0.97046,0.4651,0.5304,0.3244,0.4364
4055719892309414656,267.694162,-31.271583,-5.2328,-7.4779,0.0008,0.0038,-0.19230625000000057,-0.05662708333333377,-0.09502952329165176,0.17651546691115896,0.2289,0.99432,0.278,0.1995,0.1223,0.1697
4055719686150897024,267.703348,-31.274267,-4.8409,-7.5618,0.0086,0.0011,0.19959374999999913,-0.14052708333333364,0.1801516759017449,-0.16471460123203563,-0.0182,0.99599,0.2202,0.1219,0.0786,0.1106
4055719686150884096,267.70551,-31.274785,-5.2674,-7.6115,0.0105,0.0006,-0.22690625000000075,-0.19022708333333416,-0.23738911086056014,-0.17697231299670232,0.1673,0.98066,0.3036,0.3027,0.1808,0.2537
4055719686178323712,267.702837,-31.271199,-4.9683,-7.4776,0.0082,0.0042,0.07219374999999939,-0.05632708333333358,0.0385774100635655,-0.08304493535845657,0.2279,0.99318,0.2761,0.1001,0.0633,0.0884
4055719892336766080,267.697084,-31.266746,-4.9045,-7.4713,0.0033,0.0086,0.1359937499999999,-0.050027083333334055,0.002013423182913215,-0.14488945866759712,0.1189,0.9977,0.2954,0.1103,0.0702,0.0966
4055719892309389056,267.701583,-31.269787,-4.6477,-6.9736,0.0071,0.0056,0.39279374999999916,0.447672916666666,0.5856456219299682,0.10824590463459696,-0.1945,0.96377,0.2512,0.2802,0.1749,0.2425
4055719887988483584,267.701694,-31.268297,-5.062,-7.5229,0.0072,0.0071,-0.021506250000000726,-0.1016270833333337,-0.08667011412844947,-0.05726145451230197,0.1894,0.99459,0.3156,0.1277,0.0813,0.1081
4055719892309488128,267.692815,-31.26102,-5.1374,-7.4669,-0.0004,0.0144,-0.09690625000000086,-0.04562708333333365,-0.04291868811256311,0.0981358152422762,0.145,0.9919,0.3054,0.1362,0.0891,0.1237
4055719892336768256,267.696848,-31.264609,-5.2396,-7.6237,0.0031,0.0108,-0.1991062500000007,-0.20242708333333415,-0.24950305216893137,0.1355295163951045,0.0768,0.99214,0.3639,0.1812,0.1169,0.1499
4055719681830037760,267.708621,-31.276876,-4.9478,-7.2873,0.0131,-0.0015,0.09269374999999958,0.1339729166666661,0.07685117764962714,0.14364807754753048,0.1771,0.99187,0.2746,0.1401,0.0904,0.1263
4055719686178315648,267.708899,-31.27425,-4.9138,-7.1751,0.0134,0.0011,0.12669374999999938,0.24617291666666663,0.1464094983242023,0.23498227590542084,-0.0736,0.98752,0.2613,0.1521,0.0988,0.1325
4055719716203644800,267.716962,-31.271134,-4.7479,-7.4278,0.0203,0.0043,0.29259375,-0.006527083333334183,0.28488995342504236,-0.06701805572664718,-0.1147,0.97681,0.2848,0.1921,0.1187,0.1578
4055719922351454592,267.703118,-31.25437,-5.313,-7.4622,0.0084,0.021,-0.27250625000000017,-0.04092708333333395,-0.13920612339913968,0.23781576408518373,-0.0019,0.95888,0.236,0.1419,0.0913,0.1258
4055720094154082816,267.704055,-31.243606,-4.9806,-7.4895,0.0092,0.0318,0.059893749999999635,-0.06822708333333338,-0.04889424002082361,-0.07649542131410328,0.1341,0.9608,0.2641,0.1232,0.0792,0.1032
