# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
6743681533327163776,289.403723,-34.687229,-2.9983,-1.6778,-0.0241,-0.0295,0.03809278146840947,-0.07354225941422587,-0.0692627615062762,0.1001664821846182,-0.013132779522369051,0.0956,0.99849,0.3159,0.123,0.1126,0.1067
6743681567686113920,289.417862,-34.680719,-2.9537,-1.6243,-0.0124,-0.023,0.026129676614914315,-0.0289422594142259,-0.015762761506276313,0.027609508606355256,-0.01799539009912509,-0.088,0.99979,0.2519,0.1072,0.0986,0.0971
6743681636405596160,289.402254,-34.678575,-3.1025,-1.7148,-0.0253,-0.0209,0.03281615455838786,-0.17774225941422594,-0.10626276150627634,0.20470926496608724,-0.03127622262451194,0.4279,0.96266,0.3258,0.3768,0.3627,0.3361
6743702080449930496,289.44099,-34.677802,-2.3995,-1.4981,0.0066,-0.0201,0.02115585025471678,0.5252577405857739,0.11043723849372378,0.05893937511985631,0.5334962303070871,-0.2832,0.99034,0.2926,0.3887,0.3707,0.3493
6743705039680887808,289.420604,-34.675702,-2.8181,-1.8549,-0.0102,-0.018,0.02068912757948,0.10665774058577426,-0.24636276150627623,0.1617574612695287,0.21425453929263105,-0.2271,0.99537,0.2856,0.392,0.3668,0.3341
6743705035387437696,289.424459,-34.676317,-2.7398,-1.3049,-0.007,-0.0186,0.01987360057966346,0.1849577405857743,0.3036372384937238,-0.349325568472366,0.06615576780710357,0.319,0.99091,0.3327,0.3372,0.3255,0.296
6743702084746182144,289.43179,-34.675799,-2.413,-1.2973,-0.001,-0.0181,0.01812760326132498,0.5117577405857743,0.31123723849372387,-0.33899416645071784,0.4938092331933848,0.4943,0.96136,0.2595,0.3149,0.2973,0.2812
6743705039680882432,289.427207,-34.674146,-3.2331,-0.7281,-0.0048,-0.0164,0.017088007490635063,-0.30834225941422577,0.8804372384937238,-0.758375596055358,-0.5432413231472774,0.0473,0.97332,0.3282,0.8376,0.8143,0.7839
6743705039683689728,289.420155,-34.671103,-3.0788,-1.5303,-0.0105,-0.0134,0.017023806859806652,-0.1540422594142261,0.07823723849372377,0.033427583660916776,-0.16950716746838745,0.1354,0.99957,0.3974,0.1224,0.1161,0.104
6743705039680883840,289.429744,-34.669724,-4.4144,-2.106,-0.0027,-0.012,0.0123,-1.4896422594142256,-0.4974627615062761,0.8123241657311969,-1.3441103786100619,1.3028,0.96309,0.3958,1.0066,0.924,0.791
6743702084746181760,289.433898,-34.675384,-3.0803,-1.7007,0.0008,-0.0177,0.017718069872308326,-0.15554225941422573,-0.09216276150627634,0.08504577992915417,-0.15954492905882953,-0.0619,0.99994,0.197,0.0694,0.0627,0.0621
6743702084743373952,289.436558,-34.673768,-2.4975,-1.7896,0.0029,-0.016,0.01626068879229905,0.42725774058577404,-0.18106276150627632,0.2543589441154529,0.38811651348945614,0.836,0.95002,-0.1405,1.1939,1.1505,1.0048
6743702084742089600,289.439274,-34.675472,-3.2546,-1.6795,0.0052,-0.0177,0.01844803512572545,-0.32984225941422585,-0.07096276150627623,-0.024888226153289585,-0.3364702153460553,-0.4677,0.99857,0.307,0.3298,0.315,0.2947
6743702119101838720,289.436532,-34.670492,-2.6015,-0.8975,0.0029,-0.0128,0.013124404748406688,0.32325774058577394,0.7110372384937238,-0.6220342454778389,0.4723800576085063,1.3105,0.96974,0.6218,1.1887,1.5384,1.0828
6743705069747340160,289.43414,-34.668362,-3.5987,-2.3424,0.001,-0.0106,0.010647065323364931,-0.6739422594142259,-0.7338627615062763,0.6673203175489504,-0.739889394123431,-0.0871,0.99052,0.4164,0.2862,0.2702,0.2385
6743702114809710592,289.43739,-34.668373,-3.354,-2.9136,0.0036,-0.0107,0.01128937553631732,-0.429242259414226,-1.3050627615062764,1.100051935935252,-0.822996638500135,-0.1314,0.97129,0.0842,1.0807,0.9686,0.9671
6743702119105918464,289.441702,-34.669596,-2.5841,-1.5109,0.0072,-0.0119,0.013908630414242807,0.34065774058577425,0.09763723849372385,0.09280946834422986,0.34200457474622525,0.4114,0.99247,0.2965,0.5241,0.498,0.4622
6743702119101831424,289.443817,-34.668374,-3.9867,-2.1961,0.0089,-0.0107,0.013917614738165444,-1.0619422594142258,-0.5875627615062762,-0.22736400024007036,-1.1921648260343471,-0.2353,0.98569,0.3205,0.5972,0.576,0.547
6743702011730425856,289.445787,-34.682914,-2.8909,-1.6737,0.0105,-0.0252,0.0273,0.03385774058577429,-0.0651627615062762,0.0731724493080143,0.006190698422916186,-0.0838,0.9995,0.3137,0.1217,0.1189,0.1057
6743702114809659520,289.445683,-34.680046,-3.0277,-1.6911,0.0104,-0.0223,0.02460589360295618,-0.10294225941422575,-0.08256276150627628,0.03131567160761187,-0.1281914469557631,-0.1784,0.99966,0.2686,0.1006,0.0933,0.0923
6743702119101820672,289.444958,-34.679457,-3.0833,-1.695,0.0098,-0.0217,0.02381029189237293,-0.15854225941422584,-0.0864627615062763,0.013545729883727166,-0.18007767865389646,0.0548,0.99929,0.2889,0.1651,0.1555,0.152
6743702050386434432,289.451119,-34.676202,-2.9699,-1.9857,0.0149,-0.0185,0.023754157530840782,-0.045142259414225894,-0.37716276150627626,0.26542264925238046,-0.2717358819072471,-0.0627,0.98952,0.2917,0.1257,0.1206,0.1047
