Name,RA,DEC,L,B,R_sun,R_gc,X,Y,Z
NGC_104_47Tuc.txt,00 24 05.67,-72 04 52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1
NGC_288.txt,00 52 45.24,-26 34 57.4,152.30,-89.38,8.9,12.0,-0.1,0.0,-8.9
NGC_362.txt,01 03 14.26,-70 50 55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting_1.txt,02 02 57,-03 15 10,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC_1261.txt,03 12 16.21,-55 12 58.4,270.54,-52.12,16.3,18.1,0.1,-10.0,-12.9
Pal_1.txt,03 33 20.04,+79 34 51.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM_1.txt,03 55 02.3,-49 36 55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3
Eridanus.txt,04 24 44.5,-21 11 13,218.10,-41.33,90.1,95.0,-53.2,-41.7,-59.5
Pal_2.txt,04 46 05.91,+31 22 53.4,170.53,-9.07,27.2,35.0,-26.4,4.4,-4.3
NGC_1851.txt,05 14 06.76,-40 02 47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
NGC_1904_M_79.txt,05 24 11.09,-24 31 29.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3
NGC_2298.txt,06 48 59.41,-36 00 19.1,245.63,-16.00,10.8,15.8,-4.3,-9.4,-3.0
NGC_2419.txt,07 38 08.47,+38 52 56.8,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2
Ko_2.txt,07 58 17.0,+26 15 18,195.12,25.54,34.7,41.9,-30.2,-8.2,15.0
Pyxis.txt,09 07 57.8,-37 13 17,261.32,7.00,39.4,41.4,-5.9,-38.7,4.8
NGC_2808.txt,09 12 03.10,-64 51 48.6,282.19,-11.25,9.6,11.1,2.0,-9.2,-1.9
E_3.txt,09 20 57.07,-77 16 54.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6
Pal_3.txt,10 05 31.9,+00 04 18,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7
NGC_3201.txt,10 17 36.82,-46 24 44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7
Pal_4.txt,11 29 16.80,+28 58 24.9,202.31,71.80,108.7,111.2,-31.4,-12.9,103.2
Ko_1.txt,11 59 18.5,+12 15 36,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6
NGC_4147.txt,12 10 06.30,+18 32 33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8
NGC_4372.txt,12 25 45.40,-72 39 32.4,300.99,-9.88,5.8,7.1,2.9,-4.9,-1.0
Rup_106.txt,12 38 40.2,-51 09 01,300.88,11.67,21.2,18.5,10.7,-17.8,4.3
NGC_4590_M_68.txt,12 39 27.98,-26 44 38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6.0
NGC_4833.txt,12 59 33.92,-70 52 35.4,303.60,-8.02,6.6,7.0,3.6,-5.4,-0.9
NGC_5024_M_53.txt,13 12 55.25,+18 10 05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6
NGC_5053.txt,13 16 27.09,+17 42 00.9,335.70,78.95,17.4,17.8,3.0,-1.4,17.1
NGC_5139_oCen.txt,13 26 47.24,-47 28 46.5,309.10,14.97,5.2,6.4,3.1,-3.9,1.3
NGC_5272_M_3.txt,13 42 11.62,+28 22 38.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0
NGC_5286.txt,13 46 26.81,-51 22 27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1
AM_4.txt,13 56 21.7,-27 10 03,320.28,33.51,32.2,27.8,20.7,-17.2,17.8
NGC_5466.txt,14 05 27.29,+28 32 04.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3
NGC_5634.txt,14 29 37.23,-05 58 35.1,342.21,49.26,25.2,21.2,15.7,-5.0,19.1
NGC_5694.txt,14 39 36.29,-26 32 20.2,331.06,30.36,35.0,29.4,26.4,-14.6,17.7
IC_4499.txt,15 00 18.45,-82 12 49.3,307.35,-20.47,18.8,15.7,10.7,-14.0,-6.6
NGC_5824.txt,15 03 58.63,-33 04 05.6,332.56,22.07,32.1,25.9,26.4,-13.7,12.1
Pal_5.txt,15 16 05.25,-00 06 41.8,0.85,45.86,23.2,18.6,16.2,0.2,16.7
NGC_5897.txt,15 17 24.50,-21 00 37.0,342.95,30.29,12.5,7.4,10.3,-3.2,6.3
NGC_5904_M_5.txt,15 18 33.22,+02 04 51.7,3.86,46.80,7.5,6.2,5.1,0.3,5.5
NGC_5927.txt,15 28 00.69,-50 40 22.9,326.60,4.86,7.7,4.6,6.4,-4.2,0.7
