file_name,mean_x,mean_y,mean_vx,mean_vy,size,r_sun,vPhi.vR,rotating,age,RA,DEC,L,B,R_sun,R_gc,X,Y,Z,X.Fe.H.,wt,E.B.V.,V_HB,X.m.M.V,V_t,M_V.t,U.B,B.V,V.R,V.I,spt,ellip
AM_1.txt,-121.24112275,-1.00029704973647,0.485551785714286,-0.1240375,56,123.3,-10.0124,0,NA,03 55 02.3,-49 36 55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3,-1.7,2,0,21,20.45,15.72,-4.73,NA,0.72,NA,NA,,NA
AM_4.txt,29.091334,-0.492967976305545,-0.442075,-2.504175,4,32.2,0.0714024,0,NA,13 56 21.7,-27 10 03,320.28,33.51,32.2,27.8,20.7,-17.2,17.8,-1.3,1,0.05,18.3,17.69,15.88,-1.81,NA,NA,NA,NA,,NA
Arp_2.txt,112.18230978392,-0.556452368777247,-2.29944623115578,-1.49982512562814,199,28.6,1.31784,0,NA,19 28 44.11,-30 21 20.3,8.55,-20.79,28.6,21.4,26.4,4,-10.2,-1.75,5,0.1,18.13,17.59,12.3,-5.29,NA,0.86,NA,NA,,NA
BH_176.txt,54.7812354752475,-1.01204946731525,-3.95842178217822,-3.08822772277228,101,18.9,0.414802,0,NA,15 39 07.45,-50 03 09.8,328.41,4.34,18.9,12.9,16.1,-9.9,1.4,NA,0,1,0.54,18.86,18.06,14,-4.06,NA,NA,NA,,NA
BH_261_AL_3.txt,93.525899125,-0.522037345303019,3.6379078125,-3.5695875,64,6.5,0.388005,0,NA,18 14 06.6,-28 38 06,3.36,-5.27,6.5,1.7,6.5,0.4,-0.6,-1.3,1,0.36,15.8,15.19,11,-4.19,NA,NA,NA,NA,,0.03
Djorg_1.txt,86.870465968254,-0.612118582579502,-4.6938126984127,-8.47646507936508,63,13.7,3.83392,0,NA,17 47 28.3,-33 03 56,356.69,-2.47,13.7,5.7,13.6,-0.8,-0.6,-1.51,1,1.58,21.15,20.58,13.6,-6.98,NA,NA,NA,NA,,NA
Djorg_2_ESO456-.txt,90.45857415,-0.505933177002729,0.68484,-3.04572,20,6.3,0.247115,0,NA,18 01 49.1,-27 49 33,2.77,-2.5,6.3,1.8,6.2,0.3,-0.3,-0.65,1,0.94,17.6,16.9,9.9,-7,NA,NA,NA,NA,,NA
E_3.txt,-39.7722163576826,-2.19435244430309,-2.75038287153652,7.13476272040302,397,8.1,-1.55464,0,NA,09 20 57.07,-77 16 54.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6,-0.83,1,0.3,16.15,15.47,11.35,-4.12,NA,NA,NA,NA,,NA
Eridanus.txt,-113.816429534884,-0.378475788904629,0.505990697674419,-0.270886046511628,43,90.1,0.0149023,0,NA,04 24 44.5,-21 11 13,218.1,-41.33,90.1,95,-53.2,-41.7,-59.5,-1.43,4,0.02,20.42,19.83,14.7,-5.13,NA,0.79,NA,NA,,NA
ESO280-06.txt,92.274705372549,-0.916946993447128,-0.637311764705882,-2.83795882352941,51,21.4,-17.6455,0,NA,18 09 06.0,-46 25 23,346.9,-12.57,21.4,14,20.4,-4.7,-4.7,-1.8,1,0.07,17.4,16.87,12,-4.87,NA,NA,NA,NA,,NA
ESO452-11.txt,69.8559160967742,-0.517288708902395,-1.34222129032258,-6.57411161290323,155,8.3,-78.0085,0,NA,16 39 25.45,-28 23 55.3,351.91,12.1,8.3,2.1,8,-1.1,1.7,-1.5,1,0.46,16.6,16.02,12,-4.02,NA,NA,NA,NA,,NA
FSR_1735.txt,73.0479594659091,-0.933112593196081,-4.61516022727273,-1.45380795454545,88,9.8,0.255845,0,NA,16 52 10.6,-47 03 29,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3,NA,NA,0,1.42,20,19.35,12.9,-6.45,NA,NA,NA,,NA
HP_1_BH_229.txt,82.7725360732861,-0.54894208427401,2.53026997635934,-10.1578640661939,423,8.2,0.826297,0,NA,17 31 05.2,-29 58 54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3,-1,4,1.12,18.7,18.05,11.59,-6.46,NA,NA,NA,NA,,NA
IC_1257.txt,81.7856363333333,-0.124112177879967,-1.11582407407407,-1.52791203703704,108,25,3.17025,0,NA,17 27 08.5,-07 05 35,16.54,15.15,25,17.9,23.2,6.9,6.5,-1.7,1,0.73,19.8,19.25,13.1,-6.15,NA,1.38,NA,1.83,,NA
