NGC_104_47Tuc.txt,NGC_5139_oCen.txt,NGC_5904_M_5.txt,NGC_6139.txt,NGC_6266_M_62.txt,NGC_6273_M_19.txt,NGC_6402_M_14.txt,NGC_6539.txt,NGC_6656_M_22.txt,NGC_6809_M_55.txt,NGC_7078_M_15.txt,NGC_7089_M_2.txt
3252935.0570162507,21984.981273590016,3596.5115977600026,1285.962569449997,3721.120118719998,13746.527278319994,7402.629372680004,1584.7415508899985,12909.310666280007,7741.754713860006,12876.205332069982,335288.6636476096
3272455.716789242,22608.656948059997,3721.0777474900033,1473.149331690001,4900.556319499998,14969.53025137,201837.08827699983,1946.2444746900003,877638.5187788913,13092.671711310004,653315.8854876296,340558.32822180935
3272492.3770987857,4360668.311865137,761711.9823223801,43479.71441732999,6237.25499674,274508.77238283976,208598.4750275198,2123.03670796,884243.6338702631,806891.83892931,654766.7640289095,351467.6934906593
3274671.637021791,4496426.874465881,796231.8909188309,44077.82954053003,76327.33242582003,278053.1794516097,208766.32813537985,52516.512156900026,906962.4912361618,825135.5065624898,654976.3733660795,351909.66722290934
3316225.0374173666,4501365.002417751,798531.5348375493,44498.42562026,78245.16434964,279137.6313318398,208915.4220116599,52704.729778649984,907161.3800306424,834122.3353314798,654999.9705517594,357261.59693208954
3367689.3599702646,4537634.149508181,819586.1038912394,44763.157487119985,79393.24436656995,281048.9530305798,211038.91254144986,53257.08736792005,907827.585013392,838909.6740373202,656422.8483376891,369430.37044023955
3425292.021334607,4541376.194456212,826320.4810376503,45060.50440248001,80422.48714452998,284121.96120189974,212806.70332787972,53529.77332311001,961476.774811273,841181.4727390702,656475.051385389,371786.6445824892
3456140.923455385,4588084.102196907,830566.9887951706,45263.87396102003,80795.85803911005,285574.79816854966,213499.60883865008,55346.13742636005,1004867.1399554436,847998.5662418508,656682.8955481389,375244.73122428916
3460164.0291818096,4662014.660830453,850854.1246337197,45346.534718459974,81687.77581835989,285622.88927905983,215710.8250197899,56277.30846761998,1010388.0535141524,848175.6498769195,657832.0714218892,381170.8174424998
3466615.674826393,4683161.313016346,857422.7228360408,45632.20865039999,81971.00396860007,286060.1245409997,216852.39256489,56600.50770937998,1016204.685237272,849312.4910086105,657834.848176139,383389.2805816198
