ngc,age
NGC_104_47Tuc.txt,11.75+-0.25
NGC_288.txt,11.50+-0.38
NGC_362.txt,10.75+-0.25
NGC_1261.txt,10.75+-0.25
NGC_1851.txt,11.00+-0.25
NGC_2808.txt,11.00+-0.38
NGC_3201.txt,11.50+-0.38
NGC_4147.txt,12.25+-0.25
NGC_4590_M_68.txt,12.00+-0.25
NGC_4833.txt,12.50+-0.50
NGC_5024_M_53.txt,12.25+-0.25
NGC_5053.txt,12.25+-0.38
NGC_5272_M_3.txt,11.75+-0.25
NGC_5286.txt,12.50+-0.38
NGC_5466.txt,12.50+-0.25
NGC_5904_M_5.txt,11.50+-0.25
NGC_5927.txt,10.75+-0.38
NGC_5986.txt,12.25+-0.75
NGC_6101.txt,12.25+-0.50
NGC_6121_M_4.txt,11.50+-0.38
NGC_6144.txt,12.75+-0.50
NGC_6171_M_107.txt,12.00+-0.75
NGC_6205_M_13.txt,12.00+-0.38
NGC_6218_M_12.txt,13.00+-0.50
NGC_6254_M_10.txt,11.75+-0.38
NGC_6304.txt,11.25+-0.38
NGC_6341_M_92.txt,12.75+-0.25
NGC_6352.txt,10.75+-0.38
NGC_6362.txt,12.50+-0.25
NGC_6366.txt,11.00+-0.50
NGC_6397.txt,13.00+-0.25
NGC_6496.txt,10.75+-0.38
NGC_6535.txt,12.75+-0.50
NGC_6541.txt,12.50+-0.50
NGC_6584.txt,11.75+-0.25
NGC_6624.txt,11.25+-0.50
NGC_6637_M_69.txt,11.00+-0.38
NGC_6652.txt,11.25+-0.25
NGC_6656_M_22.txt,12.50+-0.50
NGC_6681_M_70.txt,12.75+-0.38
NGC_6715_M_54.txt,11.75+-0.50
NGC_6717.txt,12.50+-0.50
NGC_6723.txt,12.50+-0.25
NGC_6752.txt,12.50+-0.25
NGC_6779_M_56.txt,12.75+-0.50
NGC_6809_M_55.txt,13.00+-0.25
NGC_6838_M_71.txt,11.00+-0.38
NGC_6934.txt,11.75+-0.25
NGC_6981_M_72.txt,11.50+-0.25
NGC_7078_M_15.txt,12.75+-0.25
NGC_7089_M_2.txt,11.75+-0.25
NGC_7099_M_30.txt,13.00+-0.25
