# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
5961800947749703040,263.590711,-39.104839,-2.1805,-3.0096,-0.0202,-0.0356,0.040931650345423405,-0.003797844827586161,0.23117737068965516,-0.19919054966583086,-0.11739048201681783,0.1208,0.95446,-0.0274,0.0683,0.0516,0.0674,16.4183,3.0708
5961800952087693824,263.580089,-39.101498,-2.1255,-3.1155,-0.0284,-0.0323,0.04300988258528498,0.051202155172413555,0.12527737068965505,-0.12789154374614195,-0.044270004963200715,0.0273,0.98659,-0.0439,0.045,0.0342,0.0439,15.5037,3.3131
5961800947749722752,263.582041,-39.096065,-2.1986,-3.3085,-0.0269,-0.0269,0.03804234482783626,-0.021897844827586166,-0.067722629310345,0.06337124499608474,0.03240301585417086,0.1003,0.99605,-0.1722,0.0684,0.0525,0.0589,16.1748,3.045
5961801016469224064,263.574858,-39.086235,-2.1898,-3.3654,-0.0325,-0.017,0.03667764987018661,-0.013097844827586247,-0.12462262931034518,0.0693682573495671,0.10435707042474635,0.0149,0.99255,-0.1657,0.0694,0.0539,0.0629,16.3112,2.8444
5961800986447485056,263.587957,-39.087453,-2.5713,-3.1723,-0.0223,-0.0183,0.028847530223573736,-0.3945978448275862,0.06847737068965509,0.2615959147125771,-0.30325597577761654,-0.1851,0.96628,0.0001,0.1716,0.1257,0.1786,18.0437,2.5596
5961800780245827584,263.612079,-39.097908,-2.2835,-3.3085,-0.0036,-0.0287,0.02892490276561012,-0.10679784482758636,-0.067722629310345,0.08048814274163059,-0.0975386746810029,0.1977,0.9826,0.0297,0.1737,0.1326,0.1744,18.1334,2.4339
5961800982109476864,263.601448,-39.090972,-2.3636,-3.0412,-0.0118,-0.0218,0.024788707106261108,-0.1868978448275862,0.1995773706896551,-0.08654715644798928,-0.25936754038113513,-0.0627,0.98852,0.127,0.1269,0.094,0.1153,17.3361,
5961800986447432960,263.602583,-39.09101,-2.1778,-3.2818,-0.011,-0.0218,0.024418026128252054,-0.0010978448275862362,-0.04102262931034506,0.037118873053390934,0.017500018344152896,0.1797,0.99661,-0.1091,0.0813,0.0587,0.0778,16.5932,2.8525
5961800982109475072,263.604591,-39.09072,-2.4301,-3.3091,-0.0094,-0.0215,0.023465080438813755,-0.2533978448275862,-0.06832262931034494,0.1641109341855042,-0.20480735025849384,0.071,0.98953,0.0339,0.1712,0.1306,0.1755,18.0995,2.5236
5961800982115430016,263.599269,-39.088444,-1.9663,-3.3731,-0.0135,-0.0192,0.02347104599288238,0.21040215517241379,-0.132322629310345,-0.01277465913363587,0.24822399805985493,0.129,0.96342,-0.1322,0.3642,0.2643,0.3908,19.0825,2.5459
5961800780245855616,263.607202,-39.09507,-2.1247,-3.0805,-0.0074,-0.0259,0.026936406590337917,0.05200215517241391,0.1602773706896552,-0.16839662090506885,0.005969737474921838,0.1431,0.98711,0.0213,0.1696,0.1295,0.1729,18.1293,2.4627
5961800780245872512,263.606627,-39.09212,-2.5548,-3.0974,-0.0078,-0.0229,0.02419194080680589,-0.37809784482758646,0.14337737068965506,-0.013813633300719419,-0.40413393104783674,0.039,0.95157,0.0463,0.3954,0.2777,0.46,19.2629,2.471
5961801153908163584,263.609527,-39.092019,-2.2541,-2.9524,-0.0056,-0.0228,0.023477648945326703,-0.07739784482758649,0.2883773706896551,-0.26159246758445764,-0.14394900212543457,0.3028,0.96201,0.0272,0.218,0.1685,0.2208,18.5277,2.6707
