# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
4118990563059664128,267.18642,-20.39319,-1.2524,-3.9042,-0.0311,-0.0329,0.045272729098210986,-0.055457433808553835,0.09740672097759662,-0.03268976618366457,-0.10721462327077791,-0.0136,0.95681,0.2259,0.1261,0.0784,0.1193
4118990567364530176,267.187611,-20.391447,-1.1323,-3.8647,-0.03,-0.0312,0.04328325311249144,0.06464256619144604,0.13690672097759649,-0.14349121735611825,-0.04829474251212201,0.2194,0.95801,0.3327,0.1135,0.0687,0.1008
4118990563059669888,267.19149,-20.392032,-1.1929,-4.1476,-0.0263,-0.0318,0.04126657242854075,0.004042566191446051,-0.14599327902240322,0.10992594041903084,0.09615959382254684,0.1378,0.97259,0.3361,0.1155,0.0715,0.0998
4118990670534040192,267.198747,-20.391291,-1.1382,-4.1161,-0.0195,-0.031,0.036623080154459975,0.05874256619144602,-0.1144932790224038,0.06563652207359688,0.11068535130784316,0.1632,0.98698,0.3613,0.0404,0.0241,0.0333
4118990666137414016,267.20019,-20.38729,-1.0694,-4.0123,-0.0182,-0.027,0.0325613267542955,0.12754256619144622,-0.010693279022403246,-0.06242240024237643,0.11173583290480708,0.0437,0.98557,0.2938,0.1338,0.08,0.1156
4118990941038949632,267.175039,-20.36832,-1.2512,-4.0361,-0.0418,-0.0081,0.04257757625793182,-0.05425743380855397,-0.03449327902240373,0.0598285885943185,0.02354135527149606,0.1507,0.98506,0.3458,0.042,0.0244,0.0341
4118990670443714176,267.19658,-20.386211,-1.0022,-3.9787,-0.0216,-0.026,0.033801775101316794,0.19474256619144614,0.022906720977596606,-0.1420639644148653,0.13515626129597968,0.0798,0.9782,0.3032,0.1379,0.083,0.1174
4118990670443776512,267.194338,-20.384743,-1.2871,-3.8929,-0.0237,-0.0245,0.03408724101478441,-0.09015743380855379,0.10870672097759648,-0.015448110994374648,-0.14038115943156423,-0.0799,0.97552,0.2203,0.1276,0.0812,0.1252
4118990666141888512,267.196706,-20.380429,-1.3266,-3.9726,-0.0214,-0.0202,0.02942787793912432,-0.12965743380855388,0.0290067209775966,0.07437618588344368,-0.11009370089665942,0.1933,0.971,-0.0421,0.2407,0.1734,0.2713
4118990666141892992,267.202657,-20.385907,-1.2583,-3.8181,-0.0159,-0.0257,0.030220853727186466,-0.06135743380855385,0.18350672097759668,-0.12377345674398554,-0.1487265367483736,0.1811,0.97793,0.3152,0.0822,0.0493,0.0715
4118990670534054400,267.201384,-20.383493,-1.0927,-3.8302,-0.0171,-0.0232,0.02882099928871308,0.10424256619144612,0.17140672097759646,-0.19982595852633692,-0.01778659330789081,0.2816,0.97594,0.3271,0.1566,0.0976,0.142
4118990700501629440,267.200198,-20.375068,-1.2944,-3.8948,-0.0182,-0.0148,0.023458047659598615,-0.09745743380855387,0.10680672097759647,0.008226849380122499,-0.14435354515844628,0.2528,0.98167,0.3774,0.0547,0.0339,0.0472
4118990704932874240,267.201278,-20.376336,-1.024,-3.9795,-0.0172,-0.0161,0.02355949914577982,0.1729425661914461,0.022106720977596694,-0.14136677208729087,0.10204545096614541,-0.2644,0.97019,-0.4281,0.327,0.2312,0.3239
4118990876692600960,267.181027,-20.37206,-1.1925,-3.9246,-0.0361,-0.0118,0.03797959978725421,0.004442566191446229,0.07700672097759664,-0.028148162514488106,-0.07181540515199208,0.0117,0.98368,0.4657,0.0562,0.0328,0.0424
4118990876602575232,267.188675,-20.373257,-1.0027,-3.9444,-0.029,-0.013,0.03178049716414141,0.1942425661914462,0.0572067209775966,-0.2006488998370889,0.0272544022097868,-0.3896,0.95653,0.4207,0.3811,0.2403,0.3267
4118990872300315136,267.187571,-20.367854,-1.1289,-4.0987,-0.03,-0.0076,0.030947697814215518,0.06804256619144611,-0.0970932790224035,-0.04211518649941151,0.11082962921240606,0.2963,0.97716,0.2919,0.1891,0.1133,0.1631
4118990945322395136,267.177983,-20.366506,-1.1805,-3.8081,-0.039,-0.0063,0.03950556922764182,0.016442566191446017,0.19350672097759647,-0.04709089022120898,-0.18840821931284074,0.1675,0.95645,0.3422,0.1242,0.077,0.105
4118990941019790336,267.184756,-20.365283,-0.8613,-4.037,-0.0327,-0.005,0.03308005441349818,0.33564256619144617,-0.03539327902240341,-0.3264367520188229,0.08571851241673832,0.2898,0.9565,0.4234,0.1496,0.0909,0.1154
