# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
4039966635171840768,267.507975,-37.132405,-2.5102,-5.3517,-0.037,-0.081,0.08905054744357274,0.02767361282367453,0.005919482120837927,-0.016882565794628795,0.022712289349239835,-0.1329,0.95175,0.2463,0.1581,0.1027,0.14,18.1031,1.9452
4039966635143645696,267.512859,-37.13377,-2.5214,-5.2715,-0.0331,-0.0823,0.08870682048185471,0.016473612823674877,0.08611948212083842,-0.0860464834783474,-0.0168507507617982,0.108,0.9739,0.1713,0.0434,0.0279,0.0387,15.6422,2.1078
4039966463373542400,267.544402,-37.130808,-2.6709,-5.3511,-0.008,-0.0794,0.07980200498734352,-0.1330263871763253,0.006519482120838305,0.006849003569555996,-0.13300982851809764,0.0211,0.96413,0.149,0.1154,0.0769,0.0966,17.4825,1.7058
4039961829149753856,267.453597,-37.107081,-2.636,-5.3273,-0.0804,-0.0557,0.09780925314099888,-0.09812638717632538,0.030319482120837904,0.06339447624558935,-0.08080346055647203,0.1025,0.97267,0.1274,0.0299,0.0195,0.0273,14.7623,2.7529
4039961863509476224,267.45882,-37.106733,-2.499,-5.3797,-0.0762,-0.0553,0.09415163301823289,0.03887361282367463,-0.022080517879161654,-0.018492686771658995,0.04070291856540814,0.0561,0.98317,0.137,0.0591,0.0381,0.0509,16.2339,2.0994
4039961863509462656,267.4629,-37.105909,-2.5227,-5.3037,-0.073,-0.0545,0.09110021953870363,0.015173612823674798,0.05391948212083797,-0.04441576027152029,-0.03412900991539299,0.0383,0.99201,0.1379,0.0375,0.0243,0.0331,15.3811,2.3493
4039961657369714048,267.482879,-37.109613,-2.5272,-5.4437,-0.057,-0.0582,0.08146312049019483,0.010673612823674627,-0.08608051787916171,0.054030464130668004,0.06785639627094109,-0.0249,0.96721,0.2478,0.1205,0.0786,0.0993,17.5713,1.6984
4039966673874857344,267.53444,-37.119022,-2.658,-5.52,-0.0159,-0.0676,0.06944472622165054,-0.12012638717632518,-0.16238051787916152,0.18557107596051223,-0.07975686333851705,0.0787,0.96624,0.1022,0.0393,0.0255,0.0363,14.4966,3.5907
4039966673874867968,267.534218,-37.117187,-2.6513,-5.4265,-0.0161,-0.0657,0.06764392064332167,-0.11342638717632525,-0.06888051787916183,0.09389779299888716,-0.09377246675391081,-0.0037,0.98577,0.1284,0.0497,0.0326,0.0461,15.6847,2.1396
4039967494139387008,267.498325,-37.097263,-2.727,-5.2592,-0.0447,-0.0458,0.06399789059023742,-0.18912638717632513,0.09841948212083818,0.06166355155226539,-0.20409015458190125,0.0647,0.96923,0.2332,0.0598,0.0388,0.0526,16.3402,1.989
4039967494137315328,267.505022,-37.093713,-2.4917,-5.3611,-0.0394,-0.0423,0.057807006495752745,0.04617361282367494,-0.0034805178791623703,-0.028924079282449475,0.03615956531210496,0.1293,0.98063,0.0504,0.0363,0.023,0.0305,14.7119,2.7679
4039966845673695616,267.52361,-37.103617,-2.6101,-5.5813,-0.0246,-0.0522,0.057706152185014035,-0.07222638717632535,-0.22368051787916166,0.23312752017666988,0.030019733834775908,0.0832,0.97601,0.1788,0.0305,0.0199,0.0265,14.7522,2.5449
4039966772611129344,267.538404,-37.11177,-2.3522,-5.4405,-0.0128,-0.0603,0.06164357225210103,0.1856736128236749,-0.08288051787916206,0.04251981006634635,0.19883645665429633,-0.1302,0.97255,0.028,0.1158,0.0783,0.1089,17.4054,1.699
4039966772611114496,267.536936,-37.105815,-2.5574,-5.5612,-0.0139,-0.0544,0.056147751513306386,-0.019526387176325155,-0.20358051787916231,0.20207749462039326,0.031480044854679215,-0.0477,0.96558,0.0461,0.1248,0.0839,0.1159,17.5496,1.6499
4039967494205459072,267.515063,-37.097219,-2.5675,-5.1375,-0.0314,-0.0458,0.05553017197884408,-0.029626387176325153,0.22011948212083787,-0.16479696348291872,-0.14890355957154594,0.0105,0.96468,0.1506,0.118,0.0786,0.0972,17.4526,1.565
4039966841302259200,267.519583,-37.098095,-2.6485,-5.5838,-0.0278,-0.0467,0.05434822904198443,-0.11062638717632511,-0.22618051787916205,0.2509381444227596,0.020636663524765515,0.0362,0.9689,0.2988,0.0742,0.0473,0.0602,16.5216,1.9723
4039967739027423488,267.476725,-37.088077,-2.5258,-5.2046,-0.062,-0.0367,0.07204783133446835,0.012073612823674917,0.15301948212083794,-0.08833546924344161,-0.12552919544347615,-0.1751,0.95134,0.1424,0.1346,0.0942,0.1237,17.5045,1.8959
4039967807706145536,267.462142,-37.074963,-2.565,-5.3344,-0.0736,-0.0236,0.07729113791373497,-0.027126387176325206,0.023219482120838464,0.018741117768798415,-0.03039335019335423,0.0272,0.96527,0.2547,0.1071,0.0703,0.0899,17.2098,1.8136
4039967769015334912,267.482784,-37.072945,-2.4724,-5.4458,-0.0572,-0.0215,0.06110720088500209,0.06547361282367481,-0.08818051787916215,-0.030261728443301612,0.10557852765238573,0.0774,0.9808,0.1724,0.0577,0.037,0.05,15.8784,2.0382
4039967837762415232,267.482531,-37.065522,-2.5101,-5.4802,-0.0574,-0.0141,0.059106429430308166,0.027773612823674743,-0.12258051787916191,0.0022701409526938703,0.12566703383488378,0.0431,0.98677,-0.0828,0.0745,0.0489,0.0592,16.4876,1.973
4039967562856789760,267.495107,-37.093239,-2.6036,-5.44,-0.0473,-0.0418,0.06312313363577572,-0.0657263871763254,-0.08238051787916234,0.1038028910065953,0.01820624936564676,0.0671,0.99187,0.0972,0.0428,0.0281,0.0378,15.6478,2.0408
4039967562884651904,267.496184,-37.09001,-2.5225,-5.3376,-0.0464,-0.0386,0.06035660692915068,0.015373612823674776,0.020019482120837928,-0.024621789071530984,-0.0055583395502473805,0.1568,0.97229,0.1187,0.0678,0.0443,0.0603,15.4501,4.2249
4039967567228666496,267.490924,-37.087333,-2.5535,-5.4505,-0.0506,-0.0359,0.062041679538839045,-0.015626387176325363,-0.09288051787916185,0.06648926679042585,0.06670945944434944,0.0216,0.98727,0.1758,0.0568,0.0374,0.0502,15.7688,2.0325
