# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
4062918424975400704,271.527124,-27.783292,-3.7056,-2.7763,-0.0077,-0.018,0.01957779354268504,0.03719000000000028,-0.0013775000000002535,-0.01336044327108193,0.034734596036951726,0.1726,0.99626,0.2542,0.0237,0.0177,0.0207,13.1153,1.8545
4062918528390256768,271.530924,-27.777487,-3.9346,-2.7781,-0.0043,-0.0122,0.01293560976529518,-0.19180999999999981,-0.0031775000000000553,0.06675746375070819,-0.1798460831928869,0.2993,0.96989,0.2551,0.136,0.1044,0.1169,17.7501,1.0514
4062918528390622464,271.53195,-27.778079,-3.6079,-2.8258,-0.0034,-0.0128,0.013243866504914643,0.1348900000000004,-0.05087750000000035,0.01454303393412561,0.14343058345499754,0.3001,0.99191,0.188,0.0694,0.0513,0.0607,16.4063,0.812
4062918601164118528,271.522566,-27.767889,-3.7045,-2.7309,-0.0117,-0.0026,0.011985407794480754,0.03829000000000038,0.04402249999999963,-0.046928023613765635,-0.03466792762707127,0.1687,0.996,0.2527,0.0259,0.0191,0.0239,13.5399,1.7769
4062918498120215808,271.524441,-27.773664,-3.6892,-2.8115,-0.0101,-0.0084,0.013136590120727676,0.05359000000000025,-0.036577500000000374,-0.01781345066333218,0.062389763436921965,0.2116,0.99827,0.2889,0.0456,0.033,0.0386,15.5314,1.6297
4062918597114156928,271.527027,-27.77056,-4.1205,-2.8766,-0.0078,-0.0053,0.009430270409696637,-0.37770999999999955,-0.10167750000000009,0.3695576689313734,-0.128180682789019,-0.4183,0.95063,0.2459,0.1911,0.1474,0.1796,17.6496,1.4658
4062918528390238976,271.534271,-27.773243,-3.5931,-2.8001,-0.0014,-0.008,0.008121576201698781,0.1496900000000001,-0.025177500000000297,-0.0010030072731810188,0.15178931643122975,0.2135,0.99672,0.3405,0.0536,0.0432,0.0451,15.6581,1.5968
4062918532479653248,271.536634,-27.773825,-3.6136,-2.7106,0.0007,-0.0085,0.00852877482408816,0.12919000000000036,0.06432249999999984,-0.05350220394038647,0.13403340732732033,0.07,0.98476,0.2607,0.1986,0.1431,0.1703,18.1725,1.4673
4062918532444492416,271.536833,-27.772123,-3.8275,-2.6287,0.0009,-0.0068,0.006859300255857007,-0.08470999999999984,0.14622249999999992,-0.15607306285883582,-0.06479199530892554,0.6092,0.97786,0.3296,0.155,0.1197,0.1278,16.2959,1.5439
4062918528063719040,271.536171,-27.770304,-3.616,-2.6665,0.0003,-0.005,0.005008991914547277,0.12679000000000018,0.10842249999999964,-0.10063412131611665,0.13305606424805705,0.1199,0.99624,0.2896,0.0524,0.039,0.0449,15.7769,1.581
