# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
6736521483568941568,280.773564,-32.367412,1.4839,-4.665,-0.025,-0.0753,0.07934160321042172,-0.041793933265924954,0.09245045500505622,-0.07457211211803999,-0.06879549100582816,0.0591,0.99729,0.0504,0.0813,0.0636,0.0647,16.5969,0.0717
6736521651063290752,280.74129,-32.360162,1.4008,-4.77,-0.0523,-0.0681,0.08586559264338656,-0.1248939332659249,-0.012549544994943318,0.08602487325326151,-0.09140955545222668,-0.2572,0.97656,0.2683,0.1863,0.1562,0.1632,17.6979,1.0444
6736521586648160256,280.775075,-32.349005,1.3962,-4.7161,-0.0237,-0.0569,0.06163846201845078,-0.12949393326592484,0.0413504550050563,0.011618805939712434,-0.13543833368120078,0.1431,0.99961,0.1863,0.0423,0.0336,0.0333,15.2495,1.1874
6736521792806590976,280.775349,-32.343122,1.3534,-4.7083,-0.0235,-0.051,0.05615380663855301,-0.17229393326592501,0.04915045500505588,0.02746446445595997,-0.1770499078214794,0.2688,0.97274,0.458,0.3329,0.287,0.2803,18.8005,0.759
6736521517921577216,280.787005,-32.37361,1.258,-4.6052,-0.0136,-0.0815,0.08262693265515791,-0.26769393326592494,0.1522504550050563,-0.10611279287212158,-0.2891026083339726,-0.0777,0.95889,0.064,0.2667,0.2084,0.206,18.5615,0.8197
6736518558665759488,280.80218,-32.370863,1.5881,-4.8513,-0.0008,-0.0788,0.07880406080907251,0.062406066734075116,-0.09384954499494391,0.09321117740380025,0.06335558908236211,0.0738,0.97437,0.162,0.0513,0.0399,0.0392,15.6513,0.4086
6736518597350912000,280.807325,-32.367869,1.4708,-4.7667,0.0035,-0.0758,0.07588076172522255,-0.054893933265924844,-0.009249544994943903,0.0067077179065379,-0.055262143574997286,0.0736,0.99896,0.0327,0.0615,0.0475,0.0505,16.0565,0.1504
6736518593029604480,280.812947,-32.366199,1.5999,-4.8708,0.0083,-0.0741,0.07456339584541466,0.07420606673407515,-0.11334954499494376,0.12090532540535504,0.06112742411821397,0.1505,0.97967,0.1464,0.1849,0.1497,0.1517,18.248,0.9765
6736893840037100672,280.833928,-32.357423,1.424,-4.893,0.026,-0.0653,0.0702857738094986,-0.10169393326592502,-0.13554954499494354,0.0883157812287881,-0.14462246712519974,0.0346,0.98822,0.1452,0.1861,0.1538,0.1638,18.3672,0.9722
6736521616704072448,280.787398,-32.351129,1.846,-4.6758,-0.0133,-0.059,0.06048049272286064,0.32030606673407513,0.08165045500505652,-0.15008884888648413,0.2945099499662392,0.4283,0.95125,0.1807,0.2864,0.2315,0.2162,18.8536,0.7846
6736521621000813312,280.793041,-32.347235,1.5398,-4.5085,-0.0086,-0.0551,0.055767104999273544,0.014106066734075107,0.24895045500505653,-0.2481477610299464,-0.02445401524812365,-0.0781,0.95565,0.2309,0.545,0.4468,0.4093,19.7016,0.7602
6736521621000823936,280.784135,-32.343445,1.9304,-4.7394,-0.0161,-0.0513,0.053767090306245886,0.40470606673407494,0.01805045500505642,-0.1384072668576883,0.38073120158221824,0.3784,0.96251,0.1434,0.284,0.22,0.2097,18.5819,
6736521616704121856,280.792069,-32.340865,1.5129,-4.7045,-0.0094,-0.0488,0.04969708240933265,-0.01279393326592504,0.05295045500505591,-0.04957472576064887,-0.022578352008325378,0.0582,0.99353,0.2097,0.2656,0.2169,0.2062,18.6886,0.8426
6736521621000819200,280.793294,-32.340501,1.1536,-4.6098,-0.0083,-0.0484,0.04910651687912715,-0.372093933265925,0.14765045500505636,-0.082634701746936,-0.3916963851042051,-0.1506,0.96736,-0.2154,0.4622,0.3265,0.3323,18.974,
6736896928105895296,280.799675,-32.341411,1.4241,-4.5829,-0.0029,-0.0493,0.04938522046118656,-0.10159393326592503,0.17455045500505584,-0.16828344487820457,-0.11166857569986968,0.0644,0.99209,0.1754,0.2645,0.2138,0.2001,18.7487,0.8369
6736896863695221120,280.803789,-32.340204,1.3919,-4.8303,0.0005,-0.0481,0.04810259868239968,-0.13379393326592504,-0.072849544994944,0.07145489519844742,-0.13454393608377924,0.179,0.99798,0.1284,0.1259,0.1004,0.1015,17.5716,1.0513
6736896863695221632,280.804156,-32.339485,1.2625,-4.5312,0.0008,-0.0474,0.047406750574153465,-0.263193933265925,0.22625045500505614,-0.23065969680305728,-0.25933842593935974,0.6255,0.96003,0.195,0.3455,0.281,0.2619,19.1646,0.7208
6736896863694150656,280.80802,-32.339863,1.1789,-4.7848,0.0041,-0.0478,0.047975514588173,-0.3467939332659249,-0.027349544994943464,-0.0023876111932363262,-0.34786251461500006,-0.0004,0.98959,0.2688,0.2862,0.2375,0.228,18.9362,0.8559
6736893908756600192,280.822122,-32.3522,1.4556,-4.6142,0.016,-0.0601,0.06219332761639307,-0.07009393326592495,0.14325045500505595,-0.15646140270992318,-0.030881738971222813,0.0315,0.99701,0.2341,0.1114,0.0901,0.0934,17.3847,1.0774
6736896863695212672,280.812724,-32.347733,1.3949,-4.6448,0.0081,-0.0556,0.05618692018610737,-0.13079393326592492,0.11265045500505622,-0.13032919643005692,-0.11318780212511001,0.1866,0.97496,0.2231,0.3845,0.3147,0.2913,19.3249,0.6315
6736893904448896128,280.826174,-32.354234,1.2858,-4.7461,0.0194,-0.0621,0.06505974177630895,-0.2398939332659249,0.011350455005056048,-0.0823674581986167,-0.2255959527042029,0.2711,0.96681,0.189,0.3235,0.2682,0.2725,19.1953,0.856
6736893938808656256,280.831378,-32.347019,1.4017,-4.9759,0.0238,-0.0549,0.05983686154871427,-0.123993933265925,-0.21844954499494396,0.15110793204172807,-0.20065166849374863,-0.1213,0.98664,0.3563,0.1965,0.168,0.1569,18.2286,1.022
6736896863694135680,280.813676,-32.340418,2.1677,-4.2515,0.0089,-0.0483,0.04911313469938566,0.642006066734075,0.5059504550050562,-0.38123310795401444,0.7230622172696508,-0.5241,0.95183,0.439,0.5343,0.4598,0.4394,19.6876,0.8358
6736893943116346752,280.825875,-32.34457,1.6284,-4.9235,0.0192,-0.0525,0.05590071555892643,0.10270606673407512,-0.1660495449949435,0.1912239849999886,0.0394255640129118,0.3068,0.96999,0.384,0.3527,0.2921,0.2626,19.1108,0.6425
