# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
1821582594760549376,298.324497,18.656732,-3.516,-2.6652,-0.113,-0.1224,0.16658559361481412,-0.05053775983508002,-0.08632329496650071,0.09770795788559876,0.02142268397861883,0.2331,0.95537,0.2749,0.1594,0.1725,0.164
1821606268620313088,298.324119,18.669079,-3.3112,-2.703,-0.1133,-0.1101,0.1579838599351212,0.15426224016492007,-0.12412329496650054,-0.024128648562195983,0.19652287249224304,0.1103,0.96334,0.1376,0.0905,0.0931,0.0956
1821606337314681728,298.317514,18.678124,-3.4022,-2.6681,-0.1196,-0.101,0.15654124057257243,0.06326224016491988,-0.08922329496650061,0.009233278480516855,0.10898465012956825,0.12,0.97177,0.1616,0.1274,0.1384,0.1412
1821618161403208832,298.295289,18.703772,-3.315,-2.7468,-0.1406,-0.0754,0.15954159332286988,0.15046224016492005,-0.1679232949665006,-0.053237368073195006,0.21909564429374584,0.2643,0.98695,-0.0263,0.0321,0.0323,0.0342
1821618397583055360,298.297847,18.720098,-3.4121,-2.8509,-0.1382,-0.059,0.15026722862953185,0.05336224016491986,-0.2720232949665009,0.057728573896962114,0.271130251789935,0.2588,0.96351,0.0771,0.0454,0.0492,0.049
1821618298849938176,298.307588,18.719298,-3.4739,-2.6885,-0.1289,-0.0598,0.14209591830872553,-0.008437759835079994,-0.10962329496650058,0.05378831688277434,0.0958920203002582,0.2448,0.99108,0.0494,0.0848,0.0847,0.0915
1821618298842150912,298.314245,18.723789,-3.2447,-2.5073,-0.1226,-0.0554,0.13453594315275008,0.22076224016492008,0.07157670503349944,-0.23065063042553,0.02568030510706623,0.2404,0.96253,0.0144,0.1297,0.1485,0.1392
1821618298842136704,298.319023,18.718813,-3.2619,-2.6801,-0.1181,-0.0603,0.13260354444734876,0.2035622401649202,-0.10122329496650062,-0.13526739388266565,0.18271965744557325,0.3033,0.97891,-0.0655,0.0859,0.0863,0.0883
1821618603745643136,298.30244,18.753913,-3.6264,-2.7995,-0.1338,-0.0252,0.13615241459482091,-0.16093775983507985,-0.2206232949665008,0.19899154473107744,0.1870239715869307,0.2814,0.9563,0.0916,0.1529,0.163,0.1657
1821618539368107264,298.307363,18.736849,-3.4394,-2.3391,-0.1291,-0.0423,0.13585322962668203,0.02606224016491998,0.23977670503349913,-0.09942487098264262,-0.21974258501533217,0.1014,0.95005,0.1158,0.1302,0.1498,0.1494
1821618328863660032,298.32013,18.736268,-3.2406,-2.6193,-0.117,-0.0429,0.12461705340762957,0.22486224016491985,-0.040423294966500656,-0.1972019244015296,0.1153623458510974,0.1285,0.97102,-0.051,0.0791,0.0806,0.0822
1821618981723620480,298.316456,18.755921,-3.3333,-2.7292,-0.1205,-0.0232,0.12271303924196482,0.13216224016492006,-0.15032329496650076,-0.1013588252192563,0.17259878123894112,0.0231,0.97088,0.0962,0.1647,0.1741,0.1788
1821618917317463552,298.32053,18.752215,-3.4009,-2.7431,-0.1167,-0.0269,0.11976017702057724,0.06456224016491996,-0.1642232949665008,-0.02602540235149917,0.17452865637828566,0.3485,0.98312,0.0422,0.15,0.1517,0.1577
1821618912979289856,298.32469,18.752103,-3.351,-2.5586,-0.1127,-0.0271,0.11591246697400585,0.11446224016492001,0.0202767050334991,-0.11603060071191848,0.007046196776893238,0.4792,0.98244,0.0147,0.1029,0.1021,0.1114
1821619359655961856,298.288304,18.767808,-3.3502,-2.5886,-0.1472,-0.0113,0.14763309249622864,0.11526224016491993,-0.009723294966500706,-0.11417987819760238,0.018517070168413183,0.3237,0.98242,0.0191,0.107,0.1064,0.1137
1821619741951233024,298.30509,18.774853,-3.3145,-2.5214,-0.1313,-0.0043,0.1313703924025501,0.15096224016492021,0.05747670503349944,-0.15276267047907904,-0.05250462917895211,0.1662,0.98133,-0.0208,0.0807,0.0812,0.0841
1821618986036960384,298.316249,18.763655,-3.3278,-2.838,-0.1207,-0.0155,0.12169116648302784,0.13766224016492012,-0.2591232949665008,-0.10353603864650544,0.27454701430339695,0.1443,0.96886,0.0513,0.109,0.1104,0.1139
1821619020365849984,298.321301,18.76235,-3.3244,-2.705,-0.1159,-0.0168,0.11711127187423079,0.1410622401649202,-0.12612329496650077,-0.12151044089897095,0.1450546582709093,0.4465,0.96534,0.1754,0.2193,0.2254,0.22
1821619016058593536,298.321862,18.770618,-3.4212,-2.9182,-0.1154,-0.0085,0.11571261815376921,0.0442622401649202,-0.3393232949665008,-0.019216698604655174,0.34165796186548597,0.2823,0.963,0.0585,0.116,0.1246,0.1239
1821619845030470272,298.298876,18.784516,-3.5596,-2.5026,-0.1371,0.0054,0.13720630451987256,-0.0941377598350801,0.07627670503349915,0.0970668303266007,-0.072512647227098,0.323,0.97541,0.0459,0.08,0.0784,0.0798
1821619845030484992,298.296388,18.792518,-3.3546,-2.7237,-0.1395,0.0134,0.14014210644913258,0.11086224016491997,-0.1448232949665007,-0.12420189118446907,0.1335593998396959,0.1496,0.98443,-0.0073,0.0865,0.0864,0.0909
1821619771972897920,298.306214,18.781586,-3.5174,-2.8014,-0.1302,0.0024,0.13022211793700794,-0.051937759835079866,-0.2225232949665008,0.0478278231169652,0.22344271533287238,0.1865,0.96716,0.0749,0.1429,0.1493,0.1478
1821619771997639552,298.311403,18.782102,-3.4203,-2.6548,-0.1253,0.003,0.12533590866148456,0.045162240164919876,-0.07592329496650052,-0.0469665767809836,0.0748205541329394,-0.0216,0.95656,0.1982,0.2545,0.2547,0.2518
1821619875076856192,298.32049,18.7851,-3.4403,-2.6652,-0.1167,0.0059,0.11684904792081106,0.025162240164919858,-0.08632329496650071,-0.02948882279198107,0.08494268016923959,0.0552,0.98175,0.0502,0.1752,0.1822,0.1874
1821619879359429504,298.317999,18.794428,-3.2553,-2.3946,-0.119,0.0153,0.11997953992243843,0.2101622401649199,0.18427670503349924,-0.1849471418790047,-0.20957248368983958,0.2904,0.95767,0.0563,0.1348,0.135,0.1366
1821619875052225664,298.322163,18.799317,-3.4547,-2.8462,-0.1151,0.0202,0.11685910319696964,0.010762240164920112,-0.26732329496650076,-0.05680913356074575,0.2614388880583597,0.1857,0.98188,-0.0385,0.084,0.0854,0.0861
1821623177925172864,298.276215,18.830034,-3.4949,-2.5676,-0.1585,0.0509,0.16647240011485387,-0.029437759835079902,0.011276705033499201,0.03147590361195096,-0.001735877971391559,0.2505,0.98298,-0.1015,0.0915,0.0881,0.0902
1821620149930186624,298.305282,18.811635,-3.2641,-2.5839,-0.131,0.0325,0.1349712932441562,0.20136224016492,-0.005023294966500558,-0.1966470788718249,-0.04361091179663258,0.2218,0.97775,0.0645,0.11,0.1118,0.1149
1821620154268139136,298.304162,18.812538,-3.3316,-2.727,-0.1321,0.0334,0.13625699982019274,0.1338622401649201,-0.14812329496650056,-0.16608702677683138,0.11079128751908138,0.2094,0.99209,0.0324,0.0424,0.0428,0.0449
1821620218674588672,298.296671,18.822812,-3.366,-2.4924,-0.1392,0.0437,0.1458983550284238,0.09946224016491989,0.08647670503349936,-0.0689940048949274,-0.11229775162768751,0.2108,0.97664,0.0169,0.1098,0.1079,0.1118
1821619978131470848,298.323591,18.80858,-3.1764,-2.6231,-0.1137,0.0294,0.11743955892287743,0.2890622401649199,-0.04422329496650068,-0.2909287287191165,-0.029549167716445737,0.4382,0.95679,0.1059,0.1543,0.1618,0.1552
1821619982469415936,298.322257,18.814646,-3.263,-2.4759,-0.115,0.0355,0.12035468416310185,0.2024622401649201,0.1029767050334991,-0.16308035475941995,-0.15811375134280947,-0.0212,0.96065,0.0773,0.1654,0.1715,0.1833
1821620257347630592,298.300348,18.838089,-3.4674,-2.599,-0.1357,0.0589,0.14793140302180602,-0.001937759835080044,-0.020123294966500893,-0.006234700983472634,0.019230975459761133,0.3249,0.9747,-0.098,0.1537,0.1556,0.1537
1821620257347361408,298.310085,18.828639,-3.378,-2.5325,-0.1265,0.0495,0.13583997938751316,0.08746224016491988,0.04637670503349911,-0.06454893854695455,-0.07505915505047864,0.2618,0.99619,-0.1598,0.0222,0.0209,0.0218
1821621661758795904,298.324553,18.832511,-3.5869,-2.5932,-0.1128,0.0534,0.12480144229935806,-0.12143775983507998,-0.014323294966500644,0.10363113694762494,0.06490665410728358,0.4195,0.9749,0.004,0.1867,0.1894,0.1938
1821621734816110208,298.316225,18.837986,-3.3897,-2.7417,-0.1207,0.0588,0.1342606792772925,0.07576224016492006,-0.1628232949665005,-0.13941916749338198,0.11319734163842965,0.2662,0.9976,-0.1351,0.0202,0.0192,0.0207
1821621730495389440,298.307622,18.846176,-3.4507,-2.7111,-0.1288,0.067,0.14518415891549602,0.014762240164920115,-0.13222329496650076,-0.07411509200711273,0.11048926012632294,0.5098,0.96086,0.0475,0.1579,0.1575,0.1612
1821624930271816576,298.320077,18.885055,-3.5588,-2.5658,-0.117,0.1059,0.15780941036579535,-0.09333775983508019,0.013076705033499447,0.0779759643941938,0.05294040614086449,0.2167,0.95248,0.1854,0.1864,0.1909,0.1694
1821605242140266624,298.354994,18.635844,-3.436,-2.6591,-0.0841,-0.1433,0.1661556499189841,0.02946224016492005,-0.08022329496650071,0.054275757551590795,0.06601471648820846,0.2005,0.98906,0.1774,0.0699,0.072,0.0764
1821605242140270592,298.35741,18.6417,-3.3346,-2.7661,-0.0818,-0.1375,0.1599921560577268,0.13086224016491999,-0.18722329496650048,0.0939963069625567,0.20818785352775807,0.2686,0.98754,0.1075,0.0239,0.025,0.0275
1821605203443187328,298.373678,18.6479,-3.3665,-2.6243,-0.0664,-0.1313,0.14713480213735974,0.09896224016492017,-0.04542329496650055,-0.0041255645097649325,0.10881075508215546,0.2253,0.99267,0.0782,0.0663,0.0705,0.0726
1821605379579216128,298.371093,18.658966,-3.4796,-2.7211,-0.0688,-0.1202,0.13849722018870994,-0.014137759835080033,-0.14222329496650055,0.13045689947428807,0.058380983751887196,0.3021,0.99014,0.1101,0.0837,0.088,0.091
1821605310859662592,298.388868,18.649019,-3.3185,-2.5737,-0.052,-0.1302,0.1402,0.1469622401649202,0.005176705033499207,-0.05931557406517438,0.1345598787997907,-0.0252,0.95303,0.2066,0.1849,0.2101,0.2083
1821605001587256064,298.398345,18.633583,-3.4653,-2.432,-0.043,-0.1456,0.15181686335845568,0.00016224016491994675,0.14687670503349937,-0.1409080922022461,-0.04144517288288239,0.0967,0.95202,0.1892,0.1135,0.1302,0.1304
1821605306522423424,298.396358,18.653005,-3.5604,-2.5101,-0.0449,-0.1262,0.13394943075653587,-0.09493775983508002,0.06877670503349931,-0.032974494431862324,-0.11249931606339385,0.0923,0.97084,0.1363,0.1423,0.1645,0.1562
1821605134749692288,298.403135,18.652237,-3.4297,-2.3906,-0.0385,-0.127,0.13270738487363845,0.03576224016492002,0.18827670503349925,-0.1905544880541696,-0.02039712142185825,0.0388,0.95948,0.1175,0.1796,0.2091,0.199
1821605139060932096,298.40466,18.653033,-3.5238,-2.8651,-0.037,-0.1262,0.13151212871822887,-0.05833775983508005,-0.2862232949665007,0.29107487888578587,0.024545543091996077,0.3602,0.95813,0.0174,0.111,0.1219,0.1246
