# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
4057920972838088320,262.641902,-31.614284,-5.5135,-3.9778,-0.0175,-0.0188,0.02568443108188305,-0.017057746478873703,-0.2885422535211273,0.22282389325003862,0.18411168180993678,-0.2046,0.96733,0.2662,0.2804,0.2083,0.2572,18.6322,3.6778
4057921320779459584,262.604896,-31.592736,-5.3965,-3.7925,-0.0491,0.0028,0.04917977226462115,0.09994225352112629,-0.10324225352112748,-0.10565813379100418,0.09738467905581506,0.0596,0.96383,0.0696,0.117,0.0856,0.1164,17.046,3.9666
4057920972828116608,262.63699,-31.610744,-5.33,-3.6548,-0.0217,-0.0152,0.02649396157617807,0.16644225352112585,0.034457746478872675,-0.15609423437851444,0.06726774890969961,-0.1244,0.98198,0.1758,0.079,0.0591,0.0833,15.4648,4.3081
4057921045901491840,262.635538,-31.609411,-5.1384,-3.4945,-0.023,-0.0139,0.026873965096353012,0.35804225352112606,0.19475774647887256,-0.407163753759848,0.018507099832360742,0.0085,0.96755,0.2747,0.1803,0.1217,0.1853,17.4166,4.0499
4057921011500030976,262.64371,-31.608351,-5.5107,-3.6882,-0.016,-0.0128,0.020489997559785117,-0.014257746478874012,0.0010577464788723567,0.010472660531379215,-0.00973270484828874,0.038,0.9988,0.1212,0.0863,0.0677,0.0845,15.9805,4.1484
4057921011541723136,262.654719,-31.60945,-5.8411,-3.6998,-0.0066,-0.0139,0.015387332452377831,-0.34465774647887404,-0.010542253521127698,0.15735530886837237,-0.3068214596278081,0.223,0.99143,0.3765,0.1846,0.1301,0.165,17.4042,4.1557
4057921007187862272,262.651294,-31.604126,-5.2331,-3.6787,-0.0095,-0.0086,0.012814444974324874,0.2633422535211256,0.01055774647887242,-0.20231450003206902,0.1689066356809906,-0.1038,0.99677,0.2603,0.1929,0.1314,0.1743,17.8934,4.3291
4057921075910922880,262.640603,-31.59741,-5.492,-3.3706,-0.0187,-0.0019,0.018796276226955167,0.004442253521125927,0.31865774647887246,-0.0366306523080102,-0.3165765125823914,-0.0258,0.98479,0.1959,0.2975,0.2279,0.2851,18.9025,3.3026
4057922484680691328,262.653976,-31.599755,-5.269,-3.8289,-0.0073,-0.0042,0.008421995013059555,0.2274422535211258,-0.13964225352112747,-0.12750316097912057,0.23446296423008764,0.0324,0.99766,0.2353,0.1863,0.1268,0.1788,17.5114,4.3146
4057921075910926208,262.642793,-31.594155,-5.3885,-3.7915,-0.0168,0.0014,0.016858232410309214,0.1079422535211263,-0.10224225352112759,-0.11606015188686161,0.0929249678197213,0.2997,0.97545,0.245,0.3835,0.2991,0.3666,18.9363,3.559
4057922553376104960,262.652841,-31.592793,-5.3425,-3.9596,-0.0082,0.0027,0.008633075929238664,0.15394225352112567,-0.2703422535211275,-0.2307694939451283,0.20863506925335798,0.2523,0.97988,0.3405,0.5141,0.3572,0.4154,19.3391,
4057921075917773184,262.636801,-31.590938,-5.4122,-3.7645,-0.0219,0.0046,0.022377890874700414,0.08424225352112558,-0.07524225352112746,-0.09791001889221469,0.05631857769671896,0.0491,0.9951,0.216,0.1886,0.1268,0.1818,17.6092,4.1796
4057922557729991424,262.652914,-31.587583,-5.2401,-3.9385,-0.0082,0.0079,0.011386395390991831,0.25634225352112594,-0.2492422535211274,-0.35753371825739194,0.001640789329266553,0.2925,0.97708,0.1364,0.431,0.3331,0.4411,19.1116,3.7103
4057922553376120448,262.65005,-31.584589,-4.919,-3.5882,-0.0106,0.0109,0.015204275714416652,0.5774422535211263,0.10105774647887245,-0.3301280866634698,-0.4844250929409637,-0.1693,0.98075,0.1314,0.3012,0.2178,0.2666,18.663,3.8914
4057920255585624832,262.659325,-31.614254,-5.4467,-3.2654,-0.0027,-0.0187,0.018893914364154402,0.049742253521126045,0.4238577464788724,-0.4266158821463834,-0.011338877191819351,0.3173,0.95585,0.2363,0.2529,0.1902,0.2243,18.4735,4.0186
4057920255627465856,262.658184,-31.613305,-5.6545,-3.7282,-0.0037,-0.0178,0.01818048404196104,-0.15805774647887372,-0.03894225352112768,0.07029437564469022,-0.1468245588585468,-0.1142,0.9966,0.2273,0.1698,0.1208,0.1822,17.5311,3.9684
4057921011499980032,262.657105,-31.602953,-5.0387,-3.5381,-0.0046,-0.0074,0.008713208364316787,0.4577422535211255,0.15115774647887248,-0.370033810203005,0.308952446641576,0.3447,0.98799,0.2689,0.1939,0.1452,0.2075,17.56,4.2952
4057921733096221952,262.665373,-31.604925,-5.5738,-3.347,0.0024,-0.0094,0.009701546268507923,-0.07735774647887439,0.3422577464788725,-0.35075660253219165,0.009715541423931287,0.1774,0.98285,0.2311,0.1176,0.0902,0.1311,16.8328,3.9973
4057921733054408576,262.667692,-31.604024,-5.2872,-3.3896,0.0044,-0.0085,0.00957131129992124,0.20924225352112558,0.29965774647887233,-0.1699270746309177,0.3235766910498555,-0.4869,0.98984,0.2262,0.2233,0.1604,0.2396,17.9393,
4057921664388653824,262.678384,-31.61362,-5.7931,-3.9897,0.0135,-0.0181,0.022580079716422615,-0.296657746478874,-0.3004422535211275,0.06346856296637828,-0.4174243737035012,-0.0732,0.96423,0.2822,0.4345,0.3029,0.3918,18.9547,3.7894
4057921728752347520,262.676127,-31.608833,-5.3939,-3.8811,0.0116,-0.0133,0.01764794605612789,0.10254225352112556,-0.1918422535211275,0.2119788954917543,-0.048819175119529004,0.0342,0.99665,0.2314,0.1495,0.1009,0.1403,17.2468,3.88
4057921011499997952,262.655439,-31.602486,-5.5768,-3.7291,-0.006,-0.007,0.009219544457292887,-0.0803577464788745,-0.03984225352112736,0.08254662223784119,-0.03508315467468676,-0.3493,0.99155,0.2861,0.1669,0.1172,0.152,17.5103,4.0671
