# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
4068055244606245120,266.980171,-24.78357,-1.5343,-5.0707,-0.0363,-0.0045,0.03657786215732133,0.4155279835390948,0.20625308641975248,-0.43774577700827016,-0.1535658668883354,0.1694,0.95775,0.3207,0.1044,0.0623,0.0922,16.6559,4.9908
4068055171512235776,266.988065,-24.79772,-2.4437,-5.5579,-0.0292,-0.0187,0.034674630495507806,-0.4938720164609054,-0.28094691358024715,0.5674110980694655,-0.02975538070721134,-0.1698,0.95323,0.2838,0.2439,0.143,0.1979,18.4287,4.4001
4068055171512240896,266.995433,-24.799224,-2.4046,-5.5159,-0.0225,-0.0202,0.030237228708993816,-0.45477201646090504,-0.23894691358024733,0.4980316870180683,-0.1260065601124827,0.052,0.9584,0.4353,0.2913,0.1749,0.2294,18.9337,3.7156
4067304587339254912,267.008902,-24.802508,-2.0443,-5.0928,-0.0103,-0.0235,0.02565813711086602,-0.09447201646090497,0.18415308641975248,-0.1307396459385293,-0.16045082147492526,-0.2702,0.98264,0.2748,0.1454,0.0821,0.1204,16.1823,5.9996
4067304587339278848,267.008596,-24.799845,-1.6673,-5.1243,-0.0105,-0.0208,0.023299999999999998,0.2825279835390948,0.15265308641975306,-0.2635934774545648,0.1834216588071144,-1.069,0.96235,0.0694,0.5108,0.2933,0.4268,19.4653,3.7964
4068055175815745280,266.987496,-24.797097,-2.1364,-5.2273,-0.0297,-0.018,0.034728806486834525,-0.18657201646090527,0.0496530864197533,0.1338207040053375,-0.13916380814282014,-0.5701,0.9635,0.4041,0.3564,0.2099,0.2689,19.0425,4.0437
4068055175886752384,266.992709,-24.793884,-2.4036,-4.854,-0.025,-0.0148,0.029052366512902182,-0.45377201646090515,0.4229530864197528,0.17501482126257134,-0.5951202975646361,0.125,0.97671,0.3268,0.0983,0.0563,0.0789,16.2177,5.3504
4068055205867847680,266.992475,-24.790138,-1.6471,-5.4765,-0.0252,-0.0111,0.02753633962602873,0.3027279835390948,-0.1995469135802468,-0.19660472372032622,0.3046469848002818,0.1077,0.98856,0.302,0.0969,0.0557,0.0813,16.4451,4.8521
4068055210175451392,267.000013,-24.794076,-1.5542,-4.6517,-0.0183,-0.015,0.023661994844053194,0.3956279835390948,0.625253086419753,-0.7023409693303359,-0.2327661621386615,-0.4109,0.95244,0.4067,0.2975,0.1781,0.2237,18.7688,2.9122
4067304583028286336,267.00404,-24.79621,-2.0133,-5.4987,-0.0147,-0.0172,0.022625870149013055,-0.06347201646090528,-0.22174691358024745,0.209807867025288,0.09581779318205066,0.0868,0.98392,0.339,0.2488,0.1502,0.2033,18.7886,3.9056
4068055205871985792,267.002388,-24.795583,-1.5475,-5.6123,-0.0162,-0.0165,0.023123364807051763,0.4023279835390947,-0.3353469135802474,-0.04257551906801295,0.5220274743368601,0.0005,0.9624,0.4323,0.2497,0.1516,0.194,18.7698,3.9831
4067304587339291520,267.008407,-24.796914,-2.4364,-5.774,-0.0107,-0.0179,0.02085425616031413,-0.4865720164609051,-0.4970469135802471,0.6762869037763687,-0.16261606711224333,-0.2601,0.96105,0.3021,0.4018,0.2472,0.3168,19.2004,
4067304587339315712,267.007768,-24.793641,-2.3735,-5.3278,-0.0113,-0.0146,0.01846212338816963,-0.42367201646090513,-0.050846913580246955,0.29952452423881637,-0.3039217753504958,-0.1679,0.97934,0.3042,0.4515,0.2767,0.3497,19.4944,3.5916
4068055210246491264,266.997697,-24.788245,-2.27,-5.0576,-0.0204,-0.0092,0.022378561169118984,-0.3201720164609052,0.21935308641975304,0.20168681563714796,-0.3315845669579042,0.2542,0.97755,0.316,0.1326,0.0739,0.1018,15.7403,6.086
4068055210246486016,267.003654,-24.79158,-2.3286,-5.4916,-0.015,-0.0125,0.01952562418976664,-0.37877201646090497,-0.21464691358024712,0.42839432867147864,-0.07758760935548414,0.3094,0.96614,0.3181,0.1116,0.0605,0.0871,16.1091,5.5405
4068055210175450624,267.00363,-24.791111,-1.3824,-5.221,-0.015,-0.0121,0.01927200041511,0.5674279835390947,0.05595308641975283,-0.4767772883380246,0.31271181894546235,-0.0379,0.97952,0.372,0.2104,0.1254,0.1641,18.2446,
4068055210175461120,267.0044,-24.788076,-2.8405,-5.3217,-0.0143,-0.009,0.01689644933114647,-0.8906720164609052,-0.04474691358024696,0.7776386505887051,-0.43655132148702874,-0.2764,0.97596,0.5167,0.2875,0.1668,0.205,18.5876,4.3442
4068055210175442176,267.009214,-24.788618,-2.1322,-4.9257,-0.01,-0.0096,0.013862178760930764,-0.18237201646090528,0.35125308641975295,-0.11169308170980584,-0.37968794898651415,0.4666,0.95604,0.3952,0.4378,0.2665,0.3252,19.222,3.7295
4068055210178647424,267.008296,-24.788216,-2.7834,-5.4362,-0.0108,-0.0092,0.01418731828077456,-0.8335720164609051,-0.15924691358024745,0.7378173362686107,-0.41931785606270805,-0.1335,0.97103,0.5591,0.5017,0.3236,0.31,19.1968,4.2039
