Gmag,G_BPmag,G_RPmag,logAge,MH
14.407,17.140,12.984,10.08991,-0.85000
13.644,15.801,12.309,10.08991,-0.85000
12.724,14.347,11.507,10.08991,-0.85000
12.126,13.511,10.980,10.08991,-0.85000
11.692,12.953,10.589,10.08991,-0.85000
11.064,12.202,10.011,10.08991,-0.85000
10.489,11.544,9.473,10.08991,-0.85000
10.046,11.047,9.056,10.08991,-0.85000
9.680,10.640,8.710,10.08991,-0.85000
9.301,10.217,8.354,10.08991,-0.85000
8.865,9.724,7.951,10.08991,-0.85000
8.368,9.152,7.498,10.08991,-0.85000
7.799,8.479,6.995,10.08991,-0.85000
7.182,7.743,6.465,10.08991,-0.85000
6.623,7.098,5.977,10.08991,-0.85000
6.601,7.073,5.957,10.08991,-0.85000
6.395,6.839,5.777,10.08991,-0.85000
6.200,6.619,5.605,10.08991,-0.85000
6.084,6.490,5.502,10.08991,-0.85000
6.031,6.431,5.454,10.08991,-0.85000
5.872,6.255,5.310,10.08991,-0.85000
5.729,6.098,5.183,10.08991,-0.85000
5.593,5.948,5.060,10.08991,-0.85000
5.549,5.900,5.020,10.08991,-0.85000
5.467,5.811,4.946,10.08991,-0.85000
5.347,5.680,4.836,10.08991,-0.85000
5.226,5.550,4.726,10.08991,-0.85000
5.115,5.431,4.623,10.08991,-0.85000
5.003,5.312,4.520,10.08991,-0.85000
4.969,5.276,4.488,10.08991,-0.85000
4.889,5.191,4.412,10.08991,-0.85000
4.754,5.050,4.285,10.08991,-0.85000
4.620,4.911,4.157,10.08991,-0.85000
4.487,4.774,4.029,10.08991,-0.85000
4.351,4.635,3.897,10.08991,-0.85000
4.255,4.537,3.802,10.08991,-0.85000
4.237,4.519,3.784,10.08991,-0.85000
4.202,4.483,3.749,10.08991,-0.85000
4.093,4.376,3.640,10.08991,-0.85000
3.961,4.247,3.504,10.08991,-0.85000
3.913,4.200,3.454,10.08991,-0.85000
3.823,4.115,3.357,10.08991,-0.85000
3.718,4.022,3.240,10.08991,-0.85000
3.634,3.954,3.137,10.08991,-0.85000
3.584,3.920,3.069,10.08991,-0.85000
3.537,3.892,3.003,10.08991,-0.85000
3.477,3.848,2.927,10.08991,-0.85000
3.394,3.777,2.831,10.08991,-0.85000
3.286,3.679,2.715,10.08991,-0.85000
3.269,3.663,2.697,10.08991,-0.85000
3.153,3.552,2.575,10.08991,-0.85000
3.047,3.450,2.466,10.08991,-0.85000
2.920,3.326,2.334,10.08991,-0.85000
2.818,3.228,2.230,10.08991,-0.85000
2.686,3.099,2.095,10.08991,-0.85000
2.580,2.995,1.986,10.08991,-0.85000
2.480,2.898,1.884,10.08991,-0.85000
2.379,2.799,1.781,10.08991,-0.85000
2.276,2.699,1.675,10.08991,-0.85000
2.177,2.603,1.574,10.08991,-0.85000
2.077,2.505,1.471,10.08991,-0.85000
1.953,2.385,1.343,10.08991,-0.85000
1.853,2.288,1.240,10.08991,-0.85000
1.727,2.166,1.110,10.08991,-0.85000
1.605,2.049,0.984,10.08991,-0.85000
1.488,1.936,0.863,10.08991,-0.85000
1.369,1.823,0.740,10.08991,-0.85000
1.261,1.719,0.627,10.08991,-0.85000
1.151,1.614,0.513,10.08991,-0.85000
1.042,1.510,0.400,10.08991,-0.85000
0.938,1.410,0.291,10.08991,-0.85000
0.834,1.312,0.183,10.08991,-0.85000
0.737,1.221,0.081,10.08991,-0.85000
0.642,1.131,-0.018,10.08991,-0.85000
0.549,1.044,-0.117,10.08991,-0.85000
0.464,0.964,-0.206,10.08991,-0.85000
0.403,0.906,-0.270,10.08991,-0.85000
0.427,0.928,-0.244,10.08991,-0.85000
0.477,0.974,-0.190,10.08991,-0.85000
0.461,0.959,-0.207,10.08991,-0.85000
0.361,0.865,-0.312,10.08991,-0.85000
0.257,0.769,-0.422,10.08991,-0.85000
0.154,0.673,-0.532,10.08991,-0.85000
0.053,0.580,-0.638,10.08991,-0.85000
-0.048,0.486,-0.746,10.08991,-0.85000
-0.145,0.399,-0.849,10.08991,-0.85000
-0.243,0.310,-0.954,10.08991,-0.85000
-0.339,0.223,-1.058,10.08991,-0.85000
-0.436,0.136,-1.161,10.08991,-0.85000
-0.527,0.055,-1.259,10.08991,-0.85000
-0.618,-0.027,-1.358,10.08991,-0.85000
-0.708,-0.107,-1.454,10.08991,-0.85000
-0.796,-0.185,-1.550,10.08991,-0.85000
-0.881,-0.260,-1.642,10.08991,-0.85000
-0.967,-0.335,-1.735,10.08991,-0.85000
-1.052,-0.409,-1.828,10.08991,-0.85000
-1.132,-0.478,-1.916,10.08991,-0.85000
-1.215,-0.549,-2.006,10.08991,-0.85000
-1.311,-0.631,-2.111,10.08991,-0.85000
-1.386,-0.695,-2.194,10.08991,-0.85000
-1.462,-0.759,-2.279,10.08991,-0.85000
-1.552,-0.835,-2.378,10.08991,-0.85000
-1.625,-0.895,-2.458,10.08991,-0.85000
-1.695,-0.953,-2.537,10.08991,-0.85000
-1.779,-1.020,-2.631,10.08991,-0.85000
-1.863,-1.087,-2.725,10.08991,-0.85000
-1.930,-1.140,-2.801,10.08991,-0.85000
-2.006,-1.199,-2.887,10.08991,-0.85000
-2.083,-1.258,-2.975,10.08991,-0.85000
-2.158,-1.315,-3.059,10.08991,-0.85000
-2.231,-1.370,-3.143,10.08991,-0.85000
-2.299,-1.419,-3.221,10.08991,-0.85000
-2.367,-1.468,-3.298,10.08991,-0.85000
-2.431,-1.513,-3.373,10.08991,-0.85000
-2.493,-1.554,-3.446,10.08991,-0.85000
-2.552,-1.591,-3.516,10.08991,-0.85000
-2.605,-1.621,-3.580,10.08991,-0.85000
-2.656,-1.649,-3.642,10.08991,-0.85000
-2.707,-1.677,-3.704,10.08991,-0.85000
-2.754,-1.701,-3.762,10.08991,-0.85000
-2.785,-1.714,-3.801,10.08991,-0.85000
0.545,0.943,-0.032,10.08991,-0.85000
0.508,0.908,-0.072,10.08991,-0.85000
0.500,0.901,-0.080,10.08991,-0.85000
0.496,0.897,-0.083,10.08991,-0.85000
0.495,0.895,-0.084,10.08991,-0.85000
