Gmag,G_BPmag,G_RPmag,logAge,MH
13.979,16.125,12.656,10.13830,-1.35000
13.082,14.624,11.894,10.13830,-1.35000
12.200,13.423,11.116,10.13830,-1.35000
11.667,12.777,10.629,10.13830,-1.35000
11.265,12.312,10.255,10.13830,-1.35000
10.653,11.626,9.678,10.13830,-1.35000
10.104,11.024,9.155,10.13830,-1.35000
9.689,10.571,8.760,10.13830,-1.35000
9.349,10.201,8.437,10.13830,-1.35000
8.942,9.748,8.056,10.13830,-1.35000
8.441,9.174,7.599,10.13830,-1.35000
7.852,8.484,7.077,10.13830,-1.35000
7.218,7.763,6.509,10.13830,-1.35000
6.628,7.101,5.979,10.13830,-1.35000
6.520,6.980,5.882,10.13830,-1.35000
6.396,6.842,5.770,10.13830,-1.35000
6.281,6.715,5.666,10.13830,-1.35000
6.169,6.591,5.566,10.13830,-1.35000
6.042,6.450,5.451,10.13830,-1.35000
6.031,6.437,5.441,10.13830,-1.35000
5.914,6.309,5.335,10.13830,-1.35000
5.787,6.171,5.220,10.13830,-1.35000
5.667,6.040,5.110,10.13830,-1.35000
5.551,5.915,5.003,10.13830,-1.35000
5.433,5.788,4.893,10.13830,-1.35000
5.387,5.740,4.851,10.13830,-1.35000
5.278,5.624,4.749,10.13830,-1.35000
5.150,5.489,4.629,10.13830,-1.35000
5.022,5.355,4.508,10.13830,-1.35000
4.894,5.221,4.386,10.13830,-1.35000
4.766,5.088,4.264,10.13830,-1.35000
4.640,4.958,4.141,10.13830,-1.35000
4.513,4.829,4.017,10.13830,-1.35000
4.487,4.802,3.992,10.13830,-1.35000
4.477,4.792,3.982,10.13830,-1.35000
4.433,4.748,3.939,10.13830,-1.35000
4.396,4.710,3.901,10.13830,-1.35000
4.241,4.557,3.745,10.13830,-1.35000
4.110,4.430,3.610,10.13830,-1.35000
4.086,4.407,3.585,10.13830,-1.35000
4.036,4.359,3.531,10.13830,-1.35000
3.924,4.258,3.410,10.13830,-1.35000
3.829,4.174,3.301,10.13830,-1.35000
3.746,4.104,3.204,10.13830,-1.35000
3.670,4.044,3.113,10.13830,-1.35000
3.589,3.979,3.016,10.13830,-1.35000
3.503,3.905,2.916,10.13830,-1.35000
3.413,3.825,2.818,10.13830,-1.35000
3.322,3.740,2.721,10.13830,-1.35000
3.305,3.725,2.703,10.13830,-1.35000
3.285,3.705,2.682,10.13830,-1.35000
3.174,3.599,2.566,10.13830,-1.35000
3.071,3.500,2.460,10.13830,-1.35000
2.948,3.380,2.334,10.13830,-1.35000
2.825,3.260,2.207,10.13830,-1.35000
2.690,3.129,2.070,10.13830,-1.35000
2.561,3.002,1.938,10.13830,-1.35000
2.441,2.885,1.816,10.13830,-1.35000
2.340,2.786,1.712,10.13830,-1.35000
2.217,2.667,1.588,10.13830,-1.35000
2.089,2.542,1.457,10.13830,-1.35000
1.961,2.417,1.326,10.13830,-1.35000
1.839,2.298,1.200,10.13830,-1.35000
1.718,2.180,1.076,10.13830,-1.35000
1.599,2.065,0.953,10.13830,-1.35000
1.477,1.947,0.828,10.13830,-1.35000
1.358,1.832,0.706,10.13830,-1.35000
1.236,1.714,0.581,10.13830,-1.35000
1.119,1.602,0.460,10.13830,-1.35000
1.005,1.492,0.342,10.13830,-1.35000
0.889,1.380,0.222,10.13830,-1.35000
0.777,1.273,0.105,10.13830,-1.35000
0.662,1.163,-0.014,10.13830,-1.35000
0.550,1.057,-0.130,10.13830,-1.35000
0.438,0.951,-0.246,10.13830,-1.35000
0.326,0.844,-0.363,10.13830,-1.35000
0.221,0.744,-0.473,10.13830,-1.35000
0.154,0.681,-0.542,10.13830,-1.35000
0.188,0.712,-0.506,10.13830,-1.35000
0.190,0.714,-0.504,10.13830,-1.35000
0.150,0.676,-0.545,10.13830,-1.35000
0.050,0.582,-0.650,10.13830,-1.35000
-0.046,0.491,-0.751,10.13830,-1.35000
-0.146,0.398,-0.856,10.13830,-1.35000
-0.245,0.306,-0.960,10.13830,-1.35000
-0.344,0.215,-1.065,10.13830,-1.35000
-0.437,0.130,-1.164,10.13830,-1.35000
-0.534,0.041,-1.267,10.13830,-1.35000
-0.648,-0.062,-1.388,10.13830,-1.35000
-0.740,-0.145,-1.487,10.13830,-1.35000
-0.849,-0.242,-1.603,10.13830,-1.35000
-0.936,-0.320,-1.698,10.13830,-1.35000
-1.042,-0.412,-1.813,10.13830,-1.35000
-1.144,-0.501,-1.924,10.13830,-1.35000
-1.243,-0.586,-2.032,10.13830,-1.35000
-1.337,-0.668,-2.134,10.13830,-1.35000
-1.434,-0.752,-2.239,10.13830,-1.35000
-1.526,-0.832,-2.340,10.13830,-1.35000
-1.615,-0.908,-2.437,10.13830,-1.35000
-1.704,-0.984,-2.534,10.13830,-1.35000
-1.795,-1.061,-2.633,10.13830,-1.35000
-1.875,-1.126,-2.722,10.13830,-1.35000
-1.958,-1.195,-2.815,10.13830,-1.35000
-2.041,-1.262,-2.907,10.13830,-1.35000
-2.117,-1.322,-2.991,10.13830,-1.35000
-2.194,-1.384,-3.078,10.13830,-1.35000
-2.273,-1.446,-3.166,10.13830,-1.35000
-2.346,-1.504,-3.248,10.13830,-1.35000
-2.422,-1.562,-3.333,10.13830,-1.35000
