Gmag,G_BPmag,G_RPmag,logAge,MH
15.217,18.023,13.785,10.09691,-1.30000
15.065,17.736,13.649,10.09691,-1.30000
14.399,16.545,13.060,10.09691,-1.30000
13.566,15.336,12.304,10.09691,-1.30000
13.055,14.692,11.827,10.09691,-1.30000
12.669,14.232,11.461,10.09691,-1.30000
12.074,13.554,10.893,10.09691,-1.30000
11.535,12.956,10.373,10.09691,-1.30000
11.126,12.506,9.977,10.09691,-1.30000
10.793,12.139,9.655,10.09691,-1.30000
10.399,11.697,9.278,10.09691,-1.30000
9.922,11.144,8.829,10.09691,-1.30000
9.367,10.480,8.319,10.09691,-1.30000
8.770,9.785,7.767,10.09691,-1.30000
8.222,9.161,7.256,10.09691,-1.30000
8.174,9.106,7.212,10.09691,-1.30000
8.041,8.954,7.088,10.09691,-1.30000
7.912,8.809,6.968,10.09691,-1.30000
7.792,8.675,6.856,10.09691,-1.30000
7.682,8.551,6.754,10.09691,-1.30000
7.674,8.541,6.746,10.09691,-1.30000
7.611,8.471,6.687,10.09691,-1.30000
7.479,8.324,6.565,10.09691,-1.30000
7.357,8.189,6.449,10.09691,-1.30000
7.237,8.057,6.336,10.09691,-1.30000
7.122,7.932,6.228,10.09691,-1.30000
7.111,7.920,6.217,10.09691,-1.30000
7.009,7.809,6.120,10.09691,-1.30000
6.877,7.667,5.995,10.09691,-1.30000
6.755,7.537,5.878,10.09691,-1.30000
6.634,7.407,5.761,10.09691,-1.30000
6.512,7.279,5.644,10.09691,-1.30000
6.404,7.166,5.539,10.09691,-1.30000
6.389,7.150,5.524,10.09691,-1.30000
6.250,7.006,5.389,10.09691,-1.30000
6.117,6.868,5.258,10.09691,-1.30000
5.990,6.739,5.133,10.09691,-1.30000
5.949,6.697,5.093,10.09691,-1.30000
5.911,6.659,5.055,10.09691,-1.30000
5.757,6.507,4.900,10.09691,-1.30000
5.625,6.379,4.765,10.09691,-1.30000
5.600,6.356,4.739,10.09691,-1.30000
5.549,6.308,4.686,10.09691,-1.30000
5.436,6.206,4.565,10.09691,-1.30000
5.337,6.122,4.458,10.09691,-1.30000
5.252,6.052,4.363,10.09691,-1.30000
5.178,5.995,4.279,10.09691,-1.30000
5.099,5.935,4.188,10.09691,-1.30000
5.015,5.867,4.096,10.09691,-1.30000
4.928,5.790,4.002,10.09691,-1.30000
4.836,5.707,3.906,10.09691,-1.30000
4.821,5.692,3.890,10.09691,-1.30000
4.800,5.673,3.869,10.09691,-1.30000
4.688,5.567,3.754,10.09691,-1.30000
4.654,5.534,3.719,10.09691,-1.30000
4.584,5.467,3.647,10.09691,-1.30000
4.459,5.346,3.519,10.09691,-1.30000
4.333,5.224,3.392,10.09691,-1.30000
4.197,5.091,3.253,10.09691,-1.30000
4.065,4.963,3.120,10.09691,-1.30000
3.944,4.844,2.997,10.09691,-1.30000
3.841,4.744,2.893,10.09691,-1.30000
3.717,4.624,2.767,10.09691,-1.30000
3.588,4.498,2.636,10.09691,-1.30000
3.458,4.372,2.504,10.09691,-1.30000
3.335,4.252,2.379,10.09691,-1.30000
3.213,4.134,2.255,10.09691,-1.30000
3.093,4.019,2.133,10.09691,-1.30000
2.971,3.900,2.008,10.09691,-1.30000
2.852,3.786,1.887,10.09691,-1.30000
2.730,3.669,1.763,10.09691,-1.30000
2.614,3.557,1.644,10.09691,-1.30000
2.499,3.448,1.527,10.09691,-1.30000
2.384,3.337,1.409,10.09691,-1.30000
2.272,3.231,1.295,10.09691,-1.30000
2.158,3.122,1.178,10.09691,-1.30000
2.049,3.018,1.065,10.09691,-1.30000
1.939,2.914,0.953,10.09691,-1.30000
1.829,2.810,0.840,10.09691,-1.30000
1.725,2.712,0.734,10.09691,-1.30000
1.664,2.654,0.670,10.09691,-1.30000
1.698,2.686,0.706,10.09691,-1.30000
1.711,2.697,0.720,10.09691,-1.30000
1.612,2.604,0.618,10.09691,-1.30000
1.513,2.511,0.516,10.09691,-1.30000
1.411,2.415,0.410,10.09691,-1.30000
1.307,2.319,0.304,10.09691,-1.30000
1.207,2.226,0.201,10.09691,-1.30000
1.108,2.135,0.098,10.09691,-1.30000
1.010,2.045,-0.004,10.09691,-1.30000
0.912,1.955,-0.105,10.09691,-1.30000
0.819,1.870,-0.203,10.09691,-1.30000
0.725,1.785,-0.301,10.09691,-1.30000
0.611,1.683,-0.419,10.09691,-1.30000
0.500,1.584,-0.535,10.09691,-1.30000
0.388,1.485,-0.652,10.09691,-1.30000
0.284,1.394,-0.762,10.09691,-1.30000
0.182,1.305,-0.870,10.09691,-1.30000
0.075,1.212,-0.982,10.09691,-1.30000
