Gmag,G_BPmag,G_RPmag,logAge,MH
12.287,13.318,11.285,10.10890,-2.19174
11.882,12.829,10.920,10.10890,-2.19174
11.228,12.068,10.322,10.10890,-2.19174
10.794,11.588,9.914,10.10890,-2.19174
10.461,11.228,9.596,10.10890,-2.19174
9.927,10.655,9.086,10.10890,-2.19174
9.433,10.128,8.614,10.10890,-2.19174
9.050,9.719,8.248,10.10890,-2.19174
8.725,9.371,7.939,10.10890,-2.19174
8.400,9.022,7.632,10.10890,-2.19174
8.005,8.589,7.264,10.10890,-2.19174
7.567,8.110,6.858,10.10890,-2.19174
7.032,7.523,6.365,10.10890,-2.19174
6.488,6.920,5.874,10.10890,-2.19174
6.426,6.850,5.818,10.10890,-2.19174
6.313,6.724,5.717,10.10890,-2.19174
6.204,6.603,5.620,10.10890,-2.19174
6.075,6.459,5.505,10.10890,-2.19174
5.960,6.332,5.402,10.10890,-2.19174
5.916,6.284,5.363,10.10890,-2.19174
5.846,6.207,5.299,10.10890,-2.19174
5.729,6.081,5.193,10.10890,-2.19174
5.615,5.957,5.088,10.10890,-2.19174
5.510,5.844,4.991,10.10890,-2.19174
5.404,5.730,4.895,10.10890,-2.19174
5.272,5.589,4.773,10.10890,-2.19174
5.268,5.585,4.770,10.10890,-2.19174
5.209,5.522,4.715,10.10890,-2.19174
5.080,5.385,4.594,10.10890,-2.19174
4.962,5.261,4.483,10.10890,-2.19174
4.839,5.132,4.367,10.10890,-2.19174
4.705,4.992,4.240,10.10890,-2.19174
4.534,4.815,4.076,10.10890,-2.19174
4.354,4.631,3.902,10.10890,-2.19174
4.308,4.584,3.858,10.10890,-2.19174
4.306,4.582,3.856,10.10890,-2.19174
4.171,4.444,3.725,10.10890,-2.19174
4.050,4.322,3.605,10.10890,-2.19174
4.003,4.275,3.557,10.10890,-2.19174
3.865,4.139,3.417,10.10890,-2.19174
3.756,4.035,3.302,10.10890,-2.19174
3.732,4.011,3.277,10.10890,-2.19174
3.703,3.985,3.246,10.10890,-2.19174
