Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.00034781,-1.65000,10.07004,0.0900000036,1.0816895962,0.090,-3.190,3.4799,5.454,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.08e-17,0.00,7.482e-01,2.514e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,12.745,13.561,15.337,15.378,12.341,
0.00034781,-1.65000,10.07004,0.0987815559,1.1608469486,0.099,-2.902,3.5216,5.373,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.03e-16,0.00,7.463e-01,2.533e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,12.026,12.640,13.892,13.941,11.568,
0.00034781,-1.65000,10.07004,0.1000000015,1.1711064577,0.100,-2.865,3.5270,5.363,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.13e-16,0.00,7.461e-01,2.535e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,11.932,12.518,13.723,13.772,11.465,
0.00034781,-1.65000,10.07004,0.1082764864,1.2367442846,0.108,-2.738,3.5405,5.325,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.52e-16,0.00,7.449e-01,2.548e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,11.616,12.137,13.236,13.286,11.126,
0.00034781,-1.65000,10.07004,0.1199999973,1.3193154335,0.120,-2.575,3.5580,5.276,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.22e-16,0.00,7.433e-01,2.563e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,11.208,11.647,12.634,12.683,10.687,
0.00034781,-1.65000,10.07004,0.1222252920,1.3338071108,0.122,-2.554,3.5598,5.270,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.33e-16,0.00,7.430e-01,2.566e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,11.154,11.585,12.561,12.610,10.629,
0.00034781,-1.65000,10.07004,0.1400000006,1.4384527206,0.140,-2.393,3.5731,5.221,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.33e-16,0.00,7.413e-01,2.584e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,10.752,11.126,12.030,12.079,10.207,
0.00034781,-1.65000,10.07004,0.1599999964,1.5372931957,0.160,-2.250,3.5831,5.176,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.56e-16,0.00,7.399e-01,2.598e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,10.395,10.730,11.586,11.634,9.837,
0.00034781,-1.65000,10.07004,0.2000000179,1.6938792467,0.200,-2.029,3.5959,5.103,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.38e-16,0.00,7.388e-01,2.608e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,9.842,10.132,10.929,10.976,9.272,
0.00034781,-1.65000,10.07004,0.2500000000,1.8403258324,0.250,-1.826,3.6069,5.042,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.05e-15,0.00,7.389e-01,2.607e-01,6.853e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,9.335,9.587,10.338,10.383,8.754,
0.00034781,-1.65000,10.07004,0.3000000417,1.9529141188,0.300,-1.671,3.6157,5.000,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.55e-15,0.00,7.390e-01,2.606e-01,6.852e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,8.947,9.170,9.886,9.930,8.359,
0.00034781,-1.65000,10.07004,0.3144057989,1.9808950424,0.314,-1.632,3.6180,4.992,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.67e-15,0.00,7.390e-01,2.606e-01,6.851e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,8.851,9.066,9.773,9.817,8.261,
0.00034781,-1.65000,10.07004,0.3499999940,2.0434174538,0.350,-1.545,3.6234,4.972,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.98e-15,0.00,7.390e-01,2.606e-01,6.849e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,8.631,8.829,9.516,9.559,8.038,
0.00034781,-1.65000,10.07004,0.4000000060,2.1185026169,0.400,-1.408,3.6339,4.935,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.65e-15,0.00,7.503e-01,2.493e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,8.290,8.455,9.103,9.145,7.690,
0.00034781,-1.65000,10.07004,0.4500000477,2.1822810173,0.450,-1.241,3.6513,4.889,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.87e-15,0.00,7.505e-01,2.491e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,7.872,7.985,8.572,8.611,7.264,
0.00034781,-1.65000,10.07004,0.4994322956,2.2368686199,0.499,-1.055,3.6742,4.840,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.95e-15,0.00,7.505e-01,2.491e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.811e-04,7.408,7.461,7.976,8.011,6.796,
0.00034781,-1.65000,10.07004,0.5000000000,2.2374541759,0.500,-1.053,3.6744,4.840,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.98e-15,0.00,7.505e-01,2.491e-01,6.854e-05,1.849e-05,1.677e-04,-1.000,3.812e-04,7.403,7.455,7.970,8.005,6.791,
0.00034781,-1.65000,10.07004,0.5500000715,2.2836585045,0.550,-0.843,3.6977,4.763,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.01e-14,0.00,7.841e-01,2.156e-01,5.989e-05,1.617e-05,1.467e-04,-1.000,2.817e-04,6.877,6.880,7.333,7.363,6.269,
0.00034781,-1.65000,10.07004,0.6000000238,2.3211214542,0.600,-0.635,3.7244,4.700,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.68e-14,0.00,7.953e-01,2.044e-01,5.718e-05,1.545e-05,1.402e-04,-1.000,2.972e-04,6.356,6.325,6.716,6.740,5.769,
0.00034781,-1.65000,10.07004,0.6007667184,2.3216402531,0.600,-0.631,3.7248,4.699,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.69e-14,0.00,7.955e-01,2.042e-01,5.713e-05,1.544e-05,1.401e-04,-1.000,2.970e-04,6.348,6.316,6.706,6.731,5.762,
0.00034781,-1.65000,10.07004,0.6138097048,2.3302395344,0.613,-0.574,3.7328,4.683,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-1.94e-14,0.00,7.990e-01,2.007e-01,5.630e-05,1.521e-05,1.381e-04,-1.000,3.065e-04,6.206,6.167,6.540,6.563,5.630,
0.00034781,-1.65000,10.07004,0.6249693632,2.3372704983,0.625,-0.525,3.7395,4.669,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.19e-14,0.00,8.022e-01,1.975e-01,5.556e-05,1.501e-05,1.363e-04,-1.000,3.117e-04,6.083,6.041,6.400,6.421,5.517,
0.00034781,-1.65000,10.07004,0.6357640624,2.3438019753,0.635,-0.478,3.7459,4.654,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.47e-14,0.00,8.054e-01,1.943e-01,5.481e-05,1.481e-05,1.345e-04,-1.000,3.175e-04,5.964,5.920,6.266,6.286,5.409,
0.00034781,-1.65000,10.07004,0.6457948089,2.3496468067,0.646,-0.433,3.7517,4.640,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-1.88e-15,0.00,8.085e-01,1.912e-01,5.408e-05,1.462e-05,1.328e-04,-1.000,3.125e-04,5.852,5.808,6.141,6.160,5.309,
0.00034781,-1.65000,10.07004,0.6499999762,2.3520355225,0.650,-0.414,3.7542,4.633,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.89e-14,0.00,8.099e-01,1.898e-01,5.376e-05,1.454e-05,1.320e-04,-1.000,3.064e-04,5.805,5.760,6.089,6.107,5.267,
0.00034781,-1.65000,10.07004,0.6615821719,2.3584342003,0.661,-0.361,3.7604,4.613,1,0.000,0.542,0.00,0.00,0.00,0.00,0.00,-1,-3.31e-14,0.00,8.145e-01,1.852e-01,5.268e-05,1.425e-05,1.295e-04,-1.000,3.208e-04,5.674,5.629,5.945,5.962,5.150,
