Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00097797,-1.20000,10.04139,0.0900000036,1.0816895962,0.090,-3.211,3.4574,5.385,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.23e-17,0.00,7.469e-01,2.521e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.838e-04,12.798,20.830,18.055,16.040,14.129,12.254,10.757,10.387,10.249,
0.00097797,-1.20000,10.04139,0.0981767625,1.1556932926,0.098,-3.000,3.4875,5.332,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-8.66e-17,0.00,7.458e-01,2.532e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,12.270,18.934,16.651,14.706,13.186,11.654,10.329,9.858,9.701,
0.00097797,-1.20000,10.04139,0.1000000015,1.1711064577,0.100,-2.955,3.4939,5.321,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.64e-17,0.00,7.456e-01,2.534e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,12.158,18.550,16.370,14.447,12.993,11.531,10.239,9.752,9.588,
0.00097797,-1.20000,10.04139,0.1192483306,1.3143413067,0.119,-2.681,3.5255,5.249,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.8e-16,0.00,7.436e-01,2.554e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.840e-04,11.473,16.642,14.932,13.170,11.958,10.807,9.656,9.111,8.923,
0.00097797,-1.20000,10.04139,0.1199999973,1.3193154335,0.120,-2.671,3.5266,5.247,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.84e-16,0.00,7.435e-01,2.555e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.840e-04,11.449,16.580,14.883,13.129,11.923,10.781,9.635,9.089,8.900,
0.00097797,-1.20000,10.04139,0.1282787025,1.3715527058,0.128,-2.593,3.5336,5.225,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.19e-16,0.00,7.428e-01,2.562e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,11.252,16.148,14.540,12.831,11.663,10.578,9.460,8.906,8.714,
0.00097797,-1.20000,10.04139,0.1400000006,1.4384527206,0.140,-2.490,3.5429,5.197,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.74e-16,0.00,7.419e-01,2.571e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,10.995,15.603,14.099,12.452,11.329,10.313,9.231,8.669,8.472,
0.00097797,-1.20000,10.04139,0.1599999964,1.5372931957,0.160,-2.350,3.5532,5.158,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.7e-16,0.00,7.407e-01,2.583e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,10.646,14.949,13.556,11.979,10.901,9.957,8.913,8.344,8.143,
0.00097797,-1.20000,10.04139,0.2000000179,1.6938792467,0.200,-2.130,3.5673,5.090,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.93e-16,0.00,7.394e-01,2.597e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.840e-04,10.095,14.013,12.760,11.277,10.256,9.400,8.406,7.829,7.621,
0.00097797,-1.20000,10.04139,0.2500000000,1.8403258324,0.250,-1.925,3.5786,5.028,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.37e-16,0.00,7.390e-01,2.600e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.840e-04,9.583,13.226,12.071,10.660,9.682,8.884,7.926,7.345,7.136,
0.00097797,-1.20000,10.04139,0.3000000417,1.9529141188,0.300,-1.768,3.5870,4.983,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.1e-16,0.00,7.392e-01,2.598e-01,1.769e-04,4.774e-05,4.329e-04,-1.000,9.839e-04,9.190,12.636,11.552,10.193,9.250,8.488,7.557,6.972,6.765,
0.00097797,-1.20000,10.04139,0.3499999940,2.0434174538,0.350,-1.640,3.5942,4.951,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.63e-15,0.00,7.478e-01,2.512e-01,1.769e-04,4.773e-05,4.329e-04,-1.000,9.839e-04,8.870,12.160,11.131,9.815,8.900,8.165,7.257,6.670,6.466,
