Gmag,G_BPbrmag,G_BPftmag,G_RPmag
13.890,16.073,16.112,12.584
13.686,15.713,15.754,12.408
13.004,14.580,14.625,11.828
12.086,13.299,13.347,11.027
11.538,12.626,12.675,10.530
11.131,12.152,12.200,10.154
10.508,11.448,11.496,9.570
9.947,10.832,10.879,9.038
9.524,10.369,10.416,8.636
9.177,9.991,10.038,8.306
8.761,9.530,9.576,7.917
8.255,8.955,8.999,7.456
7.649,8.242,8.283,6.925
6.996,7.487,7.523,6.353
6.409,6.826,6.855,5.832
6.356,6.766,6.794,5.784
6.206,6.598,6.625,5.652
6.062,6.438,6.463,5.524
5.929,6.291,6.314,5.404
5.826,6.177,6.199,5.313
5.735,6.076,6.097,5.230
5.596,5.924,5.944,5.106
5.467,5.782,5.801,4.990
5.342,5.647,5.665,4.876
5.240,5.536,5.553,4.783
5.106,5.393,5.409,4.660
4.971,5.248,5.263,4.535
4.846,5.117,5.131,4.418
4.722,4.987,5.001,4.302
4.599,4.858,4.871,4.186
4.530,4.786,4.799,4.120
4.476,4.729,4.742,4.068
4.338,4.587,4.600,3.936
4.207,4.453,4.466,3.809
4.084,4.327,4.340,3.689
4.045,4.287,4.300,3.650
4.006,4.249,4.262,3.612
3.853,4.098,4.111,3.457
3.726,3.975,3.988,3.326
3.703,3.952,3.966,3.302
3.655,3.907,3.920,3.250
3.549,3.810,3.824,3.133
3.460,3.732,3.747,3.031
3.385,3.670,3.686,2.941
3.323,3.622,3.640,2.862
3.271,3.584,3.603,2.795
3.262,3.578,3.597,2.784
3.185,3.515,3.536,2.691
3.100,3.440,3.461,2.595
2.994,3.343,3.365,2.481
2.975,3.325,3.347,2.460
2.867,3.222,3.244,2.347
2.765,3.124,3.147,2.241
2.643,3.005,3.028,2.115
2.520,2.886,2.909,1.989
2.386,2.755,2.779,1.852
2.256,2.628,2.652,1.720
2.137,2.512,2.536,1.598
2.036,2.413,2.437,1.494
1.915,2.294,2.319,1.370
1.787,2.170,2.195,1.240
1.661,2.047,2.073,1.110
1.540,1.930,1.955,0.986
1.421,1.815,1.840,0.863
1.304,1.702,1.728,0.742
1.185,1.586,1.613,0.619
1.070,1.475,1.502,0.500
0.952,1.362,1.389,0.379
0.839,1.253,1.280,0.261
0.729,1.148,1.176,0.148
0.617,1.041,1.069,0.032
0.511,0.939,0.968,-0.080
0.402,0.836,0.865,-0.193
0.297,0.736,0.766,-0.303
0.193,0.637,0.668,-0.412
0.089,0.539,0.570,-0.520
-0.010,0.445,0.477,-0.624
-0.064,0.394,0.426,-0.681
-0.028,0.427,0.459,-0.642
-0.014,0.440,0.471,-0.627
-0.111,0.349,0.380,-0.729
-0.208,0.258,0.290,-0.831
-0.308,0.164,0.197,-0.937
-0.409,0.071,0.105,-1.044
-0.505,-0.017,0.018,-1.146
-0.601,-0.105,-0.069,-1.249
