Gmag,G_BPbrmag,G_BPftmag,G_RPmag,logAge,MH
14.480,17.304,17.348,13.067,10.07918,-0.75000
14.275,16.938,16.983,12.884,10.07918,-0.75000
13.701,15.947,15.992,12.373,10.07918,-0.75000
13.394,15.444,15.489,12.102,10.07918,-0.75000
12.752,14.436,14.483,11.540,10.07918,-0.75000
12.138,13.569,13.617,10.998,10.07918,-0.75000
11.688,12.980,13.028,10.595,10.07918,-0.75000
11.037,12.191,12.239,9.997,10.07918,-0.75000
10.447,11.512,11.560,9.446,10.07918,-0.75000
9.998,11.007,11.054,9.023,10.07918,-0.75000
9.621,10.587,10.635,8.668,10.07918,-0.75000
9.215,10.129,10.176,8.288,10.07918,-0.75000
8.755,9.607,9.654,7.863,10.07918,-0.75000
8.236,9.009,9.055,7.391,10.07918,-0.75000
7.638,8.302,8.346,6.863,10.07918,-0.75000
7.149,7.714,7.756,6.447,10.07918,-0.75000
7.017,7.558,7.599,6.333,10.07918,-0.75000
6.441,6.893,6.928,5.834,10.07918,-0.75000
6.376,6.820,6.853,5.777,10.07918,-0.75000
6.208,6.629,6.661,5.629,10.07918,-0.75000
6.048,6.449,6.478,5.489,10.07918,-0.75000
5.901,6.285,6.313,5.358,10.07918,-0.75000
5.900,6.284,6.312,5.357,10.07918,-0.75000
5.887,6.269,6.297,5.345,10.07918,-0.75000
5.729,6.094,6.120,5.203,10.07918,-0.75000
5.588,5.939,5.963,5.077,10.07918,-0.75000
5.453,5.791,5.814,4.955,10.07918,-0.75000
5.363,5.692,5.714,4.874,10.07918,-0.75000
5.329,5.655,5.677,4.843,10.07918,-0.75000
5.209,5.525,5.546,4.733,10.07918,-0.75000
5.090,5.397,5.417,4.624,10.07918,-0.75000
4.980,5.280,5.299,4.522,10.07918,-0.75000
4.870,5.163,5.181,4.420,10.07918,-0.75000
4.783,5.070,5.088,4.339,10.07918,-0.75000
4.758,5.045,5.063,4.316,10.07918,-0.75000
4.627,4.907,4.925,4.192,10.07918,-0.75000
4.498,4.773,4.790,4.068,10.07918,-0.75000
4.371,4.642,4.658,3.946,10.07918,-0.75000
4.241,4.509,4.525,3.820,10.07918,-0.75000
4.149,4.416,4.432,3.730,10.07918,-0.75000
4.082,4.348,4.364,3.662,10.07918,-0.75000
4.047,4.314,4.330,3.628,10.07918,-0.75000
3.988,4.255,4.272,3.568,10.07918,-0.75000
3.857,4.127,4.144,3.434,10.07918,-0.75000
3.809,4.080,4.097,3.383,10.07918,-0.75000
3.721,3.998,4.015,3.289,10.07918,-0.75000
3.621,3.909,3.927,3.177,10.07918,-0.75000
3.544,3.848,3.867,3.081,10.07918,-0.75000
3.501,3.822,3.843,3.020,10.07918,-0.75000
3.464,3.803,3.826,2.963,10.07918,-0.75000
3.412,3.768,3.793,2.894,10.07918,-0.75000
3.335,3.704,3.730,2.804,10.07918,-0.75000
3.232,3.611,3.637,2.691,10.07918,-0.75000
3.215,3.595,3.622,2.674,10.07918,-0.75000
3.101,3.486,3.514,2.554,10.07918,-0.75000
2.997,3.386,3.413,2.446,10.07918,-0.75000
2.871,3.264,3.291,2.316,10.07918,-0.75000
2.770,3.166,3.194,2.213,10.07918,-0.75000
2.640,3.039,3.067,2.079,10.07918,-0.75000
2.534,2.935,2.964,1.970,10.07918,-0.75000
2.434,2.838,2.867,1.869,10.07918,-0.75000
2.334,2.741,2.770,1.766,10.07918,-0.75000
2.232,2.641,2.670,1.661,10.07918,-0.75000
2.134,2.546,2.575,1.561,10.07918,-0.75000
2.034,2.449,2.478,1.459,10.07918,-0.75000
1.912,2.330,2.360,1.333,10.07918,-0.75000
1.813,2.234,2.264,1.231,10.07918,-0.75000
1.688,2.114,2.144,1.101,10.07918,-0.75000
1.567,1.998,2.028,0.977,10.07918,-0.75000
1.451,1.886,1.917,0.856,10.07918,-0.75000
1.335,1.775,1.806,0.736,10.07918,-0.75000
1.227,1.672,1.704,0.624,10.07918,-0.75000
1.119,1.569,1.601,0.512,10.07918,-0.75000
1.013,1.467,1.500,0.401,10.07918,-0.75000
0.911,1.370,1.403,0.294,10.07918,-0.75000
0.810,1.275,1.309,0.189,10.07918,-0.75000
0.716,1.186,1.220,0.090,10.07918,-0.75000
0.624,1.099,1.134,-0.007,10.07918,-0.75000
0.534,1.015,1.050,-0.101,10.07918,-0.75000
0.456,0.942,0.977,-0.184,10.07918,-0.75000
0.393,0.883,0.919,-0.249,10.07918,-0.75000
0.415,0.903,0.939,-0.225,10.07918,-0.75000
0.476,0.959,0.994,-0.160,10.07918,-0.75000
0.461,0.944,0.979,-0.176,10.07918,-0.75000
0.361,0.851,0.887,-0.282,10.07918,-0.75000
0.257,0.754,0.791,-0.392,10.07918,-0.75000
0.153,0.658,0.695,-0.502,10.07918,-0.75000
0.052,0.565,0.602,-0.609,10.07918,-0.75000
-0.049,0.472,0.510,-0.717,10.07918,-0.75000
-0.145,0.385,0.424,-0.820,10.07918,-0.75000
-0.244,0.296,0.335,-0.925,10.07918,-0.75000
-0.340,0.209,0.249,-1.029,10.07918,-0.75000
-0.436,0.123,0.164,-1.132,10.07918,-0.75000
-0.527,0.041,0.083,-1.231,10.07918,-0.75000
-0.620,-0.042,0.001,-1.330,10.07918,-0.75000
-0.709,-0.121,-0.078,-1.427,10.07918,-0.75000
-0.798,-0.200,-0.155,-1.523,10.07918,-0.75000
-0.884,-0.275,-0.230,-1.616,10.07918,-0.75000
-0.970,-0.352,-0.306,-1.710,10.07918,-0.75000
-1.055,-0.425,-0.378,-1.802,10.07918,-0.75000
-1.135,-0.494,-0.447,-1.891,10.07918,-0.75000
-1.219,-0.566,-0.519,-1.982,10.07918,-0.75000
-1.316,-0.649,-0.601,-2.089,10.07918,-0.75000
-1.392,-0.713,-0.664,-2.173,10.07918,-0.75000
-1.470,-0.779,-0.730,-2.260,10.07918,-0.75000
-1.561,-0.855,-0.806,-2.361,10.07918,-0.75000
-1.635,-0.916,-0.867,-2.443,10.07918,-0.75000
-1.708,-0.976,-0.927,-2.524,10.07918,-0.75000
-1.794,-1.046,-0.996,-2.621,10.07918,-0.75000
-1.879,-1.113,-1.062,-2.717,10.07918,-0.75000
-1.948,-1.167,-1.117,-2.795,10.07918,-0.75000
-2.027,-1.228,-1.177,-2.885,10.07918,-0.75000
-2.105,-1.287,-1.235,-2.975,10.07918,-0.75000
-2.182,-1.344,-1.293,-3.063,10.07918,-0.75000
-2.258,-1.401,-1.349,-3.150,10.07918,-0.75000
-2.327,-1.449,-1.397,-3.230,10.07918,-0.75000
-2.396,-1.497,-1.445,-3.311,10.07918,-0.75000
-2.463,-1.543,-1.490,-3.389,10.07918,-0.75000
-2.525,-1.578,-1.526,-3.465,10.07918,-0.75000
-2.584,-1.610,-1.558,-3.536,10.07918,-0.75000
-2.638,-1.638,-1.586,-3.604,10.07918,-0.75000
-2.688,-1.658,-1.606,-3.668,10.07918,-0.75000
-2.737,-1.675,-1.623,-3.731,10.07918,-0.75000
-2.784,-1.692,-1.640,-3.791,10.07918,-0.75000
-2.815,-1.700,-1.648,-3.832,10.07918,-0.75000
0.442,0.836,0.864,-0.114,10.07918,-0.75000
0.410,0.806,0.834,-0.148,10.07918,-0.75000
0.401,0.798,0.826,-0.157,10.07918,-0.75000
0.397,0.794,0.822,-0.161,10.07918,-0.75000
0.396,0.792,0.820,-0.161,10.07918,-0.75000
0.397,0.792,0.820,-0.159,10.07918,-0.75000
0.400,0.793,0.821,-0.155,10.07918,-0.75000
0.403,0.794,0.822,-0.150,10.07918,-0.75000
0.406,0.796,0.824,-0.146,10.07918,-0.75000
0.409,0.798,0.825,-0.141,10.07918,-0.75000
0.412,0.799,0.826,-0.137,10.07918,-0.75000
0.414,0.800,0.827,-0.133,10.07918,-0.75000
0.416,0.801,0.828,-0.130,10.07918,-0.75000
0.418,0.801,0.828,-0.128,10.07918,-0.75000
0.419,0.801,0.828,-0.126,10.07918,-0.75000
0.419,0.801,0.828,-0.126,10.07918,-0.75000
0.419,0.801,0.828,-0.125,10.07918,-0.75000
0.419,0.801,0.828,-0.124,10.07918,-0.75000
0.419,0.800,0.827,-0.124,10.07918,-0.75000
0.418,0.799,0.826,-0.125,10.07918,-0.75000
0.417,0.797,0.824,-0.126,10.07918,-0.75000
0.414,0.795,0.822,-0.128,10.07918,-0.75000
0.411,0.792,0.819,-0.132,10.07918,-0.75000
0.407,0.788,0.815,-0.137,10.07918,-0.75000
0.406,0.787,0.814,-0.138,10.07918,-0.75000
0.401,0.783,0.810,-0.144,10.07918,-0.75000
0.394,0.777,0.804,-0.151,10.07918,-0.75000
0.387,0.771,0.798,-0.160,10.07918,-0.75000
0.378,0.763,0.791,-0.170,10.07918,-0.75000
0.368,0.755,0.782,-0.181,10.07918,-0.75000
0.358,0.746,0.774,-0.193,10.07918,-0.75000
0.347,0.737,0.765,-0.204,10.07918,-0.75000
0.346,0.736,0.763,-0.206,10.07918,-0.75000
0.330,0.722,0.750,-0.224,10.07918,-0.75000
0.302,0.699,0.727,-0.256,10.07918,-0.75000
0.259,0.661,0.690,-0.305,10.07918,-0.75000
0.188,0.600,0.630,-0.385,10.07918,-0.75000
0.110,0.532,0.563,-0.472,10.07918,-0.75000
0.034,0.466,0.497,-0.557,10.07918,-0.75000
-0.051,0.391,0.424,-0.652,10.07918,-0.75000
-0.132,0.321,0.355,-0.741,10.07918,-0.75000
-0.210,0.253,0.287,-0.828,10.07918,-0.75000
-0.278,0.193,0.228,-0.904,10.07918,-0.75000
-0.320,0.156,0.192,-0.951,10.07918,-0.75000
-0.334,0.144,0.180,-0.966,10.07918,-0.75000
-0.443,0.049,0.086,-1.086,10.07918,-0.75000
-0.530,-0.026,0.012,-1.183,10.07918,-0.75000
-0.565,-0.056,-0.018,-1.221,10.07918,-0.75000
-0.496,0.003,0.041,-1.145,10.07918,-0.75000
-0.517,-0.014,0.024,-1.168,10.07918,-0.75000
-0.613,-0.097,-0.058,-1.274,10.07918,-0.75000
-0.695,-0.167,-0.127,-1.366,10.07918,-0.75000
-0.773,-0.233,-0.192,-1.452,10.07918,-0.75000
-0.856,-0.305,-0.263,-1.545,10.07918,-0.75000
-0.938,-0.375,-0.333,-1.636,10.07918,-0.75000
