Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0.0054091,-0.45000,10.07918,0.0900000036,1.0816895962,0.090,-3.334,3.4018,5.285,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.42e-17,0.00,7.345e-01,2.600e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,13.105,14.859,17.844,17.890,13.409
0.0054091,-0.45000,10.07918,0.1000000015,1.1711064577,0.100,-3.126,3.4319,5.243,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.12e-17,0.00,7.338e-01,2.607e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,12.584,14.182,16.844,16.890,12.778
0.0054091,-0.45000,10.07918,0.1180878207,1.3065809011,0.118,-2.883,3.4609,5.189,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.22e-16,0.00,7.325e-01,2.620e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,11.978,13.281,15.405,15.452,11.968
0.0054091,-0.45000,10.07918,0.1199999899,1.3193154335,0.120,-2.860,3.4637,5.184,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.28e-16,0.00,7.324e-01,2.621e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,11.920,13.195,15.271,15.318,11.892
0.0054091,-0.45000,10.07918,0.1400000006,1.4384527206,0.140,-2.674,3.4833,5.143,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.86e-16,0.00,7.312e-01,2.633e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,11.455,12.541,14.297,14.344,11.308
0.0054091,-0.45000,10.07918,0.1599999964,1.5372931957,0.160,-2.531,3.4965,5.111,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.58e-16,0.00,7.301e-01,2.644e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,11.097,12.060,13.628,13.675,10.877
0.0054091,-0.45000,10.07918,0.1999999881,1.6938791275,0.200,-2.306,3.5145,5.055,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.12e-16,0.00,7.286e-01,2.659e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,10.536,11.352,12.711,12.759,10.233
0.0054091,-0.45000,10.07918,0.2500000000,1.8403258324,0.250,-2.094,3.5288,4.997,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.72e-18,0.00,7.277e-01,2.668e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,10.004,10.717,11.946,11.994,9.646
0.0054091,-0.45000,10.07918,0.3000000119,1.9529139996,0.300,-1.931,3.5385,4.952,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.6e-17,0.00,7.277e-01,2.668e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,9.597,10.249,11.407,11.455,9.207
0.0054091,-0.45000,10.07918,0.3499999642,2.0434174538,0.350,-1.789,3.5468,4.910,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.78e-20,0.00,7.360e-01,2.586e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,9.242,9.846,10.948,10.996,8.827
0.0054091,-0.45000,10.07918,0.3999999762,2.1185023785,0.400,-1.636,3.5583,4.861,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.71e-15,0.00,7.362e-01,2.583e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,8.859,9.398,10.430,10.478,8.412
0.0054091,-0.45000,10.07918,0.4499999881,2.1822810173,0.450,-1.467,3.5733,4.803,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-2.54e-15,0.00,7.362e-01,2.583e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,8.437,8.897,9.847,9.894,7.952
0.0054091,-0.45000,10.07918,0.4999999404,2.2374541759,0.500,-1.284,3.5933,4.746,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.91e-15,0.00,7.362e-01,2.583e-01,9.870e-04,2.663e-04,2.415e-03,-1.000,5.489e-03,7.980,8.349,9.207,9.254,7.454
0.0054091,-0.45000,10.07918,0.5191133022,2.2563261986,0.519,-1.202,3.6043,4.724,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.76e-15,0.00,7.486e-01,2.461e-01,9.439e-04,2.547e-04,2.310e-03,-1.000,5.250e-03,7.774,8.100,8.914,8.961,7.232
0.0054091,-0.45000,10.07918,0.5500000119,2.2836582661,0.550,-1.076,3.6211,4.690,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-6.43e-15,0.00,7.672e-01,2.279e-01,8.796e-04,2.375e-04,2.155e-03,-1.000,4.898e-03,7.459,7.724,8.472,8.519,6.896
0.0054091,-0.45000,10.07918,0.5999999642,2.3211214542,0.600,-0.877,3.6533,4.658,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.01e-14,0.00,7.719e-01,2.232e-01,8.646e-04,2.335e-04,2.119e-03,-1.000,4.821e-03,6.962,7.101,7.716,7.761,6.363
0.0054091,-0.45000,10.07918,0.6259664893,2.3378846645,0.626,-0.771,3.6715,4.644,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.28e-14,0.00,7.743e-01,2.209e-01,8.571e-04,2.315e-04,2.101e-03,-1.000,4.785e-03,6.699,6.768,7.316,7.359,6.083
0.0054091,-0.45000,10.07918,0.6499999166,2.3520352840,0.650,-0.677,3.6878,4.631,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.58e-14,0.00,7.765e-01,2.188e-01,8.502e-04,2.297e-04,2.085e-03,-1.000,4.752e-03,6.462,6.480,6.978,7.017,5.836
